group,file_name,operator_id,task_code,task_name,completed_step_count,standard_step_count,completion_rate,error_count,extra_count,missing_count,step_error_count,duplicate_count,duplicate_rate,completion_missing_steps,error_missing_steps
01,0102.txt,01,02,任务二,14,15,0.9333,21,10,3,8,4,0.2222,步骤15: 调节功率变化速率适应后续的操作时间，小于5,步骤15: 调节功率变化速率适应后续的操作时间，小于5；步骤11: 关闭疏水阀GPV121VL；步骤12: 关闭疏水阀GPV131VL
01,0103.txt,01,03,任务三,6,7,0.8571,15,7,1,7,1,0.1429,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态
02,0201.txt,02,01,任务一,8,8,1.0,2,0,0,2,1,0.1111,,
02,0203.txt,02,03,任务三,6,7,0.8571,16,4,1,11,1,0.1429,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态
03,0301.txt,03,01,任务一,8,8,1.0,0,0,0,0,0,0.0,,
03,0304.txt,03,04,任务四,17,18,0.9444,22,4,2,16,0,0.0,步骤12: 将REA019KG置自动,步骤12: 将REA019KG置自动；步骤18: 将RCV030VP开度控制置自动
04,0402.txt,04,02,任务二,15,15,1.0,4,4,0,0,5,0.25,,
04,0404.txt,04,04,任务四,18,18,1.0,22,2,0,20,1,0.0526,,
05,0501.txt,05,01,任务一,8,8,1.0,2,2,0,0,1,0.1111,,
05,0504.txt,05,04,任务四,15,18,0.8333,37,11,3,23,12,0.4444,步骤1: 将RCV030VP转向控制置手动；步骤16: 控制RCV030VP转向TEP；步骤17: 将RCV030VP置自动,步骤1: 将RCV030VP转向控制置手动；步骤16: 控制RCV030VP转向TEP；步骤17: 将RCV030VP置自动
06,0602.txt,06,02,任务二,15,15,1.0,20,8,2,10,1,0.0625,,步骤11: 关闭疏水阀GPV121VL；步骤12: 关闭疏水阀GPV131VL
06,0603.txt,06,03,任务三,5,7,0.7143,27,11,2,14,4,0.4444,步骤4: 手动打开RCP002VP调节开度为100%；步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态,步骤4: 手动打开RCP002VP调节开度为100%；步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态
07,0702.txt,07,02,任务二,13,15,0.8667,14,12,2,0,0,0.0,步骤8: 调节功率变化速率适应后续的操作时间，小于5；步骤15: 调节功率变化速率适应后续的操作时间，小于5,步骤8: 调节功率变化速率适应后续的操作时间，小于5；步骤15: 调节功率变化速率适应后续的操作时间，小于5
07,0703.txt,07,03,任务三,6,7,0.8571,20,8,1,11,2,0.25,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态
08,0801.txt,08,01,任务一,7,8,0.875,4,3,1,0,0,0.0,步骤10: 停止降功率,步骤10: 停止降功率
08,0804.txt,08,04,任务四,18,18,1.0,2,2,0,0,0,0.0,,
09,0901.txt,09,01,任务一,7,8,0.875,2,1,1,0,0,0.0,步骤10: 停止降功率,步骤10: 停止降功率
09,0904.txt,09,04,任务四,16,18,0.8889,2,0,2,0,0,0.0,步骤17: 将RCV030VP置自动；步骤18: 将RCV030VP开度控制置自动,步骤17: 将RCV030VP置自动；步骤18: 将RCV030VP开度控制置自动
10,1002.txt,10,02,任务二,15,15,1.0,2,0,0,2,3,0.1667,,
10,1003.txt,10,03,任务三,6,7,0.8571,21,14,1,6,1,0.1429,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态
11,1101.txt,11,01,任务一,8,8,1.0,10,10,0,0,2,0.2,,
11,1103.txt,11,03,任务三,6,7,0.8571,33,18,1,14,6,0.5,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态
12,1202.txt,12,02,任务二,15,15,1.0,1,1,0,0,3,0.1667,,
12,1203.txt,12,03,任务三,6,7,0.8571,15,5,1,9,0,0.0,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态
