group,file_name,operator_id,task_code,task_name,completed_step_count,standard_step_count,completion_rate,error_count,extra_count,missing_count,step_error_count,duplicate_count,duplicate_rate,completion_missing_steps,error_missing_steps
01,0105.txt,01,05,任务五（含原任务五/六）,10,12,0.8333,10,8,2,0,4,0.2857,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
02,0205.txt,02,05,任务五（含原任务五/六）,10,12,0.8333,13,11,2,0,4,0.2857,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
03,0305.txt,03,05,任务五（含原任务五/六）,10,12,0.8333,15,11,2,2,3,0.2308,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
04,0405.txt,04,05,任务五（含原任务五/六）,10,12,0.8333,16,8,2,6,2,0.1667,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
05,0505.txt,05,05,任务五（含原任务五/六）,10,12,0.8333,9,5,2,2,2,0.1667,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
06,0605.txt,06,05,任务五（含原任务五/六）,8,12,0.6667,9,3,4,2,4,0.3333,步骤8: 微调RCV046VP；步骤9: RCV018MD仪表故障修复；步骤11: 微调RCV061VP；步骤12: 仪表故障并修复故障,步骤8: 微调RCV046VP；步骤9: RCV018MD仪表故障修复；步骤11: 微调RCV061VP；步骤12: 仪表故障并修复故障
07,0705.txt,07,05,任务五（含原任务五/六）,9,12,0.75,12,8,3,1,2,0.1818,步骤2: 关闭RCV046VP；步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤2: 关闭RCV046VP；步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
08,0805.txt,08,05,任务五（含原任务五/六）,10,12,0.8333,15,11,2,2,4,0.2857,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
09,0905.txt,09,05,任务五（含原任务五/六）,11,12,0.9167,9,8,1,0,3,0.2143,步骤11: 微调RCV061VP,步骤11: 微调RCV061VP
10,1005.txt,10,05,任务五（含原任务五/六）,10,12,0.8333,12,8,2,2,2,0.1667,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
11,1105.txt,11,05,任务五（含原任务五/六）,10,12,0.8333,15,11,2,2,7,0.4118,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP,步骤8: 微调RCV046VP；步骤11: 微调RCV061VP
12,1205.txt,12,05,任务五（含原任务五/六）,11,12,0.9167,11,10,1,0,3,0.2143,步骤8: 微调RCV046VP,步骤8: 微调RCV046VP
