# 结果摘要: 任务五 | 完成率 50.00% (2/4) | 异常步骤 4/4 (100.00%) | 异常动作 108/115 (93.91%) | 错误动作数 100 | 重复次数 2 | 重复率 50.00%
# 分析: 步骤完成度偏低；异常动作总数 108 次，异常动作比例 93.91%，已发生错误动作 100 次，重复步骤 2 次，正确完成步骤 2/4，异常步骤 4 个，异常步骤比例 100.00%，错误步骤 3 个，多做 86 次，漏做步骤 2 次，缺失动作 2 次，步骤内错误动作 14 次。
# 问题统计: 异常动作总数 108 | 总动作数 115 | 日志动作行数 113 | 已发生错误动作数 100 | 多做动作数 86 | 步骤内错误动作数 14 | 缺失动作数 2 | 重复动作行数 6 | 异常步骤数 4 | 总步骤数 4 | 错误步骤数 3 | 缺失步骤数 2
# 问题比例: 异常步骤比例 100.00% (4/4) | 异常动作比例 93.91% (108/115)
# 异常步骤: 步骤1: 步骤一；步骤3: 步骤三；步骤2: 步骤二；步骤4: 步骤四
# 错误步骤: 步骤1: 步骤一；步骤3: 步骤三；步骤2: 步骤二
# 缺失步骤: 步骤1: 步骤一；步骤4: 步骤四
# 缺失动作: 步骤1: 缺失动作 DCM mov_RCV048VP；步骤4: 缺失动作 DCM tr_RCV018MD

Run
13:41 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
13:41 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
13:46 set YL1RCV007VP_P.OPEN=1    # 标注: 正确 | 步骤2: 步骤二
13:46 set YL1RCV007VP_P.OPEN=0    # 标注: 正确 | 步骤2: 步骤二
13:46 set YL1RCV007VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
13:46 set YL1RCV007VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
14:05 set YL1RCV046VP_P.SV=61.0675    # 标注: 多做 | 不在该任务标准流程内
14:06 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
14:06 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
14:07 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
14:07 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
14:11 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤3: 步骤三
14:12 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
14:12 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤3: 步骤三
15:04 set YL1RCV061VP_P.SV=88    # 标注: 多做 | 不在该任务标准流程内
