# 结果摘要: 任务五/六（05_06） | 完成率 41.67% (5/12) | 异常步骤 7/12 (58.33%) | 异常动作 51/71 (71.83%) | 错误动作数 20 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度偏低；异常动作总数 51 次，异常动作比例 71.83%，已发生错误动作 20 次，重复步骤 0 次，正确完成步骤 5/12，异常步骤 7 个，异常步骤比例 58.33%，错误步骤 1 个，多做 12 次，漏做步骤 7 次，缺失动作 31 次，步骤内错误动作 8 次。
# 问题统计: 异常动作总数 51 | 总动作数 71 | 日志动作行数 40 | 已发生错误动作数 20 | 多做动作数 12 | 步骤内错误动作数 8 | 缺失动作数 31 | 重复动作行数 0 | 异常步骤数 7 | 总步骤数 12 | 错误步骤数 1 | 缺失步骤数 7
# 问题比例: 异常步骤比例 58.33% (7/12) | 异常动作比例 71.83% (51/71)
# 异常步骤: 步骤6: 步骤六；步骤1: 步骤一；步骤5: 步骤五；步骤8: 步骤八；步骤9: 步骤九；步骤10: 步骤十；步骤11: 步骤十一
# 错误步骤: 步骤6: 步骤六
# 缺失步骤: 步骤1: 步骤一；步骤5: 步骤五；步骤6: 步骤六；步骤8: 步骤八；步骤9: 步骤九；步骤10: 步骤十；步骤11: 步骤十一
# 缺失动作: 步骤1: 缺失动作 set YL1RCV034VP_P.OPEN=1；步骤1: 缺失动作 set YL1RCV034VP_P.OPEN=0；步骤1: 缺失动作 set YL1RCV034VP_P.EXECUTE=1；步骤1: 缺失动作 set YL1RCV034VP_P.EXECUTE=0；步骤1: 缺失动作 DCM mov_RCV034VP；步骤5: 缺失动作 set YL1RCV061VP_P.SV=60；步骤5: 缺失动作 set YL1RCV061VP_P.EXECUTE=1；步骤5: 缺失动作 set YL1RCV061VP_P.EXECUTE=0；步骤5: 缺失动作 DCM pos_RCV061VP；步骤6: 未完成任一备选 步骤六；步骤8: 缺失动作 set YL1RCV046VP_P.SV=50；步骤8: 缺失动作 set YL1RCV046VP_P.EXECUTE=1；步骤8: 缺失动作 set YL1RCV046VP_P.EXECUTE=0；步骤8: 缺失动作 set YL1RCV046VP_P.SV=55；步骤8: 缺失动作 DCM tr_RCV018MD；步骤9: 缺失动作 set YL1RCV076VP_P.OPEN=1；步骤9: 缺失动作 set YL1RCV076VP_P.OPEN=0；步骤9: 缺失动作 set YL1RCV076VP_P.EXECUTE=1；步骤9: 缺失动作 set YL1RCV076VP_P.EXECUTE=0；步骤9: 缺失动作 DCM mov_RCV076VP；步骤10: 缺失动作 set YL1RCV077VP_P.OPEN=1；步骤10: 缺失动作 set YL1RCV077VP_P.OPEN=0；步骤10: 缺失动作 set YL1RCV077VP_P.EXECUTE=1；步骤10: 缺失动作 set YL1RCV077VP_P.EXECUTE=0；步骤11: 缺失动作 set YL1RCV078VP_P.OPEN=1；步骤11: 缺失动作 set YL1RCV078VP_P.OPEN=0；步骤11: 缺失动作 set YL1RCV078VP_P.EXECUTE=1；步骤11: 缺失动作 set YL1RCV078VP_P.EXECUTE=0；步骤11: 缺失动作 DCM mov_RCV078VP

06:46 Run
10:02 set YL1RCV061VP_P.SV=60    # 标注: 正确 | 步骤12: 步骤十二
10:03 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤12: 步骤十二
10:03 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤12: 步骤十二
10:53 ICM tr_RCV021MD t:10    # 标注: 多做 | 不在该任务标准流程内
11:17 ICM tr_RCV022MD t:10    # 标注: 多做 | 不在该任务标准流程内
13:00 set YL1RCV048VP_P.OPEN=1    # 标注: 多做 | 不在该任务标准流程内
13:00 set YL1RCV048VP_P.OPEN=0    # 标注: 多做 | 不在该任务标准流程内
13:01 set YL1RCV048VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
13:01 set YL1RCV048VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
15:37 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
15:37 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
15:38 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
15:39 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
15:40 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
15:40 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
15:48 set YL1RCV046VP_P.SV=0    # 标注: 正确 | 步骤2: 步骤二
15:49 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
15:49 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
15:59 set YL1RCV061VP_P.SV=0    # 标注: 正确 | 步骤3: 步骤三
15:59 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
15:59 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤3: 步骤三
18:00 set YL1RCV003PO_P.OPEN=1    # 标注: 正确 | 步骤4: 步骤四
18:00 set YL1RCV003PO_P.OPEN=0    # 标注: 正确 | 步骤4: 步骤四
18:00 set YL1RCV003PO_P.EXECUTE=1    # 标注: 正确 | 步骤4: 步骤四
18:01 set YL1RCV003PO_P.EXECUTE=0    # 标注: 正确 | 步骤4: 步骤四
18:18 set YL1RCV061VP_P.SV=60    # 标注: 正确 | 步骤12: 步骤十二
18:19 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤12: 步骤十二
18:19 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤12: 步骤十二
18:42 set YL1RCV007VP_P.OPEN=1    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
18:42 set YL1RCV007VP_P.OPEN=0    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
18:43 set YL1RCV007VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
18:43 set YL1RCV007VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
18:51 set YL1RCV007VP_P.OPEN=1    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
