# 结果摘要: 任务五 | 完成率 50.00% (2/4) | 异常步骤 4/4 (100.00%) | 异常动作 30/38 (78.95%) | 错误动作数 29 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度偏低；异常动作总数 30 次，异常动作比例 78.95%，已发生错误动作 29 次，重复步骤 0 次，正确完成步骤 2/4，异常步骤 4 个，异常步骤比例 100.00%，错误步骤 4 个，多做 17 次，漏做步骤 2 次，缺失动作 1 次，步骤内错误动作 12 次。
# 问题统计: 异常动作总数 30 | 总动作数 38 | 日志动作行数 37 | 已发生错误动作数 29 | 多做动作数 17 | 步骤内错误动作数 12 | 缺失动作数 1 | 重复动作行数 0 | 异常步骤数 4 | 总步骤数 4 | 错误步骤数 4 | 缺失步骤数 2
# 问题比例: 异常步骤比例 100.00% (4/4) | 异常动作比例 78.95% (30/38)
# 异常步骤: 步骤3: 步骤三；步骤4: 步骤四；步骤1: 步骤一；步骤2: 步骤二
# 错误步骤: 步骤3: 步骤三；步骤4: 步骤四；步骤1: 步骤一；步骤2: 步骤二
# 缺失步骤: 步骤2: 步骤二；步骤4: 步骤四
# 缺失动作: 步骤2: 未完成任一备选 步骤二

Run
01:10 set YL1RCV046VP_P.SV=55    # 标注: 错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤
01:10 set YL1RCV046VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤
01:11 set YL1RCV046VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤
02:09 set YL1RCV048VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
02:09 set YL1RCV048VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
02:10 set YL1RCV048VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
02:11 set YL1RCV048VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
03:22 set YL1RCV046VP_P.SV=65    # 标注: 多做 | 不在该任务标准流程内
03:23 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
03:23 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
03:32 set YL1RCV048VP_P.CLOSE=1    # 标注: 多做 | 不在该任务标准流程内
03:32 set YL1RCV048VP_P.CLOSE=0    # 标注: 多做 | 不在该任务标准流程内
03:33 set YL1RCV048VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
03:33 set YL1RCV048VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
04:39 DCM tr_RCV018MD    # 标注: 错误 | 属于步骤4: 步骤四，但未按标准顺序形成完整步骤
04:58 set YL1RCV061VP_P.SV=55    # 标注: 多做 | 不在该任务标准流程内
05:00 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
05:00 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
05:13 set YL1RCV061VP_P.SV=60    # 标注: 多做 | 不在该任务标准流程内
05:13 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
05:14 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
05:34 DCM mov_RCV048VP    # 标注: 正确 | 步骤1: 步骤一
05:45 set YL1RCV048VP_P.CLOSE=1    # 标注: 多做 | 不在该任务标准流程内
05:45 set YL1RCV048VP_P.CLOSE=0    # 标注: 多做 | 不在该任务标准流程内
05:47 set YL1RCV048VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
05:47 set YL1RCV048VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
06:35 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤3: 步骤三
06:37 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
06:37 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤3: 步骤三
07:37 set YL1RCV048VP_P.OPEN=1    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
07:37 set YL1RCV048VP_P.OPEN=0    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
07:38 set YL1RCV048VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
07:38 set YL1RCV048VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
08:26 set YL1RCV008VP_P.OPEN=1    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
08:26 set YL1RCV008VP_P.OPEN=0    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
08:27 set YL1RCV008VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
08:27 set YL1RCV008VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
09:55 Freeze
