# 结果摘要: 任务五/六（05_06） | 完成率 91.67% (11/12) | 异常步骤 7/12 (58.33%) | 异常动作 71/124 (57.26%) | 错误动作数 59 | 重复次数 2 | 重复率 15.38%
# 分析: 步骤完成度较高；异常动作总数 71 次，异常动作比例 57.26%，已发生错误动作 59 次，重复步骤 2 次，正确完成步骤 11/12，异常步骤 7 个，异常步骤比例 58.33%，错误步骤 5 个，多做 24 次，漏做步骤 1 次，缺失动作 6 次，步骤内错误动作 35 次。
# 问题统计: 异常动作总数 71 | 总动作数 124 | 日志动作行数 118 | 已发生错误动作数 59 | 多做动作数 24 | 步骤内错误动作数 35 | 缺失动作数 6 | 重复动作行数 6 | 异常步骤数 7 | 总步骤数 12 | 错误步骤数 5 | 缺失步骤数 1
# 问题比例: 异常步骤比例 58.33% (7/12) | 异常动作比例 57.26% (71/124)
# 异常步骤: 步骤1: 步骤一；步骤8: 步骤八；步骤9: 步骤九；步骤11: 步骤十一；步骤3: 步骤三；步骤2: 步骤二；步骤7: 步骤七
# 错误步骤: 步骤1: 步骤一；步骤8: 步骤八；步骤9: 步骤九；步骤11: 步骤十一；步骤3: 步骤三
# 缺失步骤: 步骤8: 步骤八
# 缺失动作: 步骤8: 缺失动作 set YL1RCV046VP_P.SV=50；步骤8: 缺失动作 set YL1RCV046VP_P.EXECUTE=1；步骤8: 缺失动作 set YL1RCV046VP_P.EXECUTE=0；步骤8: 缺失动作 set YL1RCV046VP_P.SV=55

Run
45 set YL1RCV033VP_P.OPEN=1    # 标注: 多做 | 不在该任务标准流程内
45 set YL1RCV033VP_P.OPEN=0    # 标注: 多做 | 不在该任务标准流程内
46 set YL1RCV033VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
46 set YL1RCV033VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
49 set YL1RCV034VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
49 set YL1RCV034VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
49 set YL1RCV034VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
50 set YL1RCV034VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
53 set YL1RCV034VP_P.OPEN=1    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
53 set YL1RCV034VP_P.OPEN=0    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
55 set YL1RCV034VP_P.OPEN=1    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
55 set YL1RCV034VP_P.OPEN=0    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
56 set YL1RCV034VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
56 set YL1RCV034VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
01:29 set YL1RCV222VP_P.OPEN=1    # 标注: 多做 | 不在该任务标准流程内
01:29 set YL1RCV222VP_P.OPEN=0    # 标注: 多做 | 不在该任务标准流程内
