# 结果摘要: 任务五/六（05_06） | 完成率 100.00% (12/12) | 异常步骤 0/12 (0.00%) | 异常动作 0/57 (0.00%) | 错误动作数 0 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度较高；异常动作总数 0 次，异常动作比例 0.00%，已发生错误动作 0 次，重复步骤 0 次，正确完成步骤 12/12。
# 问题统计: 异常动作总数 0 | 总动作数 57 | 日志动作行数 57 | 已发生错误动作数 0 | 多做动作数 0 | 步骤内错误动作数 0 | 缺失动作数 0 | 重复动作行数 0 | 异常步骤数 0 | 总步骤数 12 | 错误步骤数 0 | 缺失步骤数 0
# 问题比例: 异常步骤比例 0.00% (0/12) | 异常动作比例 0.00% (0/57)
# 异常步骤: 无
# 错误步骤: 无
# 缺失步骤: 无
# 缺失动作: 无

Run
01:04 set YL1RCV034VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
01:04 set YL1RCV034VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
01:05 set YL1RCV034VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
01:05 set YL1RCV034VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
01:28 DCM mov_RCV034VP    # 标注: 正确 | 步骤1: 步骤一
02:10 set YL1RCV046VP_P.SV=0    # 标注: 正确 | 步骤2: 步骤二
02:10 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
02:10 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
02:27 set YL1RCV061VP_P.SV=0    # 标注: 正确 | 步骤3: 步骤三
02:29 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
02:29 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤3: 步骤三
02:47 set YL1RCV002PO_P.OPEN=1    # 标注: 正确 | 步骤4: 步骤四
02:47 set YL1RCV002PO_P.OPEN=0    # 标注: 正确 | 步骤4: 步骤四
02:48 set YL1RCV002PO_P.EXECUTE=1    # 标注: 正确 | 步骤4: 步骤四
02:48 set YL1RCV002PO_P.EXECUTE=0    # 标注: 正确 | 步骤4: 步骤四
03:07 set YL1RCV061VP_P.SV=60    # 标注: 正确 | 步骤5: 步骤五
03:08 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤5: 步骤五
03:08 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤5: 步骤五
03:30 DCM pos_RCV061VP    # 标注: 正确 | 步骤5: 步骤五
03:46 set YL1RCV009VP_P.OPEN=1    # 标注: 正确 | 步骤6: 步骤六
03:47 set YL1RCV009VP_P.OPEN=0    # 标注: 正确 | 步骤6: 步骤六
03:47 set YL1RCV009VP_P.EXECUTE=1    # 标注: 正确 | 步骤6: 步骤六
03:47 set YL1RCV009VP_P.EXECUTE=0    # 标注: 正确 | 步骤6: 步骤六
04:01 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤7: 步骤七
04:01 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤7: 步骤七
04:01 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤7: 步骤七
04:27 set YL1RCV046VP_P.SV=50    # 标注: 正确 | 步骤8: 步骤八
04:28 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤8: 步骤八
04:28 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤8: 步骤八
04:38 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤8: 步骤八
04:38 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤8: 步骤八
04:38 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤8: 步骤八
04:56 DCM tr_RCV018MD    # 标注: 正确 | 步骤8: 步骤八
05:16 set YL1RCV076VP_P.OPEN=1    # 标注: 正确 | 步骤9: 步骤九
05:16 set YL1RCV076VP_P.OPEN=0    # 标注: 正确 | 步骤9: 步骤九
05:17 set YL1RCV076VP_P.EXECUTE=1    # 标注: 正确 | 步骤9: 步骤九
05:17 set YL1RCV076VP_P.EXECUTE=0    # 标注: 正确 | 步骤9: 步骤九
05:29 DCM mov_RCV076VP    # 标注: 正确 | 步骤9: 步骤九
05:35 set YL1RCV077VP_P.OPEN=1    # 标注: 正确 | 步骤10: 步骤十
05:35 set YL1RCV077VP_P.OPEN=0    # 标注: 正确 | 步骤10: 步骤十
05:35 set YL1RCV077VP_P.EXECUTE=1    # 标注: 正确 | 步骤10: 步骤十
05:35 set YL1RCV077VP_P.EXECUTE=0    # 标注: 正确 | 步骤10: 步骤十
05:40 set YL1RCV078VP_P.OPEN=1    # 标注: 正确 | 步骤11: 步骤十一
05:40 set YL1RCV078VP_P.OPEN=0    # 标注: 正确 | 步骤11: 步骤十一
05:41 set YL1RCV078VP_P.EXECUTE=1    # 标注: 正确 | 步骤11: 步骤十一
05:41 set YL1RCV078VP_P.EXECUTE=0    # 标注: 正确 | 步骤11: 步骤十一
05:51 DCM mov_RCV078VP    # 标注: 正确 | 步骤11: 步骤十一
06:46 set YL1RCV061VP_P.SV=62    # 标注: 正确 | 步骤12: 步骤十二
06:47 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤12: 步骤十二
06:47 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤12: 步骤十二
06:56 set YL1RCV061VP_P.SV=65    # 标注: 正确 | 步骤12: 步骤十二
06:57 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤12: 步骤十二
06:57 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤12: 步骤十二
07:11 set YL1RCV061VP_P.SV=60    # 标注: 正确 | 步骤12: 步骤十二
07:12 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤12: 步骤十二
07:12 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤12: 步骤十二
07:39 DCM tr_RCV021MD    # 标注: 正确 | 步骤12: 步骤十二
09:20 Freeze
