# 结果摘要: 任务五 | 完成率 100.00% (4/4) | 异常步骤 0/4 (0.00%) | 异常动作 4/17 (23.53%) | 错误动作数 4 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度较高；异常动作总数 4 次，异常动作比例 23.53%，已发生错误动作 4 次，重复步骤 0 次，正确完成步骤 4/4，多做 4 次。
# 问题统计: 异常动作总数 4 | 总动作数 17 | 日志动作行数 17 | 已发生错误动作数 4 | 多做动作数 4 | 步骤内错误动作数 0 | 缺失动作数 0 | 重复动作行数 0 | 异常步骤数 0 | 总步骤数 4 | 错误步骤数 0 | 缺失步骤数 0
# 问题比例: 异常步骤比例 0.00% (0/4) | 异常动作比例 23.53% (4/17)
# 异常步骤: 无
# 错误步骤: 无
# 缺失步骤: 无
# 缺失动作: 无

Run
01:15 set YL1RCV048VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
01:15 set YL1RCV048VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
01:16 set YL1RCV048VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
01:16 set YL1RCV048VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
01:31 DCM mov_RCV048VP    # 标注: 正确 | 步骤1: 步骤一
01:46 set YL1RCV007VP_P.OPEN=1    # 标注: 正确 | 步骤2: 步骤二
01:46 set YL1RCV007VP_P.OPEN=0    # 标注: 正确 | 步骤2: 步骤二
01:47 set YL1RCV007VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
01:48 set YL1RCV007VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
04:20 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
04:20 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
04:21 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
04:21 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
04:51 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤3: 步骤三
04:51 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
04:51 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤3: 步骤三
05:21 DCM tr_RCV018MD    # 标注: 正确 | 步骤4: 步骤四
05:37 Freeze
