# 结果摘要: 任务五/六（05_06） | 完成率 91.67% (11/12) | 异常步骤 1/12 (8.33%) | 异常动作 9/59 (15.25%) | 错误动作数 9 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度较高；异常动作总数 9 次，异常动作比例 15.25%，已发生错误动作 9 次，重复步骤 0 次，正确完成步骤 11/12，异常步骤 1 个，异常步骤比例 8.33%，错误步骤 1 个，多做 4 次，漏做步骤 1 次，步骤内错误动作 5 次。
# 问题统计: 异常动作总数 9 | 总动作数 59 | 日志动作行数 59 | 已发生错误动作数 9 | 多做动作数 4 | 步骤内错误动作数 5 | 缺失动作数 0 | 重复动作行数 0 | 异常步骤数 1 | 总步骤数 12 | 错误步骤数 1 | 缺失步骤数 1
# 问题比例: 异常步骤比例 8.33% (1/12) | 异常动作比例 15.25% (9/59)
# 异常步骤: 步骤1: 步骤一
# 错误步骤: 步骤1: 步骤一
# 缺失步骤: 步骤1: 步骤一
# 缺失动作: 无

Run
01:38 DCM mov_RCV034VP    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
02:44 set YL1RCV034VP_P.OPEN=1    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
02:44 set YL1RCV034VP_P.OPEN=0    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
02:44 set YL1RCV034VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
02:45 set YL1RCV034VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤1: 步骤一，但未形成完整步骤
03:44 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
03:44 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
03:46 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
03:46 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
04:09 set YL1RCV046VP_P.SV=0    # 标注: 正确 | 步骤2: 步骤二
04:10 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
04:10 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
04:28 set YL1RCV061VP_P.SV=0    # 标注: 正确 | 步骤3: 步骤三
04:29 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
04:29 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤3: 步骤三
04:42 set YL1RCV003PO_P.OPEN=1    # 标注: 正确 | 步骤4: 步骤四
04:43 set YL1RCV003PO_P.OPEN=0    # 标注: 正确 | 步骤4: 步骤四
04:51 set YL1RCV003PO_P.EXECUTE=1    # 标注: 正确 | 步骤4: 步骤四
04:51 set YL1RCV003PO_P.EXECUTE=0    # 标注: 正确 | 步骤4: 步骤四
05:10 set YL1RCV061VP_P.SV=60    # 标注: 正确 | 步骤5: 步骤五
05:11 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤5: 步骤五
05:11 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤5: 步骤五
05:23 set YL1RCV007VP_P.OPEN=1    # 标注: 正确 | 步骤6: 步骤六
05:23 set YL1RCV007VP_P.OPEN=0    # 标注: 正确 | 步骤6: 步骤六
05:24 set YL1RCV007VP_P.EXECUTE=1    # 标注: 正确 | 步骤6: 步骤六
05:24 set YL1RCV007VP_P.EXECUTE=0    # 标注: 正确 | 步骤6: 步骤六
05:42 DCM aov_RCV007VP    # 标注: 正确 | 步骤6: 步骤六
05:51 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤7: 步骤七
05:52 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤7: 步骤七
05:52 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤7: 步骤七
07:08 set YL1RCV046VP_P.SV=49    # 标注: 正确 | 步骤8: 步骤八
07:09 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤8: 步骤八
07:09 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤8: 步骤八
07:16 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤8: 步骤八
07:17 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤8: 步骤八
07:17 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤8: 步骤八
07:26 DCM tr_RCV018MD    # 标注: 正确 | 步骤8: 步骤八
08:40 set YL1RCV076VP_P.OPEN=1    # 标注: 正确 | 步骤9: 步骤九
08:40 set YL1RCV076VP_P.OPEN=0    # 标注: 正确 | 步骤9: 步骤九
08:41 set YL1RCV076VP_P.EXECUTE=1    # 标注: 正确 | 步骤9: 步骤九
08:41 set YL1RCV076VP_P.EXECUTE=0    # 标注: 正确 | 步骤9: 步骤九
08:49 DCM mov_RCV076VP    # 标注: 正确 | 步骤9: 步骤九
08:51 set YL1RCV077VP_P.OPEN=1    # 标注: 正确 | 步骤10: 步骤十
08:51 set YL1RCV077VP_P.OPEN=0    # 标注: 正确 | 步骤10: 步骤十
08:52 set YL1RCV077VP_P.EXECUTE=1    # 标注: 正确 | 步骤10: 步骤十
08:52 set YL1RCV077VP_P.EXECUTE=0    # 标注: 正确 | 步骤10: 步骤十
08:55 set YL1RCV078VP_P.OPEN=1    # 标注: 正确 | 步骤11: 步骤十一
08:55 set YL1RCV078VP_P.OPEN=0    # 标注: 正确 | 步骤11: 步骤十一
08:56 set YL1RCV078VP_P.EXECUTE=1    # 标注: 正确 | 步骤11: 步骤十一
08:56 set YL1RCV078VP_P.EXECUTE=0    # 标注: 正确 | 步骤11: 步骤十一
09:05 DCM mov_RCV078VP    # 标注: 正确 | 步骤11: 步骤十一
09:49 DCM pos_RCV061VP    # 标注: 正确 | 步骤5: 步骤五
11:30 set YL1RCV061VP_P.SV=65    # 标注: 正确 | 步骤12: 步骤十二
