# 结果摘要: 任务五 | 完成率 50.00% (2/4) | 异常步骤 4/4 (100.00%) | 异常动作 27/36 (75.00%) | 错误动作数 22 | 重复次数 1 | 重复率 33.33%
# 分析: 步骤完成度偏低；异常动作总数 27 次，异常动作比例 75.00%，已发生错误动作 22 次，重复步骤 1 次，正确完成步骤 2/4，异常步骤 4 个，异常步骤比例 100.00%，错误步骤 4 个，多做 9 次，漏做步骤 2 次，缺失动作 1 次，步骤内错误动作 13 次。
# 问题统计: 异常动作总数 27 | 总动作数 36 | 日志动作行数 35 | 已发生错误动作数 22 | 多做动作数 9 | 步骤内错误动作数 13 | 缺失动作数 1 | 重复动作行数 4 | 异常步骤数 4 | 总步骤数 4 | 错误步骤数 4 | 缺失步骤数 2
# 问题比例: 异常步骤比例 100.00% (4/4) | 异常动作比例 75.00% (27/36)
# 异常步骤: 步骤3: 步骤三；步骤4: 步骤四；步骤1: 步骤一；步骤2: 步骤二
# 错误步骤: 步骤3: 步骤三；步骤4: 步骤四；步骤1: 步骤一；步骤2: 步骤二
# 缺失步骤: 步骤3: 步骤三；步骤4: 步骤四
# 缺失动作: 步骤3: 未完成任一备选 步骤三

Run
44 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
44 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
45 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
45 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
45 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
45 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
48 set YL1RCV046VP_P.SV=50    # 标注: 多做 | 不在该任务标准流程内
49 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
49 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
54 set YL1RCV046VP_P.SV=55    # 标注: 错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤
54 set YL1RCV046VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤
54 set YL1RCV046VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤
01:05 DCM tr_RCV018MD    # 标注: 错误 | 属于步骤4: 步骤四，但未按标准顺序形成完整步骤
01:18 set YL1RCV048VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
01:18 set YL1RCV048VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
01:19 set YL1RCV048VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
01:19 set YL1RCV048VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
01:23 set YL1RCV048VP_P.OPEN=1    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
01:23 set YL1RCV048VP_P.OPEN=0    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
01:24 set YL1RCV048VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
01:24 set YL1RCV048VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
01:32 DCM mov_RCV048VP    # 标注: 正确 | 步骤1: 步骤一
02:07 set YL1RCV009VP_P.OPEN=1    # 标注: 正确 | 步骤2: 步骤二
02:07 set YL1RCV009VP_P.OPEN=0    # 标注: 正确 | 步骤2: 步骤二
02:07 set YL1RCV009VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
02:07 set YL1RCV009VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
02:10 set YL1RCV008VP_P.OPEN=1    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
02:10 set YL1RCV008VP_P.OPEN=0    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
02:11 set YL1RCV008VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
02:11 set YL1RCV008VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
02:15 set YL1RCV007VP_P.OPEN=1    # 标注: 重复步骤 | 步骤2: 步骤二
02:16 set YL1RCV007VP_P.OPEN=0    # 标注: 重复步骤 | 步骤2: 步骤二
02:16 set YL1RCV007VP_P.EXECUTE=1    # 标注: 重复步骤 | 步骤2: 步骤二
02:16 set YL1RCV007VP_P.EXECUTE=0    # 标注: 重复步骤 | 步骤2: 步骤二
02:28 DCM aov_RCV008VP    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
03:32 Freeze
