# 结果摘要: 任务五 | 完成率 50.00% (2/4) | 异常步骤 2/4 (50.00%) | 异常动作 14/23 (60.87%) | 错误动作数 13 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度偏低；异常动作总数 14 次，异常动作比例 60.87%，已发生错误动作 13 次，重复步骤 0 次，正确完成步骤 2/4，异常步骤 2 个，异常步骤比例 50.00%，错误步骤 1 个，多做 12 次，漏做步骤 2 次，缺失动作 1 次，步骤内错误动作 1 次。
# 问题统计: 异常动作总数 14 | 总动作数 23 | 日志动作行数 22 | 已发生错误动作数 13 | 多做动作数 12 | 步骤内错误动作数 1 | 缺失动作数 1 | 重复动作行数 0 | 异常步骤数 2 | 总步骤数 4 | 错误步骤数 1 | 缺失步骤数 2
# 问题比例: 异常步骤比例 50.00% (2/4) | 异常动作比例 60.87% (14/23)
# 异常步骤: 步骤4: 步骤四；步骤3: 步骤三
# 错误步骤: 步骤4: 步骤四
# 缺失步骤: 步骤3: 步骤三；步骤4: 步骤四
# 缺失动作: 步骤3: 未完成任一备选 步骤三

Run
01:18 set YL1RCV046VP_P.SV=90    # 标注: 多做 | 不在该任务标准流程内
01:18 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
01:18 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
01:24 set YL1RCV046VP_P.SV=100    # 标注: 多做 | 不在该任务标准流程内
01:25 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
01:25 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
01:33 DCM tr_RCV018MD    # 标注: 错误 | 属于步骤4: 步骤四，但未按标准顺序形成完整步骤
01:46 set YL1RCV048VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
01:46 set YL1RCV048VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
01:47 set YL1RCV048VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
01:47 set YL1RCV048VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
01:59 DCM mov_RCV048VP    # 标注: 正确 | 步骤1: 步骤一
02:05 set YL1RCV007VP_P.OPEN=1    # 标注: 正确 | 步骤2: 步骤二
02:05 set YL1RCV007VP_P.OPEN=0    # 标注: 正确 | 步骤2: 步骤二
02:05 set YL1RCV007VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
02:05 set YL1RCV007VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
03:43 set YL1RCV061VP_P.SV=55    # 标注: 多做 | 不在该任务标准流程内
03:44 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
03:44 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
03:49 set YL1RCV061VP_P.SV=60    # 标注: 多做 | 不在该任务标准流程内
03:50 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
03:50 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
04:19 Freeze
