# 结果摘要: 任务五/六（05_06） | 完成率 83.33% (10/12) | 异常步骤 4/12 (33.33%) | 异常动作 35/79 (44.30%) | 错误动作数 28 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度中等；异常动作总数 35 次，异常动作比例 44.30%，已发生错误动作 28 次，重复步骤 0 次，正确完成步骤 10/12，异常步骤 4 个，异常步骤比例 33.33%，错误步骤 3 个，多做 10 次，漏做步骤 2 次，缺失动作 7 次，步骤内错误动作 18 次。
# 问题统计: 异常动作总数 35 | 总动作数 79 | 日志动作行数 72 | 已发生错误动作数 28 | 多做动作数 10 | 步骤内错误动作数 18 | 缺失动作数 7 | 重复动作行数 0 | 异常步骤数 4 | 总步骤数 12 | 错误步骤数 3 | 缺失步骤数 2
# 问题比例: 异常步骤比例 33.33% (4/12) | 异常动作比例 44.30% (35/79)
# 异常步骤: 步骤1: 步骤一；步骤5: 步骤五；步骤3: 步骤三；步骤12: 步骤十二
# 错误步骤: 步骤1: 步骤一；步骤5: 步骤五；步骤3: 步骤三
# 缺失步骤: 步骤5: 步骤五；步骤12: 步骤十二
# 缺失动作: 步骤12: 缺失动作 set YL1RCV061VP_P.SV=100；步骤12: 缺失动作 set YL1RCV061VP_P.EXECUTE=1；步骤12: 缺失动作 set YL1RCV061VP_P.EXECUTE=0；步骤12: 缺失动作 set YL1RCV061VP_P.SV=60；步骤12: 缺失动作 DCM tr_RCV021MD

Run
01:55 set YL1RCV034VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
01:55 set YL1RCV034VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
01:56 set YL1RCV034VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
01:56 set YL1RCV034VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
02:18 ICM mov_RCV034VP t:1    # 标注: 多做 | 不在该任务标准流程内
02:24 DCM mov_RCV034VP    # 标注: 正确 | 步骤1: 步骤一
02:30 set YL1RCV034VP_P.OPEN=1    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
02:30 set YL1RCV034VP_P.OPEN=0    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
02:31 set YL1RCV034VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
02:31 set YL1RCV034VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
02:32 set YL1RCV034VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
02:32 set YL1RCV034VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复
03:18 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
03:18 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
03:18 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
03:19 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
03:30 set YL1RCV046VP_P.SV=0    # 标注: 正确 | 步骤2: 步骤二
03:30 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
03:30 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
03:38 set YL1RCV061VP_P.SV=0    # 标注: 正确 | 步骤3: 步骤三
03:38 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
