# 结果摘要: 任务五/六（05_06） | 完成率 100.00% (12/12) | 异常步骤 1/12 (8.33%) | 异常动作 4/58 (6.90%) | 错误动作数 4 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度较高；异常动作总数 4 次，异常动作比例 6.90%，已发生错误动作 4 次，重复步骤 0 次，正确完成步骤 12/12，异常步骤 1 个，异常步骤比例 8.33%，错误步骤 1 个，步骤内错误动作 4 次。
# 问题统计: 异常动作总数 4 | 总动作数 58 | 日志动作行数 58 | 已发生错误动作数 4 | 多做动作数 0 | 步骤内错误动作数 4 | 缺失动作数 0 | 重复动作行数 0 | 异常步骤数 1 | 总步骤数 12 | 错误步骤数 1 | 缺失步骤数 0
# 问题比例: 异常步骤比例 8.33% (1/12) | 异常动作比例 6.90% (4/58)
# 异常步骤: 步骤6: 步骤六
# 错误步骤: 步骤6: 步骤六
# 缺失步骤: 无
# 缺失动作: 无

Run
55 set YL1RCV034VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
55 set YL1RCV034VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
56 set YL1RCV034VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
57 set YL1RCV034VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
01:14 DCM mov_RCV034VP    # 标注: 正确 | 步骤1: 步骤一
01:59 set YL1RCV046VP_P.SV=0    # 标注: 正确 | 步骤2: 步骤二
02:02 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤2: 步骤二
02:02 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤2: 步骤二
02:10 set YL1RCV061VP_P.SV=0    # 标注: 正确 | 步骤3: 步骤三
02:11 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤3: 步骤三
02:11 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤3: 步骤三
02:38 set YL1RCV002PO_P.OPEN=1    # 标注: 正确 | 步骤4: 步骤四
02:38 set YL1RCV002PO_P.OPEN=0    # 标注: 正确 | 步骤4: 步骤四
02:39 set YL1RCV002PO_P.EXECUTE=1    # 标注: 正确 | 步骤4: 步骤四
02:39 set YL1RCV002PO_P.EXECUTE=0    # 标注: 正确 | 步骤4: 步骤四
02:52 set YL1RCV061VP_P.SV=60    # 标注: 正确 | 步骤5: 步骤五
02:53 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤5: 步骤五
02:53 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤5: 步骤五
03:29 set YL1RCV008VP_P.OPEN=1    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
03:29 set YL1RCV008VP_P.OPEN=0    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
03:30 set YL1RCV008VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
03:30 set YL1RCV008VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤6: 步骤六，但未形成完整步骤
03:38 set YL1RCV009VP_P.OPEN=1    # 标注: 正确 | 步骤6: 步骤六
