# 结果摘要: 任务五 | 完成率 25.00% (1/4) | 异常步骤 3/4 (75.00%) | 异常动作 18/23 (78.26%) | 错误动作数 16 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度偏低；异常动作总数 18 次，异常动作比例 78.26%，已发生错误动作 16 次，重复步骤 0 次，正确完成步骤 1/4，异常步骤 3 个，异常步骤比例 75.00%，错误步骤 2 个，多做 7 次，漏做步骤 3 次，缺失动作 2 次，步骤内错误动作 9 次。
# 问题统计: 异常动作总数 18 | 总动作数 23 | 日志动作行数 21 | 已发生错误动作数 16 | 多做动作数 7 | 步骤内错误动作数 9 | 缺失动作数 2 | 重复动作行数 0 | 异常步骤数 3 | 总步骤数 4 | 错误步骤数 2 | 缺失步骤数 3
# 问题比例: 异常步骤比例 75.00% (3/4) | 异常动作比例 78.26% (18/23)
# 异常步骤: 步骤2: 步骤二；步骤4: 步骤四；步骤3: 步骤三
# 错误步骤: 步骤2: 步骤二；步骤4: 步骤四
# 缺失步骤: 步骤2: 步骤二；步骤3: 步骤三；步骤4: 步骤四
# 缺失动作: 步骤2: 未完成任一备选 步骤二；步骤3: 未完成任一备选 步骤三

Run
39 set YL1RCV007VP_P.OPEN=1    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
39 set YL1RCV007VP_P.OPEN=0    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
39 set YL1RCV007VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
39 set YL1RCV007VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
48 DCM aov_RCV007VP    # 标注: 多做 | 不在该任务标准流程内
51 set YL1RCV007VP_P.OPEN=1    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
51 set YL1RCV007VP_P.OPEN=0    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
52 set YL1RCV007VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
52 set YL1RCV007VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤
01:23 set YL1RCV046VP_P.SV=90    # 标注: 多做 | 不在该任务标准流程内
01:25 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
01:25 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
01:28 set YL1RCV046VP_P.SV=100    # 标注: 多做 | 不在该任务标准流程内
01:30 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
01:30 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
01:36 DCM tr_RCV018MD    # 标注: 错误 | 属于步骤4: 步骤四，但未按标准顺序形成完整步骤
01:52 set YL1RCV048VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
01:52 set YL1RCV048VP_P.OPEN=0    # 标注: 正确 | 步骤1: 步骤一
01:53 set YL1RCV048VP_P.EXECUTE=1    # 标注: 正确 | 步骤1: 步骤一
01:53 set YL1RCV048VP_P.EXECUTE=0    # 标注: 正确 | 步骤1: 步骤一
02:08 DCM mov_RCV048VP    # 标注: 正确 | 步骤1: 步骤一
02:28 Freeze
