group,file_name,operator_id,task_code,task_name,completed_step_count,standard_step_count,completion_rate,issue_step_count,issue_step_rate,log_action_count,total_action_count,total_issue_action_count,issue_action_rate,observed_error_action_count,error_action_count,extra_count,step_error_action_count,missing_count,missing_action_count,duplicate_action_count,step_error_step_count,missing_step_count,duplicate_count,duplicate_rate,issue_steps,step_error_steps,completion_missing_steps,extra_actions,step_error_actions,missing_actions,duplicate_actions,duplicate_steps,error_missing_steps
13,1303.txt,13,03,任务三,6,7,0.8571,3,0.4286,39,43,17,0.3953,13,13,3,10,1,4,0,3,1,0,0.0,步骤3: 将RCP016KG置手动；步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)；步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后）,步骤3: 将RCP016KG置手动；步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)；步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后）,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后）,行46: set YL1RCP002VP_P.SV=0（多做 | 不在该任务标准流程内）；行47: set YL1RCP002VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行48: set YL1RCP002VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）,行10: set YL1RCP016KG.MANUAL=1（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行11: set YL1RCP016KG.MANUAL=0（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行12: set YL1RCP016KG.EXECUTE=1（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行13: set YL1RCP016KG.EXECUTE=0（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行25: set YL1RCP002VP_P.MANUAL=1（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行26: set YL1RCP002VP_P.MANUAL=0（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行27: set YL1RCP002VP_P.SV=100（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行43: set YL1RCP001VP_P.SV=9（错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤）；行44: set YL1RCP001VP_P.EXECUTE=1（错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤）；行45: set YL1RCP001VP_P.EXECUTE=0（错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤）,步骤7: 缺失动作 set YL1RCP002VP_P.AUTO=1；步骤7: 缺失动作 set YL1RCP002VP_P.AUTO=0；步骤7: 缺失动作 set YL1RCP002VP_P.EXECUTE=1；步骤7: 缺失动作 set YL1RCP002VP_P.EXECUTE=0,,,步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后）
13,1305.txt,13,05,任务五,1,4,0.25,4,1.0,23,26,25,0.9615,20,20,8,12,3,3,2,1,3,2,0.6667,步骤1: 步骤一；步骤2: 步骤二；步骤3: 步骤三；步骤4: 步骤四,步骤1: 步骤一,步骤1: 步骤一；步骤2: 步骤二；步骤3: 步骤三,"行10: set YL1RCV046VP_P.SV=70（多做 | 不在该任务标准流程内）；行11: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行12: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行13: ICM tr_RCV018MD t:10（多做 | 不在该任务标准流程内）；行23: insmp tr_RCV018MD.imvFailure（多做 | 不在该任务标准流程内）；行24: changemp tr_RCV018MD.imvFailure ,,,Transmitter power failure（多做 | 不在该任务标准流程内）；行25: ICM tr_RCV018MD t:10（多做 | 不在该任务标准流程内）；行27: ICM tr_RCV018MD t:10（多做 | 不在该任务标准流程内）",行15: set YL1RCV048VP_P.OPEN=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行16: set YL1RCV048VP_P.OPEN=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行17: set YL1RCV048VP_P.EXECUTE=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行18: set YL1RCV048VP_P.EXECUTE=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行19: set YL1RCV048VP_P.OPEN=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行20: set YL1RCV048VP_P.OPEN=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行21: set YL1RCV048VP_P.EXECUTE=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行22: set YL1RCV048VP_P.EXECUTE=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行29: set YL1RCV048VP_P.OPEN=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行30: set YL1RCV048VP_P.OPEN=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行31: set YL1RCV048VP_P.EXECUTE=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行32: set YL1RCV048VP_P.EXECUTE=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）,步骤1: 缺失动作 DCM mov_RCV048VP；步骤2: 未完成任一备选 步骤二；步骤3: 未完成任一备选 步骤三,行26: DCM tr_RCV018MD（重复步骤 | 步骤4: 步骤四）；行28: DCM tr_RCV018MD（重复步骤 | 步骤4: 步骤四）,步骤4: 步骤四,步骤1: 步骤一；步骤2: 步骤二；步骤3: 步骤三
14,1403.txt,14,03,任务三,7,7,1.0,2,0.2857,46,46,13,0.2826,9,9,5,4,0,0,4,1,0,1,0.125,步骤3: 将RCP016KG置手动；步骤6: 将RCP016KG置手动,步骤3: 将RCP016KG置手动,,行14: set YL1RCP001VP_P.MANUAL=1（多做 | 不在该任务标准流程内）；行15: set YL1RCP001VP_P.MANUAL=0（多做 | 不在该任务标准流程内）；行16: set YL1RCP001VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行17: set YL1RCP001VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行51: set YL1RCP002VP_P.SV=0（多做 | 不在该任务标准流程内）,行10: set YL1RCP016KG.MANUAL=1（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行11: set YL1RCP016KG.MANUAL=0（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行12: set YL1RCP016KG.EXECUTE=1（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行13: set YL1RCP016KG.EXECUTE=0（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）,,行44: set YL1RCP016KG.MANUAL=1（重复步骤 | 步骤6: 将RCP016KG置手动）；行45: set YL1RCP016KG.MANUAL=0（重复步骤 | 步骤6: 将RCP016KG置手动）；行46: set YL1RCP016KG.EXECUTE=1（重复步骤 | 步骤6: 将RCP016KG置手动）；行47: set YL1RCP016KG.EXECUTE=0（重复步骤 | 步骤6: 将RCP016KG置手动）,步骤6: 将RCP016KG置手动,
14,1405.txt,14,05,任务五,2,4,0.5,4,1.0,113,115,108,0.9391,100,100,86,14,2,2,6,3,2,2,0.5,步骤1: 步骤一；步骤3: 步骤三；步骤2: 步骤二；步骤4: 步骤四,步骤1: 步骤一；步骤3: 步骤三；步骤2: 步骤二,步骤1: 步骤一；步骤4: 步骤四,行10: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行11: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行16: set YL1RCV046VP_P.SV=61.0675（多做 | 不在该任务标准流程内）；行17: set YL1RCV046VP_P.MANUAL=1（多做 | 不在该任务标准流程内）；行18: set YL1RCV046VP_P.MANUAL=0（多做 | 不在该任务标准流程内）；行19: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行20: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行24: set YL1RCV061VP_P.SV=88（多做 | 不在该任务标准流程内）；行25: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行26: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行27: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行28: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行33: set YL1RCV061VP_P.SV=60（多做 | 不在该任务标准流程内）；行34: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行35: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行36: set YL1RCV007VP_P.CLOSE=1（多做 | 不在该任务标准流程内）；行37: set YL1RCV007VP_P.CLOSE=0（多做 | 不在该任务标准流程内）；行38: set YL1RCV007VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行39: set YL1RCV007VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行42: set YL1RCV061VP_P.SV=85（多做 | 不在该任务标准流程内）；行43: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行44: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行45: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行46: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行47: set YL1RCV002PO_P.OPEN=1（多做 | 不在该任务标准流程内）；行48: set YL1RCV002PO_P.OPEN=0（多做 | 不在该任务标准流程内）；行49: set YL1RCV002PO_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行50: set YL1RCV002PO_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行51: set YL1RCV002PO_P.CLOSE=1（多做 | 不在该任务标准流程内）；行52: set YL1RCV002PO_P.CLOSE=0（多做 | 不在该任务标准流程内）；行53: set YL1RCV002PO_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行54: set YL1RCV002PO_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行55: set YL1RCV003PO_P.OPEN=1（多做 | 不在该任务标准流程内）；行56: set YL1RCV003PO_P.OPEN=0（多做 | 不在该任务标准流程内）；行57: set YL1RCV003PO_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行58: set YL1RCV003PO_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行59: set YL1RCV046VP_P.MANUAL=1（多做 | 不在该任务标准流程内）；行60: set YL1RCV046VP_P.MANUAL=0（多做 | 不在该任务标准流程内）；行61: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行62: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行63: set YL1RCV046VP_P.SV=0（多做 | 不在该任务标准流程内）；行64: set YL1RCV046VP_P.SV=0（多做 | 不在该任务标准流程内）；行65: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行66: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行67: set YL1RCV061VP_P.SV=0（多做 | 不在该任务标准流程内）；行68: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行69: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行70: set YL1RCV003PO_P.OPEN=1（多做 | 不在该任务标准流程内）；行71: set YL1RCV003PO_P.OPEN=0（多做 | 不在该任务标准流程内）；行72: set YL1RCV003PO_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行73: set YL1RCV003PO_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行74: set YL1RCV061VP_P.SV=60（多做 | 不在该任务标准流程内）；行75: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行76: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行84: set YL1RCV009VP_P.CLOSE=1（多做 | 不在该任务标准流程内）；行85: set YL1RCV009VP_P.CLOSE=0（多做 | 不在该任务标准流程内）；行86: set YL1RCV009VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行87: set YL1RCV009VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行88: set YL1RCV003PO_P.CLOSE=1（多做 | 不在该任务标准流程内）；行89: set YL1RCV003PO_P.CLOSE=0（多做 | 不在该任务标准流程内）；行90: set YL1RCV003PO_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行91: set YL1RCV003PO_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行92: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行93: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行94: set YL1RCV046VP_P.MANUAL=1（多做 | 不在该任务标准流程内）；行95: set YL1RCV046VP_P.MANUAL=0（多做 | 不在该任务标准流程内）；行96: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行97: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行98: set YL1RCV046VP_P.SV=0（多做 | 不在该任务标准流程内）；行99: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行100: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行101: set YL1RCV061VP_P.SV=0（多做 | 不在该任务标准流程内）；行102: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行103: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行104: set YL1RCV003PO_P.OPEN=1（多做 | 不在该任务标准流程内）；行105: set YL1RCV003PO_P.OPEN=0（多做 | 不在该任务标准流程内）；行106: set YL1RCV003PO_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行107: set YL1RCV003PO_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行108: set YL1RCV061VP_P.SV=60（多做 | 不在该任务标准流程内）；行109: set YL1RCV061VP_P.SV=60（多做 | 不在该任务标准流程内）；行110: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行111: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行116: set YL1RCV046VP_P.MANUAL=1（多做 | 不在该任务标准流程内）；行117: set YL1RCV046VP_P.MANUAL=0（多做 | 不在该任务标准流程内）；行118: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行119: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）,行29: set YL1RCV048VP_P.OPEN=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行30: set YL1RCV048VP_P.OPEN=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行31: set YL1RCV048VP_P.EXECUTE=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行32: set YL1RCV048VP_P.EXECUTE=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行40: set YL1RCV046VP_P.EXECUTE=1（错误 | 属于步骤3: 步骤三，但未完整复现整步，不计重复）；行41: set YL1RCV046VP_P.EXECUTE=0（错误 | 属于步骤3: 步骤三，但未完整复现整步，不计重复）；行77: set YL1RCV009VP_P.OPEN=1（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）；行78: set YL1RCV009VP_P.OPEN=0（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）；行79: set YL1RCV009VP_P.EXECUTE=1（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）；行80: set YL1RCV009VP_P.EXECUTE=0（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）；行112: set YL1RCV007VP_P.OPEN=1（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）；行113: set YL1RCV007VP_P.OPEN=0（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）；行114: set YL1RCV007VP_P.EXECUTE=1（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）；行115: set YL1RCV007VP_P.EXECUTE=0（错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复）,步骤1: 缺失动作 DCM mov_RCV048VP；步骤4: 缺失动作 DCM tr_RCV018MD,行81: set YL1RCV046VP_P.SV=55（重复步骤 | 步骤3: 步骤三）；行82: set YL1RCV046VP_P.EXECUTE=1（重复步骤 | 步骤3: 步骤三）；行83: set YL1RCV046VP_P.EXECUTE=0（重复步骤 | 步骤3: 步骤三）；行120: set YL1RCV046VP_P.SV=55（重复步骤 | 步骤3: 步骤三）；行121: set YL1RCV046VP_P.EXECUTE=1（重复步骤 | 步骤3: 步骤三）；行122: set YL1RCV046VP_P.EXECUTE=0（重复步骤 | 步骤3: 步骤三）,步骤3: 步骤三,步骤1: 步骤一；步骤4: 步骤四
15,1503.txt,15,03,任务三,7,7,1.0,1,0.1429,37,37,4,0.1081,4,4,0,4,0,0,0,1,0,0,0.0,步骤3: 将RCP016KG置手动,步骤3: 将RCP016KG置手动,,,行10: set YL1RCP016KG.MANUAL=1（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行11: set YL1RCP016KG.MANUAL=0（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行12: set YL1RCP016KG.EXECUTE=1（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）；行13: set YL1RCP016KG.EXECUTE=0（错误 | 属于步骤3: 将RCP016KG置手动，但未按标准顺序形成完整步骤）,,,,
15,1505.txt,15,05,任务五,2,4,0.5,4,1.0,37,38,30,0.7895,29,29,17,12,2,1,0,4,2,0,0.0,步骤3: 步骤三；步骤4: 步骤四；步骤1: 步骤一；步骤2: 步骤二,步骤3: 步骤三；步骤4: 步骤四；步骤1: 步骤一；步骤2: 步骤二,步骤2: 步骤二；步骤4: 步骤四,行17: set YL1RCV046VP_P.SV=65（多做 | 不在该任务标准流程内）；行18: set YL1RCV046VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行19: set YL1RCV046VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行20: set YL1RCV048VP_P.CLOSE=1（多做 | 不在该任务标准流程内）；行21: set YL1RCV048VP_P.CLOSE=0（多做 | 不在该任务标准流程内）；行22: set YL1RCV048VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行23: set YL1RCV048VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行25: set YL1RCV061VP_P.SV=55（多做 | 不在该任务标准流程内）；行26: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行27: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行28: set YL1RCV061VP_P.SV=60（多做 | 不在该任务标准流程内）；行29: set YL1RCV061VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行30: set YL1RCV061VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）；行32: set YL1RCV048VP_P.CLOSE=1（多做 | 不在该任务标准流程内）；行33: set YL1RCV048VP_P.CLOSE=0（多做 | 不在该任务标准流程内）；行34: set YL1RCV048VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行35: set YL1RCV048VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）,行10: set YL1RCV046VP_P.SV=55（错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤）；行11: set YL1RCV046VP_P.EXECUTE=1（错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤）；行12: set YL1RCV046VP_P.EXECUTE=0（错误 | 属于步骤3: 步骤三，但未按标准顺序形成完整步骤）；行24: DCM tr_RCV018MD（错误 | 属于步骤4: 步骤四，但未按标准顺序形成完整步骤）；行39: set YL1RCV048VP_P.OPEN=1（错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复）；行40: set YL1RCV048VP_P.OPEN=0（错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复）；行41: set YL1RCV048VP_P.EXECUTE=1（错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复）；行42: set YL1RCV048VP_P.EXECUTE=0（错误 | 属于步骤1: 步骤一，但未完整复现整步，不计重复）；行43: set YL1RCV008VP_P.OPEN=1（错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤）；行44: set YL1RCV008VP_P.OPEN=0（错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤）；行45: set YL1RCV008VP_P.EXECUTE=1（错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤）；行46: set YL1RCV008VP_P.EXECUTE=0（错误 | 属于步骤2: 步骤二，但未按标准顺序形成完整步骤）,步骤2: 未完成任一备选 步骤二,,,步骤2: 步骤二；步骤4: 步骤四
16,1603.txt,16,03,任务三,5,7,0.7143,3,0.4286,37,41,18,0.439,10,10,4,6,2,4,4,2,2,1,0.1667,步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)；步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)；步骤6: 将RCP016KG置手动,步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)；步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%),步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)；步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%),行11: set YL1RCP001VP_P.MANUAL=1（多做 | 不在该任务标准流程内）；行12: set YL1RCP001VP_P.MANUAL=0（多做 | 不在该任务标准流程内）；行13: set YL1RCP001VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行14: set YL1RCP001VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）,行10: set YL1RCP001VP_P.SV=100（错误 | 属于步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行23: set YL1RCP002VP_P.MANUAL=1（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行24: set YL1RCP002VP_P.MANUAL=0（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行25: set YL1RCP002VP_P.SV=100（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行26: set YL1RCP002VP_P.EXECUTE=1（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）；行27: set YL1RCP002VP_P.EXECUTE=0（错误 | 属于步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)，但未按标准顺序形成完整步骤）,步骤1: 缺失动作 set YL1RCP001VP_P.EXECUTE=1；步骤1: 缺失动作 set YL1RCP001VP_P.EXECUTE=0；步骤4: 缺失动作 set YL1RCP002VP_P.EXECUTE=1；步骤4: 缺失动作 set YL1RCP002VP_P.EXECUTE=0,行36: set YL1RCP016KG.MANUAL=1（重复步骤 | 步骤6: 将RCP016KG置手动）；行37: set YL1RCP016KG.MANUAL=0（重复步骤 | 步骤6: 将RCP016KG置手动）；行38: set YL1RCP016KG.EXECUTE=1（重复步骤 | 步骤6: 将RCP016KG置手动）；行39: set YL1RCP016KG.EXECUTE=0（重复步骤 | 步骤6: 将RCP016KG置手动）,步骤6: 将RCP016KG置手动,步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)；步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
16,1605.txt,16,05,任务五,1,4,0.25,3,0.75,5,8,7,0.875,4,4,0,4,3,3,0,1,3,0,0.0,步骤1: 步骤一；步骤2: 步骤二；步骤3: 步骤三,步骤1: 步骤一,步骤1: 步骤一；步骤2: 步骤二；步骤3: 步骤三,,行11: set YL1RCV048VP_P.OPEN=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行12: set YL1RCV048VP_P.OPEN=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行13: set YL1RCV048VP_P.EXECUTE=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行14: set YL1RCV048VP_P.EXECUTE=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）,步骤1: 缺失动作 DCM mov_RCV048VP；步骤2: 未完成任一备选 步骤二；步骤3: 未完成任一备选 步骤三,,,步骤1: 步骤一；步骤2: 步骤二；步骤3: 步骤三
17,1704.txt,17,04,任务四,18,18,1.0,0,0.0,57,57,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
17,1705.txt,17,05,任务五,2,4,0.5,2,0.5,13,15,10,0.6667,8,8,4,4,2,2,0,1,2,0,0.0,步骤1: 步骤一；步骤2: 步骤二,步骤1: 步骤一,步骤1: 步骤一；步骤2: 步骤二,行19: set YL1RCV007VP_P.CLOSE=1（多做 | 不在该任务标准流程内）；行20: set YL1RCV007VP_P.CLOSE=0（多做 | 不在该任务标准流程内）；行21: set YL1RCV007VP_P.EXECUTE=1（多做 | 不在该任务标准流程内）；行22: set YL1RCV007VP_P.EXECUTE=0（多做 | 不在该任务标准流程内）,行10: set YL1RCV048VP_P.OPEN=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行11: set YL1RCV048VP_P.OPEN=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行12: set YL1RCV048VP_P.EXECUTE=1（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）；行13: set YL1RCV048VP_P.EXECUTE=0（错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤）,步骤1: 缺失动作 DCM mov_RCV048VP；步骤2: 未完成任一备选 步骤二,,,步骤1: 步骤一；步骤2: 步骤二
