subject,task,n_segments_all,n_segments_50_500ms,seg_duration_median_ms,seg_duration_p95_ms
1,2,2780,421,10.0,110.0
1,3,51,17,30.0,105.5
1,5_6,180,96,50.0,150.0
10,2,702,275,30.0,140.0
10,3,414,198,40.0,160.0
10,5_6,499,298,50.0,140.09999999999997
11,1,436,365,80.0,252.5
11,3,175,131,70.0,163.69999999999985
11,5_6,222,154,60.5,160.0
12,2,220,149,60.0,120.49999999999983
12,3,153,84,50.0,162.60000000000045
12,5_6,60,33,50.0,111.44999999999997
13,3,174,88,50.0,130.35
13,5,234,152,60.0,120.0
13,5_6,308,200,60.0,130.0
14,3,77,30,31.0,120.80000000000014
14,5,216,83,30.0,110.0
14,5_6,131,68,50.0,111.0
15,3,121,32,20.0,90.0
15,5,109,30,30.0,85.99999999999994
15,5_6,115,39,30.0,110.0
16,3,164,92,60.0,140.85
16,5,50,26,50.0,116.49999999999997
16,5_6,213,128,50.0,130.0
17,4,733,439,70.0,311.0
17,5,324,130,30.0,189.34999999999962
17,5_6,452,168,30.0,130.0
18,3,101,47,30.0,150.0
18,5,103,55,50.0,100.0
18,5_6,328,164,45.0,130.64999999999998
19,3,85,47,50.0,107.99999999999997
19,5,31,16,50.0,85.0
19,5_6,185,79,40.0,100.0
2,1,573,286,41.0,120.0
2,3,127,43,30.0,90.0
2,5_6,242,72,30.0,101.0
20,3,27,15,50.0,97.3
20,4,404,219,50.0,140.84999999999997
20,5_6,33,17,50.0,84.99999999999999
21,3,108,81,70.0,200.64999999999998
21,4,189,143,70.0,176.39999999999995
21,5,135,77,50.0,165.99999999999994
21,5_6,558,360,50.0,200.0
22,3,150,71,40.0,151.44999999999968
22,4,432,281,80.0,180.0
22,5,156,100,70.0,181.0
22,5_6,216,153,80.0,132.5
23,3,97,23,20.0,100.19999999999999
23,5,37,18,40.0,90.0
23,5_6,110,24,20.0,85.49999999999997
24,3,294,148,50.0,150.0
24,4,994,552,50.0,130.0
24,5_6,3308,1188,30.0,110.0
25,3,333,198,60.0,134.5999999999998
25,4,1360,460,20.0,151.0
25,5_6,744,503,80.0,171.0
26,3,194,131,60.0,100.0
26,4,651,482,60.0,111.0
26,5_6,536,364,60.0,100.0
3,1,357,185,50.0,120.0
3,4,127,58,40.0,97.2999999999999
3,5_6,94,48,50.0,136.9999999999999
4,2,511,299,50.0,130.0
4,4,392,225,50.0,130.0
4,5_6,165,81,40.0,137.99999999999983
5,1,406,228,60.0,140.0
5,4,253,148,60.0,143.99999999999977
5,5_6,153,83,60.0,160.0
6,2,2336,573,20.0,150.0
6,3,103,33,30.0,100.89999999999999
6,5_6,54,19,35.5,90.35
7,2,416,279,81.0,193.25
7,3,248,170,71.0,160.0
7,5_6,291,152,50.0,120.0
8,1,962,376,30.0,190.0
8,4,544,333,70.0,210.85000000000002
8,5_6,286,153,51.0,205.25
9,1,532,312,60.0,171.0
9,4,293,216,80.0,160.0
9,5_6,141,75,50.0,150.0
