sample_id,subject,task,window_n,window_file,task_difficulty,nasa_tlx_weighted_task_label,has_blink_segments
subject_01_task_2,1,2,295,subject_01_task_2.csv,中,4.733333333333333,1
subject_01_task_3,1,3,53,subject_01_task_3.csv,低,3.6666666666666665,1
subject_01_task_5_6,1,5_6,98,subject_01_task_5_6.csv,高,6.666666666666667,1
subject_02_task_1,2,1,278,subject_02_task_1.csv,中,5.666666666666667,1
subject_02_task_3,2,3,65,subject_02_task_3.csv,低,3.6666666666666665,1
subject_02_task_5_6,2,5_6,131,subject_02_task_5_6.csv,高,6.6,1
subject_03_task_1,3,1,297,subject_03_task_1.csv,中,5.533333333333333,1
subject_03_task_4,3,4,135,subject_03_task_4.csv,中,5.666666666666667,1
subject_03_task_5_6,3,5_6,114,subject_03_task_5_6.csv,高,6.0,1
subject_04_task_2,4,2,406,subject_04_task_2.csv,中,5.666666666666667,1
subject_04_task_4,4,4,235,subject_04_task_4.csv,中,6.266666666666667,1
subject_04_task_5_6,4,5_6,83,subject_04_task_5_6.csv,高,6.866666666666666,1
subject_05_task_1,5,1,278,subject_05_task_1.csv,中,4.066666666666666,1
subject_05_task_4,5,4,207,subject_05_task_4.csv,中,5.733333333333333,1
subject_05_task_5_6,5,5_6,57,subject_05_task_5_6.csv,高,5.733333333333333,1
subject_06_task_2,6,2,416,subject_06_task_2.csv,中,5.666666666666667,1
subject_06_task_3,6,3,101,subject_06_task_3.csv,低,5.0,1
subject_06_task_5_6,6,5_6,88,subject_06_task_5_6.csv,高,6.266666666666667,1
subject_07_task_2,7,2,198,subject_07_task_2.csv,中,4.866666666666666,1
subject_07_task_3,7,3,79,subject_07_task_3.csv,低,4.066666666666666,1
subject_07_task_5_6,7,5_6,118,subject_07_task_5_6.csv,高,6.866666666666666,1
subject_08_task_1,8,1,265,subject_08_task_1.csv,中,5.533333333333333,1
subject_08_task_4,8,4,179,subject_08_task_4.csv,中,5.066666666666666,1
subject_08_task_5_6,8,5_6,77,subject_08_task_5_6.csv,高,6.066666666666666,1
subject_09_task_1,9,1,211,subject_09_task_1.csv,中,5.666666666666667,1
subject_09_task_4,9,4,175,subject_09_task_4.csv,中,5.2,1
subject_09_task_5_6,9,5_6,68,subject_09_task_5_6.csv,高,6.0,1
subject_10_task_2,10,2,1,subject_10_task_2.csv,中,4.4,1
subject_10_task_3,10,3,105,subject_10_task_3.csv,低,4.4,1
subject_10_task_5_6,10,5_6,127,subject_10_task_5_6.csv,高,7.066666666666666,1
subject_11_task_1,11,1,235,subject_11_task_1.csv,中,5.666666666666667,1
subject_11_task_3,11,3,94,subject_11_task_3.csv,低,4.066666666666666,1
subject_11_task_5_6,11,5_6,145,subject_11_task_5_6.csv,高,7.8,1
subject_12_task_2,12,2,413,subject_12_task_2.csv,中,5.333333333333333,1
subject_12_task_3,12,3,60,subject_12_task_3.csv,低,4.266666666666667,1
subject_12_task_5_6,12,5_6,132,subject_12_task_5_6.csv,高,7.666666666666667,1
subject_13_task_3,13,3,3,subject_13_task_3.csv,低,2.2666666666666666,1
subject_13_task_5,13,5,103,subject_13_task_5.csv,低,2.2666666666666666,1
subject_13_task_5_6,13,5_6,141,subject_13_task_5_6.csv,高,4.6,1
subject_14_task_3,14,3,46,subject_14_task_3.csv,低,1.3333333333333333,1
subject_14_task_5,14,5,220,subject_14_task_5.csv,低,3.466666666666667,1
subject_14_task_5_6,14,5_6,136,subject_14_task_5_6.csv,高,4.733333333333333,1
subject_15_task_3,15,3,70,subject_15_task_3.csv,低,2.2666666666666666,1
subject_15_task_5,15,5,100,subject_15_task_5.csv,低,2.6,1
subject_15_task_5_6,15,5_6,75,subject_15_task_5_6.csv,高,7.333333333333333,1
subject_16_task_3,16,3,67,subject_16_task_3.csv,低,4.666666666666667,1
subject_16_task_5,16,5,17,subject_16_task_5.csv,低,3.6,1
subject_16_task_5_6,16,5_6,50,subject_16_task_5_6.csv,高,6.066666666666666,1
subject_16_task_5_6_repeat_1,16,5_6,136,subject_16_task_5_6_repeat_1.csv,高,6.066666666666666,1
subject_17_task_4,17,4,162,subject_17_task_4.csv,中,4.266666666666667,1
subject_17_task_5,17,5,45,subject_17_task_5.csv,低,2.2666666666666666,1
subject_17_task_5_6,17,5_6,92,subject_17_task_5_6.csv,高,6.4,1
subject_18_task_3,18,3,42,subject_18_task_3.csv,低,3.1333333333333333,1
subject_18_task_5,18,5,62,subject_18_task_5.csv,低,3.8666666666666663,1
subject_18_task_5_6,18,5_6,164,subject_18_task_5_6.csv,高,6.6,1
subject_19_task_3,19,3,53,subject_19_task_3.csv,低,2.8666666666666667,1
subject_19_task_5,19,5,24,subject_19_task_5.csv,低,3.8666666666666663,1
subject_19_task_5_6,19,5_6,160,subject_19_task_5_6.csv,高,5.733333333333333,1
subject_19_task_5_repeat_1,19,5,40,subject_19_task_5_repeat_1.csv,低,3.8666666666666663,1
subject_20_task_3,20,3,35,subject_20_task_3.csv,低,1.6,1
subject_20_task_4,20,4,298,subject_20_task_4.csv,中,5.666666666666667,1
subject_20_task_5_6_repeat_1,20,5_6,94,subject_20_task_5_6_repeat_1.csv,高,7.4,1
subject_20_task_5_6_repeat_2,20,5_6,54,subject_20_task_5_6_repeat_2.csv,高,6.733333333333333,1
subject_21_task_3,21,3,6,subject_21_task_3.csv,低,2.3333333333333335,1
subject_21_task_4,21,4,141,subject_21_task_4.csv,中,3.6,1
subject_21_task_5,21,5,56,subject_21_task_5.csv,低,2.6,1
subject_21_task_5_6,21,5_6,187,subject_21_task_5_6.csv,高,7.133333333333334,1
subject_22_task_3,22,3,40,subject_22_task_3.csv,低,2.2666666666666666,1
subject_22_task_4,22,4,209,subject_22_task_4.csv,中,4.733333333333333,1
subject_22_task_5,22,5,96,subject_22_task_5.csv,低,3.2666666666666666,1
subject_22_task_5_6,22,5_6,147,subject_22_task_5_6.csv,高,6.533333333333333,1
subject_23_task_3,23,3,69,subject_23_task_3.csv,低,2.4,1
subject_23_task_5,23,5,27,subject_23_task_5.csv,低,5.933333333333334,1
subject_23_task_5_6,23,5_6,102,subject_23_task_5_6.csv,高,6.866666666666666,1
subject_23_task_5_6_repeat_1,23,5_6,79,subject_23_task_5_6_repeat_1.csv,高,6.533333333333333,1
subject_24_task_3,24,3,78,subject_24_task_3.csv,低,4.2,1
subject_24_task_4,24,4,275,subject_24_task_4.csv,中,5.6,1
subject_24_task_5_6,24,5_6,354,subject_24_task_5_6.csv,高,7.333333333333333,1
subject_25_task_3,25,3,219,subject_25_task_3.csv,低,4.666666666666667,1
subject_25_task_4,25,4,354,subject_25_task_4.csv,中,5.666666666666667,1
subject_25_task_5_6,25,5_6,463,subject_25_task_5_6.csv,高,6.133333333333334,1
subject_26_task_3,26,3,144,subject_26_task_3.csv,低,2.933333333333333,1
subject_26_task_4,26,4,313,subject_26_task_4.csv,中,5.333333333333333,1
subject_26_task_5_6,26,5_6,391,subject_26_task_5_6.csv,高,6.466666666666667,1
