sample_id,subject,task,label_task,eeg_window_exists,log_exists,log_source,log_action_count,has_timestamps,is_annotated,alignment_method,n_log_features_added,actions_beyond_eeg_duration,notes
subject_01_task_2,01,2,2,True,True,annotated,56,True,True,relative_time,32,2,
subject_01_task_3,01,3,3,True,True,annotated,45,True,True,relative_time,32,8,
subject_01_task_5_6,01,5_6,5_6,True,True,annotated,52,True,True,relative_time,32,14,
subject_02_task_1,02,1,1,True,True,annotated,28,True,True,relative_time,32,2,
subject_02_task_3,02,3,3,True,True,annotated,46,True,True,relative_time,32,16,
subject_02_task_5_6,02,5_6,5_6,True,True,annotated,55,True,True,relative_time,32,19,
subject_03_task_1,03,1,1,True,True,annotated,34,True,True,relative_time,32,0,
subject_03_task_4,03,4,4,True,True,annotated,71,True,True,relative_time,32,0,
subject_03_task_5_6,03,5_6,5_6,True,True,annotated,54,True,True,relative_time,32,8,
subject_04_task_2,04,2,2,True,True,annotated,58,True,True,relative_time,32,2,
subject_04_task_4,04,4,4,True,True,annotated,81,True,True,relative_time,32,18,
subject_04_task_5_6,04,5_6,5_6,True,True,annotated,52,True,True,relative_time,32,16,
subject_05_task_1,05,1,1,True,True,annotated,40,True,True,relative_time,32,0,
subject_05_task_4,05,4,4,True,True,annotated,106,True,True,relative_time,32,5,
subject_05_task_5_6,05,5_6,5_6,True,True,annotated,45,True,True,relative_time,32,14,
subject_06_task_2,06,2,2,True,True,annotated,59,True,True,relative_time,32,0,
subject_06_task_3,06,3,3,True,True,annotated,60,True,True,relative_time,32,1,
subject_06_task_5_6,06,5_6,5_6,True,True,annotated,48,True,True,relative_time,32,6,
subject_07_task_2,07,2,2,True,True,annotated,52,True,True,relative_time,32,0,
subject_07_task_3,07,3,3,True,True,annotated,54,True,True,relative_time,32,1,
subject_07_task_5_6,07,5_6,5_6,True,True,annotated,44,True,True,relative_time,32,1,
subject_08_task_1,08,1,1,True,True,annotated,30,True,True,relative_time,32,0,
subject_08_task_4,08,4,4,True,True,annotated,60,True,True,relative_time,32,9,
subject_08_task_5_6,08,5_6,5_6,True,True,annotated,57,True,True,relative_time,32,8,
subject_09_task_1,09,1,1,True,True,annotated,22,True,True,relative_time,32,0,
subject_09_task_4,09,4,4,True,True,annotated,50,True,True,relative_time,32,1,
subject_09_task_5_6,09,5_6,5_6,True,True,annotated,55,True,True,relative_time,32,20,
subject_10_task_2,10,2,2,True,True,annotated,54,True,True,relative_time,32,0,
subject_10_task_3,10,3,3,True,True,annotated,50,True,True,relative_time,32,3,
subject_10_task_5_6,10,5_6,5_6,True,True,annotated,48,True,True,relative_time,32,23,
subject_11_task_1,11,1,1,True,True,annotated,40,True,True,relative_time,32,4,
subject_11_task_3,11,3,3,True,True,annotated,81,True,True,relative_time,32,15,
subject_11_task_5_6,11,5_6,5_6,True,True,annotated,66,True,True,relative_time,32,19,
subject_12_task_2,12,2,2,True,True,annotated,57,True,True,relative_time,32,0,
subject_12_task_3,12,3,3,True,True,annotated,41,True,True,relative_time,32,1,
subject_12_task_5_6,12,5_6,5_6,True,True,annotated,57,True,True,relative_time,32,1,
subject_13_task_3,13,3,3,True,True,annotated,39,True,True,relative_time,32,39,
subject_13_task_5_6,13,5_6,5_6,True,True,annotated,73,True,True,relative_time,32,32,
subject_13_task_5,13,5,5,True,True,annotated,23,True,True,relative_time,32,20,
subject_14_task_3,14,3,3,True,True,annotated,46,True,True,relative_time,32,5,
subject_14_task_5_6,14,5_6,5_6,True,True,annotated,40,True,True,relative_time,32,35,
subject_14_task_5,14,5,5,True,True,annotated,113,True,True,relative_time,32,90,
subject_15_task_3,15,3,3,True,True,annotated,37,True,True,relative_time,32,0,
subject_15_task_5_6,15,5_6,5_6,True,True,annotated,29,True,True,relative_time,32,2,
subject_15_task_5,15,5,5,True,True,annotated,37,True,True,relative_time,32,0,
subject_16_task_3,16,3,3,True,True,annotated,37,True,True,relative_time,32,11,
subject_16_task_5_6_repeat_1,16,5_6,5_6_1,True,True,annotated,118,True,True,relative_time,32,1,
subject_16_task_5_6,16,5_6,5_6,True,True,annotated,118,True,True,relative_time,32,50,
subject_16_task_5,16,5,5,True,True,annotated,5,True,True,relative_time,32,0,
subject_17_task_4,17,4,4,True,True,annotated,57,True,True,relative_time,32,8,
subject_17_task_5_6,17,5_6,5_6,True,True,annotated,57,True,True,relative_time,32,0,
subject_17_task_5,17,5,5,True,True,annotated,13,True,True,relative_time,32,0,
subject_18_task_3,18,3,3,True,True,annotated,39,True,True,relative_time,32,7,
subject_18_task_5_6,18,5_6,5_6,True,True,annotated,59,True,True,relative_time,32,0,
subject_18_task_5,18,5,5,True,True,annotated,17,True,True,relative_time,32,0,
subject_19_task_3,19,3,3,True,True,annotated,34,True,True,relative_time,32,0,
subject_19_task_5_6,19,5_6,5_6,True,True,annotated,84,True,True,relative_time,32,7,
subject_19_task_5_repeat_1,19,5,5,True,True,annotated,35,True,True,relative_time,32,0,
subject_19_task_5,19,5,5,True,True,annotated,35,True,True,relative_time,32,0,
subject_20_task_3,20,3,3,True,True,annotated,36,True,True,relative_time,32,0,
subject_20_task_4,20,4,4,True,True,annotated,126,True,True,relative_time,32,6,
subject_20_task_5_6_repeat_1,20,5_6,5_6_1,True,True,annotated,30,True,True,relative_time,32,0,
subject_20_task_5_6_repeat_2,20,5_6,5_6_2,True,True,annotated,30,True,True,relative_time,32,0,
subject_21_task_3,21,3,3,True,True,annotated,33,True,True,relative_time,32,33,
subject_21_task_4,21,4,4,True,True,annotated,59,True,True,relative_time,32,0,
subject_21_task_5_6,21,5_6,5_6,True,True,annotated,72,True,True,relative_time,32,0,
subject_21_task_5,21,5,5,True,True,annotated,22,True,True,relative_time,32,0,
subject_22_task_3,22,3,3,True,True,annotated,33,True,True,relative_time,32,0,
subject_22_task_4,22,4,4,True,True,annotated,59,True,True,relative_time,32,0,
subject_22_task_5_6,22,5_6,5_6,True,True,annotated,58,True,True,relative_time,32,0,
subject_22_task_5,22,5,5,True,True,annotated,37,True,True,relative_time,32,0,
subject_23_task_3,23,3,3,True,True,annotated,39,True,True,relative_time,32,0,
subject_23_task_5_6_repeat_1,23,5_6,5_6_1,True,True,annotated,58,True,True,relative_time,32,0,
subject_23_task_5_6,23,5_6,5_6,True,True,annotated,58,True,True,relative_time,32,0,
subject_23_task_5,23,5,5,True,True,annotated,21,True,True,relative_time,32,0,
subject_24_task_3,24,3,3,True,True,annotated,33,True,True,relative_time,32,11,
subject_24_task_4,24,4,4,True,True,annotated,57,True,True,relative_time,32,12,
subject_24_task_5_6,24,5_6,5_6,True,True,annotated,97,True,True,relative_time,32,3,
subject_25_task_3,25,3,3,True,True,annotated,52,True,True,relative_time,32,13,
subject_25_task_4,25,4,4,True,True,annotated,55,True,True,relative_time,32,4,
subject_25_task_5_6,25,5_6,5_6,True,True,annotated,90,True,True,relative_time,32,0,
subject_26_task_3,26,3,3,True,True,annotated,42,True,True,relative_time,32,0,
subject_26_task_4,26,4,4,True,True,annotated,75,True,True,relative_time,32,0,
subject_26_task_5_6,26,5_6,5_6,True,True,annotated,179,True,True,relative_time,32,0,
