模态,特征名,特征序号,MI_mean,MI_std
心率,hr_slope_bpm_per_min__slope,131,0.204287,0.02773
心率,hr_max__std,125,0.105273,0.055207
心率,hr_min__slope,123,0.103376,0.015869
心率,hr_slope_bpm_per_min__mean,128,0.091137,0.029375
心率,hr_mean__slope,115,0.063676,0.039037
心率,hr_std__std,117,0.0475,0.050425
心率,hr_slope_bpm_per_min__std,129,0.045648,0.038405
心率,hr_max__slope,127,0.014396,0.017639
心率,hr_mean__std,113,0.014314,0.016414
心率,hr_std__slope,119,0.014009,0.027355
心率,hr_min__std,121,0.007006,0.004543
心率,hr_max__median,126,0.005886,0.009246
心率,hr_std__mean,116,0.003887,0.007775
心率,hr_std__median,118,0.002064,0.002265
心率,hr_mean__mean,112,0.0,0.0
心率,hr_mean__median,114,0.0,0.0
心率,hr_min__mean,120,0.0,0.0
心率,hr_min__median,122,0.0,0.0
心率,hr_max__mean,124,0.0,0.0
心率,hr_slope_bpm_per_min__median,130,0.0,0.0
眼动,eye_aoi_unique_hit_n__std,161,0.322963,0.051715
眼动,eye_aoi_interval_n__std,157,0.264401,0.062773
眼动,eye_aoi_coverage_ratio__slope,179,0.242261,0.060557
眼动,eye_aoi_interval_n__median,158,0.241053,0.047895
眼动,eye_aoi_interval_n__mean,156,0.236054,0.047423
眼动,eye_pupil_filtered_std__slope,139,0.179587,0.034294
眼动,eye_aoi_total_fix_ms__slope,167,0.16794,0.03501
眼动,eye_aoi_coverage_ratio__mean,176,0.157582,0.046638
眼动,eye_aoi_max_share__slope,183,0.155491,0.015362
眼动,eye_aoi_entropy__mean,184,0.146577,0.046044
眼动,eye_aoi_entropy__median,186,0.144642,0.045596
眼动,eye_aoi_interval_n__slope,159,0.144414,0.045839
眼动,eye_aoi_max_share__median,182,0.13988,0.094235
眼动,eye_aoi_unique_hit_n__slope,163,0.137108,0.046656
眼动,blink_duration_median_ms__std,209,0.133155,0.080808
眼动,eye_aoi_fixation_n__std,169,0.116512,0.040585
眼动,eye_aoi_fixation_density_per_sec__slope,175,0.113831,0.063283
眼动,eye_aoi_fixation_density_per_sec__std,173,0.113023,0.035789
眼动,eye_aoi_entropy__slope,187,0.112695,0.050624
