模态数,模态组合,总特征数,Acc,Macro-F1,fold_F1均值,fold_F1标准差
4,眼动+脑电+心率+行为,27,0.7738095238095238,0.7741406532366986,0.7773267473267473,0.09904645368666039
3,眼动+心率+行为,22,0.7619047619047619,0.7630455498380027,0.764011544011544,0.06528941953640682
3,眼动+脑电+行为,23,0.7380952380952381,0.7414188252851508,0.7415436415436416,0.08568664299911767
2,眼动+行为,18,0.7380952380952381,0.7400909681611436,0.7388000888000887,0.04947972577492804
2,眼动+心率,10,0.7023809523809523,0.7012345679012345,0.6916342481048364,0.11182998397103996
1,眼动,6,0.7023809523809523,0.6991438191438192,0.6874963924963924,0.09580591693348779
2,眼动+脑电,11,0.6785714285714286,0.6796067375117473,0.6828438228438228,0.06936404178311105
3,眼动+脑电+心率,15,0.6785714285714286,0.6758683939011808,0.673262619733208,0.07312245187824438
2,心率+行为,16,0.6190476190476191,0.616045197740113,0.6050290014995897,0.05141034344173529
3,脑电+心率+行为,21,0.6190476190476191,0.614119327840234,0.5966148666148665,0.11219879788479693
2,脑电+行为,17,0.5595238095238095,0.5572257414065324,0.5501270951270951,0.11896427210657
1,行为,12,0.5476190476190477,0.5457496449584095,0.5360898360898361,0.04810382628159523
1,心率,4,0.5357142857142857,0.530290049705165,0.5163288563288564,0.0496707165259783
2,脑电+心率,9,0.4880952380952381,0.4866190900981267,0.48542457542457546,0.06756027153289436
1,脑电,5,0.4166666666666667,0.41274402481299033,0.4019151219151219,0.049187657012164994
