基础组合,精调模态,ΔK,新K,总特征数,Macro-F1
眼动+脑电+行为,眼动,-2,4,21,0.7757404366599768
眼动+脑电+行为,眼动,-1,5,22,0.7646230222181613
眼动+心率+行为,心率,-1,3,21,0.7630455498380027
眼动+心率+行为,行为,-1,11,21,0.7630455498380027
眼动+心率+行为,行为,1,13,23,0.7630455498380027
眼动+心率+行为,行为,2,14,24,0.7620194411154863
眼动+脑电+行为,行为,-2,10,21,0.7619644723092999
眼动+脑电+行为,行为,1,13,24,0.7619047619047619
眼动+心率+行为,心率,-2,2,20,0.7536019536019536
眼动+心率+行为,眼动,2,8,24,0.753315649867374
眼动+心率+行为,眼动,1,7,23,0.7521814610078122
眼动+脑电+行为,眼动,2,8,25,0.751010101010101
眼动+心率+行为,心率,1,5,23,0.7505508395290846
眼动+心率+行为,心率,2,6,24,0.7505508395290846
眼动+心率+行为,眼动,-2,4,20,0.7504564820450396
眼动+心率+行为,眼动,-1,5,21,0.7504564820450396
眼动+脑电+行为,眼动,1,7,24,0.7503607503607505
眼动+脑电+行为,行为,2,14,25,0.7414188252851508
眼动+脑电+行为,行为,-1,11,22,0.7394411955815464
眼动+脑电+行为,脑电,1,6,24,0.7386876281613124
眼动+脑电+行为,脑电,2,7,25,0.7386876281613124
眼动+心率+行为,行为,-2,10,20,0.7382716049382716
眼动+脑电+行为,脑电,-2,3,21,0.7271929824561404
眼动+脑电+行为,脑电,-1,4,22,0.7267600820232399
眼动+脑电+心率,心率,-2,2,13,0.6890757589682321
眼动+脑电+心率,眼动,1,7,16,0.6888415376919346
眼动+脑电+心率,脑电,-2,3,13,0.6777429467084639
眼动+脑电+心率,心率,2,6,17,0.6760053363826949
眼动+脑电+心率,脑电,2,7,17,0.6757631257631257
眼动+脑电+心率,眼动,-1,5,14,0.663047881080668
眼动+脑电+心率,脑电,-1,4,14,0.6629426129426129
眼动+脑电+心率,脑电,1,6,16,0.6627060660329706
眼动+脑电+心率,心率,1,5,16,0.6627060660329706
眼动+脑电+心率,心率,-1,3,14,0.6508193893393134
眼动+脑电+心率,眼动,2,8,17,0.6268802052903507
眼动+脑电+心率,眼动,-2,4,13,0.6160493827160494
