序号,页签名称,分组,文件,是否默认
1,心率均值,心率,主图/01_hr_mean.png,是
2,心率波动,心率,主图/02_hr_std.png,否
3,最高心率,心率,主图/17_hr_max.png,否
4,瞳孔直径,眼动,主图/03_eye_pupil_filtered_mean.png,否
5,AOI覆盖比例,眼动,主图/04_eye_aoi_coverage_ratio.png,否
6,点到不同AOI数,眼动,主图/09_eye_aoi_unique_hit_n.png,否
7,AOI区间条数,眼动,主图/10_eye_aoi_interval_n.png,否
8,最主要AOI占比,眼动,主图/11_eye_aoi_max_share.png,否
9,眨眼频率,眼动,主图/08_blink_rate_per_min.png,否
10,操作密度,行为,主图/05_log_action_density_win.png,否
11,操作次数,行为,主图/06_log_action_count_win.png,否
12,正确操作次数,行为,主图/18_log_correct_action_count_win.png,否
13,多余操作次数,行为,主图/20_log_extra_action_count_win.png,否
14,多余操作比例,行为,主图/21_log_extra_rate_win.png,否
15,步骤种数,行为,主图/19_log_unique_step_count_win.png,否
16,设备种数,行为,主图/22_log_unique_device_count_win.png,否
17,额区θ/α,脑电,主图/07_eeg_frontal_theta_alpha_z_within_subject.png,否
18,额区α功率,脑电,主图/12_eeg_frontal_alpha_power_z_within_subject.png,否
19,额区γ功率,脑电,主图/14_eeg_frontal_gamma_power_z_within_subject.png,否
20,中央区α功率,脑电,主图/15_eeg_central_alpha_power_z_within_subject.png,否
21,顶区θ/α,脑电,主图/13_eeg_parietal_theta_alpha_z_within_subject.png,否
22,顶区θ功率,脑电,主图/16_eeg_parietal_theta_power_z_within_subject.png,否
