feature,modality,early_late_r2,early_late_pearson
eeg_frontal_delta_power_z_within_subject,脑电,0.4350998198748821,0.7225324677294858
eeg_frontal_theta_power_z_within_subject,脑电,0.7231156225053315,0.8652087372972473
eeg_frontal_alpha_power_z_within_subject,脑电,0.6596486762605813,0.8330135361188946
eeg_frontal_beta_power_z_within_subject,脑电,0.3517635564990891,0.6886108190183924
eeg_frontal_gamma_power_z_within_subject,脑电,0.3034376063755233,0.6382371472909378
eeg_frontal_theta_alpha_z_within_subject,脑电,0.5910131635186533,0.8318831348829826
eeg_frontal_beta_alpha_z_within_subject,脑电,0.3497061184457396,0.6814843576304905
eeg_central_delta_power_z_within_subject,脑电,0.2577461546691122,0.6733141121170334
eeg_central_theta_power_z_within_subject,脑电,0.4059452635304692,0.690329672496928
eeg_central_alpha_power_z_within_subject,脑电,-0.05197218519115476,0.5359912567290586
eeg_central_beta_power_z_within_subject,脑电,-0.28691886743531514,0.4476447805226451
eeg_central_gamma_power_z_within_subject,脑电,-0.3940185822245881,0.44375576443778564
eeg_central_theta_alpha_z_within_subject,脑电,0.1408444085020878,0.5231971611299591
eeg_central_beta_alpha_z_within_subject,脑电,-0.18655648064378472,0.4302568682277303
eeg_parietal_delta_power_z_within_subject,脑电,0.5015662505333811,0.786580489392683
eeg_parietal_theta_power_z_within_subject,脑电,0.5274563900537983,0.7938690740191299
eeg_parietal_alpha_power_z_within_subject,脑电,0.2600847625027647,0.6526067309753647
eeg_parietal_beta_power_z_within_subject,脑电,0.023124074492296365,0.5195008166341024
eeg_parietal_gamma_power_z_within_subject,脑电,-0.19438003173903895,0.4199238884220312
eeg_parietal_theta_alpha_z_within_subject,脑电,0.28044818960008766,0.699929010196523
eeg_parietal_beta_alpha_z_within_subject,脑电,-0.35276206272101973,0.4031822529473613
eeg_occipital_delta_power_z_within_subject,脑电,0.30097878363582187,0.6561199639473022
eeg_occipital_theta_power_z_within_subject,脑电,0.2622410758294702,0.6044169367329792
eeg_occipital_alpha_power_z_within_subject,脑电,-0.009691514965558756,0.5392205126579908
eeg_occipital_beta_power_z_within_subject,脑电,-0.09682321722994813,0.4888681002829292
eeg_occipital_gamma_power_z_within_subject,脑电,-0.15872611384862467,0.4753851610144747
eeg_occipital_theta_alpha_z_within_subject,脑电,0.076193245078084,0.6051682208433917
eeg_occipital_beta_alpha_z_within_subject,脑电,-0.29697182928364696,0.278815597267931
hr_mean,心率,0.9394962186847838,0.9694005765621978
hr_std,心率,0.21149702825751415,0.6468921303412964
hr_min,心率,0.9435856964648064,0.9714531186793355
hr_max,心率,0.9245486955968023,0.9622153683101695
hr_slope_bpm_per_min,心率,-6.902085477761782,-0.36073431678908785
eye_pupil_filtered_mean,眼动,0.9197520302264297,0.9647406480233218
eye_pupil_filtered_std,眼动,0.5995098574769997,0.8047470312964716
eye_valid_ratio,眼动,0.6206440812506234,0.7958883021048895
eye_fixation_ratio,眼动,0.7974235734345927,0.9006032550065102
eye_saccade_ratio,眼动,0.7904009197934254,0.9006389651667955
eye_eyes_not_found_ratio,眼动,-0.1161418679229329,0.6092087751380304
eye_aoi_interval_n,眼动,0.28980829316043255,0.6997444179862611
eye_aoi_unique_hit_n,眼动,-0.48916982700909184,0.4993566720951247
eye_aoi_total_fix_ms,眼动,-0.09707840986383642,0.445046286456114
eye_aoi_fixation_n,眼动,0.20953781457164766,0.6458761261709486
eye_aoi_fixation_density_per_sec,眼动,0.2465646739741888,0.6419934804006193
eye_aoi_coverage_ratio,眼动,-0.07651884173418444,0.4496643991570708
eye_aoi_max_share,眼动,-0.539843533385548,0.27842093445143096
eye_aoi_entropy,眼动,-0.40086606757434606,0.40458028453331824
eye_aoi_pupil_weighted_mean,眼动,0.9226429468932063,0.9677186633723018
blink_count,眼动,0.5591182629220446,0.7575907316959615
blink_rate_per_min,眼动,0.5591182629220446,0.7575907316959615
blink_duration_mean_ms,眼动,0.5042225887484068,0.7494871203509843
blink_duration_std_ms,眼动,0.3062319938468877,0.6361515534860797
blink_duration_median_ms,眼动,0.4771951372626838,0.7308455597171412
blink_total_duration_ratio,眼动,0.5566954154435801,0.7683883552591216
log_action_count_win,行为,-0.9538366046346844,0.10794189622846288
log_unique_device_count_win,行为,-1.1940353005846767,-0.055798620909977024
log_action_density_win,行为,-0.9538366046346851,0.10794189622846295
log_correct_action_count_win,行为,-1.0260949676657298,-0.12147796291793249
log_error_action_count_win,行为,-0.7702685756147076,0.35926639211727196
log_duplicate_action_count_win,行为,-0.13449765033436223,0.21592111402975372
log_extra_action_count_win,行为,-2.6035649636808094,0.10681621508063316
log_disallowed_action_count_win,行为,-0.9690584060244851,0.45975893263117923
log_error_rate_win,行为,-0.538419446901431,0.3309793386697306
log_duplicate_rate_win,行为,-0.049733852840391446,0.32801040103814016
log_extra_rate_win,行为,-0.7822772262709192,0.1356605581187217
log_unique_step_count_win,行为,-1.1589224064253707,-0.04927979508203347
