lag_windows,lag_seconds_approx,feature,modality,median_r,mean_r,n_series
1,5,eeg_frontal_delta_power_z_within_subject,脑电,0.7961439775901576,0.7825966059018096,81
1,5,eeg_frontal_theta_power_z_within_subject,脑电,0.8050719202138668,0.7913289018042494,81
1,5,eeg_frontal_alpha_power_z_within_subject,脑电,0.8440800770038941,0.835002714762276,81
1,5,eeg_frontal_beta_power_z_within_subject,脑电,0.9232860543809395,0.9059929335702911,81
1,5,eeg_frontal_gamma_power_z_within_subject,脑电,0.9035221368105422,0.8943020856605487,81
1,5,eeg_frontal_theta_alpha_z_within_subject,脑电,0.8189954836312345,0.8002815639901231,81
1,5,eeg_frontal_beta_alpha_z_within_subject,脑电,0.895286288164601,0.8746742808960078,81
1,5,eeg_central_delta_power_z_within_subject,脑电,0.7890866105855964,0.7732487236047336,81
1,5,eeg_central_theta_power_z_within_subject,脑电,0.8100733478902078,0.7935152061855109,81
1,5,eeg_central_alpha_power_z_within_subject,脑电,0.8242031005161894,0.8352451947503013,81
1,5,eeg_central_beta_power_z_within_subject,脑电,0.891867064050443,0.8849851290713415,81
1,5,eeg_central_gamma_power_z_within_subject,脑电,0.8930608923143246,0.8848963194141874,81
1,5,eeg_central_theta_alpha_z_within_subject,脑电,0.8228633973316848,0.8128982636702945,81
1,5,eeg_central_beta_alpha_z_within_subject,脑电,0.8616179885996961,0.8487232039509118,81
1,5,eeg_parietal_delta_power_z_within_subject,脑电,0.7833541334690859,0.7804917194708216,81
1,5,eeg_parietal_theta_power_z_within_subject,脑电,0.8031918915114857,0.7937548578374125,81
1,5,eeg_parietal_alpha_power_z_within_subject,脑电,0.8456869964055044,0.8305059406569661,81
1,5,eeg_parietal_beta_power_z_within_subject,脑电,0.919990479619588,0.9078684151705652,81
1,5,eeg_parietal_gamma_power_z_within_subject,脑电,0.9322505919001074,0.9127564740202528,81
1,5,eeg_parietal_theta_alpha_z_within_subject,脑电,0.8267409151540159,0.804612764726615,81
1,5,eeg_parietal_beta_alpha_z_within_subject,脑电,0.8935667295861834,0.8762173399789029,81
1,5,eeg_occipital_delta_power_z_within_subject,脑电,0.7879450509002296,0.7760944646930694,81
1,5,eeg_occipital_theta_power_z_within_subject,脑电,0.8251649359319221,0.8093492100499136,81
1,5,eeg_occipital_alpha_power_z_within_subject,脑电,0.9123959010152409,0.8807778896481795,81
1,5,eeg_occipital_beta_power_z_within_subject,脑电,0.9357700183360466,0.9259141368277359,81
1,5,eeg_occipital_gamma_power_z_within_subject,脑电,0.9465511976545644,0.9324798393715166,81
1,5,eeg_occipital_theta_alpha_z_within_subject,脑电,0.8471201656966202,0.8281654387333867,81
1,5,eeg_occipital_beta_alpha_z_within_subject,脑电,0.825410946012175,0.8158861626497868,81
1,5,hr_mean,心率,0.9544752797722283,0.9523174759324683,81
1,5,hr_std,心率,0.7872482230983184,0.777780169074074,79
1,5,hr_min,心率,0.9182226459612286,0.9066106420125908,81
1,5,hr_max,心率,0.9005743297047782,0.8972152576442725,81
