sample_id,subject,task,n_windows,eligible_ratio50
subject_01_task_2,1,2,295,True
subject_01_task_3,1,3,53,True
subject_01_task_5_6,1,5_6,98,True
subject_02_task_1,2,1,278,True
subject_02_task_3,2,3,65,True
subject_02_task_5_6,2,5_6,131,True
subject_03_task_1,3,1,297,True
subject_03_task_4,3,4,135,True
subject_03_task_5_6,3,5_6,114,True
subject_04_task_2,4,2,406,True
subject_04_task_4,4,4,235,True
subject_04_task_5_6,4,5_6,83,True
subject_05_task_1,5,1,278,True
subject_05_task_4,5,4,207,True
subject_05_task_5_6,5,5_6,57,True
subject_06_task_2,6,2,416,True
subject_06_task_3,6,3,101,True
subject_06_task_5_6,6,5_6,88,True
subject_07_task_2,7,2,198,True
subject_07_task_3,7,3,79,True
subject_07_task_5_6,7,5_6,118,True
subject_08_task_1,8,1,265,True
subject_08_task_4,8,4,179,True
subject_08_task_5_6,8,5_6,77,True
subject_09_task_1,9,1,211,True
subject_09_task_4,9,4,175,True
subject_09_task_5_6,9,5_6,68,True
subject_10_task_2,10,2,367,True
subject_10_task_3,10,3,105,True
subject_10_task_5_6,10,5_6,127,True
subject_11_task_1,11,1,235,True
subject_11_task_3,11,3,94,True
subject_11_task_5_6,11,5_6,145,True
subject_12_task_2,12,2,413,True
subject_12_task_3,12,3,60,True
subject_12_task_5_6,12,5_6,132,True
subject_13_task_3,13,3,3,False
subject_13_task_5,13,5,103,True
subject_13_task_5_6,13,5_6,141,True
subject_14_task_3,14,3,46,True
subject_14_task_5,14,5,220,True
subject_14_task_5_6,14,5_6,136,True
subject_15_task_3,15,3,70,True
subject_15_task_5,15,5,100,True
subject_15_task_5_6,15,5_6,75,True
subject_16_task_3,16,3,67,True
subject_16_task_5,16,5,17,True
subject_16_task_5_6,16,5_6,50,True
subject_16_task_5_6_repeat_1,16,5_6,136,True
subject_17_task_4,17,4,162,True
subject_17_task_5,17,5,45,True
subject_17_task_5_6,17,5_6,92,True
subject_18_task_3,18,3,42,True
subject_18_task_5,18,5,62,True
subject_18_task_5_6,18,5_6,164,True
subject_19_task_3,19,3,53,True
subject_19_task_5,19,5,24,True
subject_19_task_5_6,19,5_6,160,True
subject_19_task_5_repeat_1,19,5,40,True
subject_20_task_3,20,3,35,True
subject_20_task_4,20,4,298,True
subject_20_task_5_6_repeat_1,20,5_6,94,True
subject_20_task_5_6_repeat_2,20,5_6,54,True
subject_21_task_3,21,3,6,False
subject_21_task_4,21,4,141,True
subject_21_task_5,21,5,56,True
subject_21_task_5_6,21,5_6,187,True
subject_22_task_3,22,3,40,True
subject_22_task_4,22,4,209,True
subject_22_task_5,22,5,96,True
subject_22_task_5_6,22,5_6,147,True
subject_23_task_3,23,3,69,True
subject_23_task_5,23,5,27,True
subject_23_task_5_6,23,5_6,102,True
subject_23_task_5_6_repeat_1,23,5_6,79,True
subject_24_task_3,24,3,78,True
subject_24_task_4,24,4,275,True
subject_24_task_5_6,24,5_6,354,True
subject_25_task_3,25,3,219,True
subject_25_task_4,25,4,354,True
subject_25_task_5_6,25,5_6,463,True
subject_26_task_3,26,3,144,True
subject_26_task_4,26,4,313,True
subject_26_task_5_6,26,5_6,391,True
