subject,n_tasks,tasks,sample_ids,n_windows
1,3,"['2', '3', '5_6']","['subject_01_task_2', 'subject_01_task_3', 'subject_01_task_5_6']","[295, 53, 98]"
2,3,"['1', '3', '5_6']","['subject_02_task_1', 'subject_02_task_3', 'subject_02_task_5_6']","[278, 65, 131]"
3,3,"['1', '4', '5_6']","['subject_03_task_1', 'subject_03_task_4', 'subject_03_task_5_6']","[297, 135, 114]"
4,3,"['2', '4', '5_6']","['subject_04_task_2', 'subject_04_task_4', 'subject_04_task_5_6']","[406, 235, 83]"
5,3,"['1', '4', '5_6']","['subject_05_task_1', 'subject_05_task_4', 'subject_05_task_5_6']","[278, 207, 57]"
6,3,"['2', '3', '5_6']","['subject_06_task_2', 'subject_06_task_3', 'subject_06_task_5_6']","[416, 101, 88]"
7,3,"['2', '3', '5_6']","['subject_07_task_2', 'subject_07_task_3', 'subject_07_task_5_6']","[198, 79, 118]"
8,3,"['1', '4', '5_6']","['subject_08_task_1', 'subject_08_task_4', 'subject_08_task_5_6']","[265, 179, 77]"
9,3,"['1', '4', '5_6']","['subject_09_task_1', 'subject_09_task_4', 'subject_09_task_5_6']","[211, 175, 68]"
10,3,"['2', '3', '5_6']","['subject_10_task_2', 'subject_10_task_3', 'subject_10_task_5_6']","[367, 105, 127]"
11,3,"['1', '3', '5_6']","['subject_11_task_1', 'subject_11_task_3', 'subject_11_task_5_6']","[235, 94, 145]"
12,3,"['2', '3', '5_6']","['subject_12_task_2', 'subject_12_task_3', 'subject_12_task_5_6']","[413, 60, 132]"
13,3,"['3', '5', '5_6']","['subject_13_task_3', 'subject_13_task_5', 'subject_13_task_5_6']","[3, 103, 141]"
14,3,"['3', '5', '5_6']","['subject_14_task_3', 'subject_14_task_5', 'subject_14_task_5_6']","[46, 220, 136]"
15,3,"['3', '5', '5_6']","['subject_15_task_3', 'subject_15_task_5', 'subject_15_task_5_6']","[70, 100, 75]"
16,4,"['3', '5', '5_6', '5_6']","['subject_16_task_3', 'subject_16_task_5', 'subject_16_task_5_6', 'subject_16_task_5_6_repeat_1']","[67, 17, 50, 136]"
17,3,"['4', '5', '5_6']","['subject_17_task_4', 'subject_17_task_5', 'subject_17_task_5_6']","[162, 45, 92]"
18,3,"['3', '5', '5_6']","['subject_18_task_3', 'subject_18_task_5', 'subject_18_task_5_6']","[42, 62, 164]"
19,4,"['3', '5', '5', '5_6']","['subject_19_task_3', 'subject_19_task_5', 'subject_19_task_5_repeat_1', 'subject_19_task_5_6']","[53, 24, 40, 160]"
20,4,"['3', '4', '5_6', '5_6']","['subject_20_task_3', 'subject_20_task_4', 'subject_20_task_5_6_repeat_1', 'subject_20_task_5_6_repeat_2']","[35, 298, 94, 54]"
21,4,"['3', '4', '5', '5_6']","['subject_21_task_3', 'subject_21_task_4', 'subject_21_task_5', 'subject_21_task_5_6']","[6, 141, 56, 187]"
22,4,"['3', '4', '5', '5_6']","['subject_22_task_3', 'subject_22_task_4', 'subject_22_task_5', 'subject_22_task_5_6']","[40, 209, 96, 147]"
23,4,"['3', '5', '5_6', '5_6']","['subject_23_task_3', 'subject_23_task_5', 'subject_23_task_5_6', 'subject_23_task_5_6_repeat_1']","[69, 27, 102, 79]"
24,3,"['3', '4', '5_6']","['subject_24_task_3', 'subject_24_task_4', 'subject_24_task_5_6']","[78, 275, 354]"
25,3,"['3', '4', '5_6']","['subject_25_task_3', 'subject_25_task_4', 'subject_25_task_5_6']","[219, 354, 463]"
26,3,"['3', '4', '5_6']","['subject_26_task_3', 'subject_26_task_4', 'subject_26_task_5_6']","[144, 313, 391]"
