model,feature,label,r2,mae,pearson
persist_mean,hr_mean,心率均值,0.863121769752691,2.7004894373296278,0.9304470876189153
persist_mean,hr_std,心率波动,0.07958820836368874,0.8708989838212507,0.325994655684395
persist_mean,eye_pupil_filtered_mean,瞳孔直径,0.8264751713417007,0.07652939681980413,0.9162390687250028
persist_mean,eye_aoi_coverage_ratio,AOI覆盖,0.06660378971803371,0.0670857675440414,0.32642754033196525
persist_mean,log_action_density_win,操作密度,-0.17749340487976517,0.08355834516030662,0.04898483417013956
persist_mean,log_action_count_win,操作次数,-0.17749340487976495,2.5067503548091987,0.04898483417013955
persist_mean,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.1188101164611669,0.689617172209824,0.43285281597929914
persist_mean,blink_rate_per_min,眨眼频率,0.29992508541578256,6.2835368697859,0.5696987675391766
persist_last,hr_mean,心率均值,0.82547885819351,2.955292658730159,0.9197106745788639
persist_last,hr_std,心率波动,-0.37339743729460806,1.05642384833776,0.23668175462147306
persist_last,eye_pupil_filtered_mean,瞳孔直径,0.7727107215429826,0.08780856291052959,0.8842268552079486
persist_last,eye_aoi_coverage_ratio,AOI覆盖,-0.11210553049251248,0.07612279989872886,0.3183093092241293
persist_last,log_action_density_win,操作密度,-1.4563353197927427,0.10392373729393792,0.05306103936283908
persist_last,log_action_count_win,操作次数,-1.4563353197927422,3.117712118818139,0.053061039362839145
persist_last,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.3777134185208948,0.8500119322988073,0.299320416002394
persist_last,blink_rate_per_min,眨眼频率,0.2283416407641904,7.181545267814821,0.6119186318175874
ses_level,hr_mean,心率均值,0.8256155237699987,2.953610531550757,0.9185919831497387
ses_level,hr_std,心率波动,-0.17074572254261944,0.9725111996267544,0.22985109993496414
ses_level,eye_pupil_filtered_mean,瞳孔直径,0.7886532196122764,0.08537304006825386,0.8923000321317734
ses_level,eye_aoi_coverage_ratio,AOI覆盖,-0.06116738898525087,0.07521284315926967,0.3364171833868976
ses_level,log_action_density_win,操作密度,-1.1421775165784878,0.1020277074323007,0.030982733789606857
ses_level,log_action_count_win,操作次数,-1.1421775165784878,3.060831222969021,0.030982733789606892
ses_level,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.15441203340114273,0.7761010488241457,0.34251668733883955
ses_level,blink_rate_per_min,眨眼频率,0.405773710073021,6.4906339036143885,0.6638755567380729
mean_revert,hr_mean,心率均值,0.868217802065457,2.6144878205261417,0.9332287980359198
mean_revert,hr_std,心率波动,0.10449068206349044,0.8507081308769929,0.3565405475034375
mean_revert,eye_pupil_filtered_mean,瞳孔直径,0.8332618581318116,0.07386271997643228,0.9193384545370393
mean_revert,eye_aoi_coverage_ratio,AOI覆盖,0.09005130223428681,0.0651618013993057,0.3526108594916485
mean_revert,log_action_density_win,操作密度,-0.1306576472736245,0.08126028434512729,0.14515927853712343
mean_revert,log_action_count_win,操作次数,-0.13065764727362428,2.4378085303538195,0.14515927853712335
mean_revert,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.13604029210182256,0.6767641792257795,0.4483874027571049
mean_revert,blink_rate_per_min,眨眼频率,0.32868960235195177,6.073975080513419,0.5917720010484648
holt_damped,hr_mean,心率均值,0.8001697860800308,3.1510205184986173,0.9079280093222213
holt_damped,hr_std,心率波动,-0.506854607110873,1.127509692373469,0.17681723734306498
holt_damped,eye_pupil_filtered_mean,瞳孔直径,0.7222539741674593,0.1012745069037246,0.8596671106891467
holt_damped,eye_aoi_coverage_ratio,AOI覆盖,-0.22315507594817152,0.08319238065870502,0.31411763596038916
holt_damped,log_action_density_win,操作密度,-2.446487335395364,0.12508061582615876,0.00070383025518355
holt_damped,log_action_count_win,操作次数,-2.4464873353953647,3.7524184747847635,0.0007038302551835568
holt_damped,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.5893662061549529,0.9243588188264742,0.2616969405882892
holt_damped,blink_rate_per_min,眨眼频率,0.186352616312341,7.715538955517418,0.6259277817533648
damped_drift,hr_mean,心率均值,0.8132783820641225,3.050595159802426,0.9147176705247956
damped_drift,hr_std,心率波动,-0.4847692297135784,1.1104808577249803,0.22954858434470102
damped_drift,eye_pupil_filtered_mean,瞳孔直径,0.7613039754559978,0.09129073749518779,0.8785225518480967
damped_drift,eye_aoi_coverage_ratio,AOI覆盖,-0.17095622381552822,0.0794760325613576,0.3052226663909866
damped_drift,log_action_density_win,操作密度,-1.7372446230239271,0.11068931561484213,0.05442118129972193
damped_drift,log_action_count_win,操作次数,-1.7372446230239267,3.320679468445264,0.054421181299721955
damped_drift,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.5297963868692288,0.9007602210225242,0.2728119645275756
damped_drift,blink_rate_per_min,眨眼频率,0.16451412599349458,7.571881878523976,0.6013854671471068
linear_trend,hr_mean,心率均值,0.5620056329639332,4.589433070454481,0.844213598864058
linear_trend,hr_std,心率波动,-1.0124913063879442,1.2568256900959618,0.15264267787321933
linear_trend,eye_pupil_filtered_mean,瞳孔直径,0.7150027106399659,0.09625573623002423,0.8766040717569331
linear_trend,eye_aoi_coverage_ratio,AOI覆盖,-0.29982360741195624,0.09119221749667149,0.32319246459823125
linear_trend,log_action_density_win,操作密度,-1.0254804252655831,0.11283356621153219,0.16362621927656462
linear_trend,log_action_count_win,操作次数,-1.0254804252655831,3.3850069863459664,0.16362621927656465
linear_trend,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.5182464784349949,0.8977943870181894,0.3260434361678803
linear_trend,blink_rate_per_min,眨眼频率,-0.16334634526686354,8.68175313990919,0.44687541536764297
