model,feature,label,r2,mae,pearson
mean_revert,hr_mean,心率均值,0.8634585939931836,2.6301717523487382,0.9308144377644166
mean_revert,hr_std,心率波动,0.14882653593814765,0.8472963829257009,0.4075221967666433
mean_revert,eye_pupil_filtered_mean,瞳孔直径,0.8301614216766975,0.07455146490317373,0.918018697455728
mean_revert,eye_aoi_coverage_ratio,AOI覆盖,0.09209186621193799,0.06531897520771046,0.3508635105806697
mean_revert,log_action_density_win,操作密度,-0.1306576472736245,0.08126028434512729,0.14515927853712343
mean_revert,log_action_count_win,操作次数,-0.13065764727362428,2.4378085303538195,0.14515927853712335
mean_revert,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.13604029210182256,0.6767641792257795,0.4483874027571049
mean_revert,blink_rate_per_min,眨眼频率,0.32868960235195177,6.073975080513419,0.5917720010484648
lstm,hr_mean,心率均值,-0.06179979828268012,7.891566877519355,0.42729710022205286
lstm,hr_std,心率波动,-0.01003458005662683,0.9563290350354082,0.04875656836943036
lstm,eye_pupil_filtered_mean,瞳孔直径,-0.6104176465914211,0.255824033820186,0.24429627453379218
lstm,eye_aoi_coverage_ratio,AOI覆盖,-0.10586646820591517,0.07921728837463857,-0.02554058221981344
lstm,log_action_density_win,操作密度,-0.15785008551146218,0.09344545880091996,0.0027053009565118982
lstm,log_action_count_win,操作次数,-0.16967746836745246,2.8051669024255297,0.007627532999313992
lstm,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,-0.10114516133849971,0.7881524535617349,0.04087829251394232
lstm,blink_rate_per_min,眨眼频率,-0.10395439534847384,8.589037067763028,0.10673181419872377
transformer,hr_mean,心率均值,0.7474436228236035,3.7105475413173243,0.8666991393281442
transformer,hr_std,心率波动,-0.1271217767855768,1.0156014720399613,0.09073351894931954
transformer,eye_pupil_filtered_mean,瞳孔直径,0.7113135319577347,0.10843290256710364,0.8437882639292376
transformer,eye_aoi_coverage_ratio,AOI覆盖,-0.04075201438625742,0.08112168506537722,0.07168864954742801
transformer,log_action_density_win,操作密度,-0.16083018658169124,0.09942148497104765,0.04585960158882904
transformer,log_action_count_win,操作次数,-0.08875558336916445,2.9179437599677147,0.12664319422242457
transformer,eeg_frontal_theta_alpha_z_within_subject,额区θ/α,0.075033170508094,0.727244321712472,0.31815513114166494
transformer,blink_rate_per_min,眨眼频率,0.22697124632970167,7.404443274509197,0.48370679985851533
