feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6883252892168576,0.32214165083202845
eeg_frontal_delta_power_z_within_subject__std,脑电,0.3464762413680934,0.27427509661165106
eeg_frontal_delta_power_z_within_subject__median,脑电,0.5883180709103195,0.29457167536704265
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.32829121452718135,0.01751849130502453
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7097128817640377,0.3738648626959108
eeg_frontal_theta_power_z_within_subject__std,脑电,0.11069755172461715,0.27817196648308873
eeg_frontal_theta_power_z_within_subject__median,脑电,0.5556091703927175,0.36373812831420166
eeg_frontal_theta_power_z_within_subject__slope,脑电,-1.1223078697937896,0.01948593940769881
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7188358110851394,0.34543291039175844
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.29690119633741974,0.23333994457740975
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.573992946176278,0.3861984636463902
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-4.5519764338507755,0.01751283099363443
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6558253231503507,0.3357914785454798
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.01460903504891986,0.22220484496104598
eeg_frontal_beta_power_z_within_subject__median,脑电,0.4061318327699701,0.4036403799093348
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.4613365683517092,0.017901465713932873
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6537638360633755,0.2915572340326918
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.1464785869261126,0.24199740428667513
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.45698010141800927,0.3355181815154041
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.1648582411326711,0.016908425185025056
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7297269924506935,0.276809179399432
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.1655883572205813,0.2135121367910469
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.46218466520025503,0.33607947421381346
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.3245118015522208,0.014290868930891787
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6684871186816599,0.3339161198053242
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.030825542892625513,0.20480465539294912
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.5574409003210234,0.35240790182378556
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.6075657570955719,0.018580371649827218
eeg_central_delta_power_z_within_subject__mean,脑电,0.7171018526783699,0.2689348596498672
eeg_central_delta_power_z_within_subject__std,脑电,0.4190789690579243,0.24536957766018874
eeg_central_delta_power_z_within_subject__median,脑电,0.6373056250386395,0.26375241931594523
eeg_central_delta_power_z_within_subject__slope,脑电,0.055619808682298766,0.015447795530992375
eeg_central_theta_power_z_within_subject__mean,脑电,0.6813034607431105,0.28736295409088514
eeg_central_theta_power_z_within_subject__std,脑电,0.11688386222075875,0.20634727559169172
eeg_central_theta_power_z_within_subject__median,脑电,0.5291864103731128,0.34408525027058257
eeg_central_theta_power_z_within_subject__slope,脑电,-2.2636514455839567,0.014810106057468185
eeg_central_alpha_power_z_within_subject__mean,脑电,0.7024952232618529,0.21806020650403962
eeg_central_alpha_power_z_within_subject__std,脑电,0.33487303376455335,0.20150241070750738
eeg_central_alpha_power_z_within_subject__median,脑电,0.39553689892219746,0.2853793282381304
eeg_central_alpha_power_z_within_subject__slope,脑电,-2.8386158356165128,0.01054008131808499
eeg_central_beta_power_z_within_subject__mean,脑电,0.6812071580922728,0.21947227371270425
eeg_central_beta_power_z_within_subject__std,脑电,0.48697691406302634,0.1979065910167674
eeg_central_beta_power_z_within_subject__median,脑电,0.2416672014375686,0.30080185838156503
eeg_central_beta_power_z_within_subject__slope,脑电,-0.6821159901954441,0.011026544572380654
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6916573915294539,0.20082045394450168
eeg_central_gamma_power_z_within_subject__std,脑电,0.48869973066935335,0.22518553991598977
