feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6881763428140218,0.307773510232433
eeg_frontal_delta_power_z_within_subject__std,脑电,0.3277354382704264,0.2730570040815878
eeg_frontal_delta_power_z_within_subject__median,脑电,0.5765943064197117,0.2958956382237313
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.2992920566735041,0.017186501762755015
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7066788741762655,0.3648454939654969
eeg_frontal_theta_power_z_within_subject__std,脑电,0.08874097384445645,0.2724953629143958
eeg_frontal_theta_power_z_within_subject__median,脑电,0.5387673868082155,0.3727669626404464
eeg_frontal_theta_power_z_within_subject__slope,脑电,-1.142384233460802,0.01960705161107935
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7235628444784921,0.3411572955900326
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.2894119140397633,0.2285573371394711
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.5234392968441267,0.403337512114151
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-4.519019702512383,0.01730209324309204
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6575954842902809,0.3301155179757582
eeg_frontal_beta_power_z_within_subject__std,脑电,0.05005840672074702,0.21595291068612882
eeg_frontal_beta_power_z_within_subject__median,脑电,0.37889332693529254,0.4150414002730734
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.3247498752388669,0.017191923858848344
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6650737373862657,0.2881642072053314
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.20402955077031004,0.23588776446540752
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.4421988282013263,0.33531263306707426
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.03224543302378047,0.01586188131169051
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.728975411057004,0.2758098343762148
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.1438362707478391,0.21361711751749787
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.47973885193140886,0.3243614837883033
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.2789273779223667,0.014218438612070587
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6668716741996437,0.33461434997920336
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.05755146687758139,0.20000528221954664
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.568045604227626,0.3454000336959827
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.5771394889319597,0.018413661497546478
eeg_central_delta_power_z_within_subject__mean,脑电,0.7204063800928739,0.2584232738246985
eeg_central_delta_power_z_within_subject__std,脑电,0.43495585036300577,0.2388785004708885
eeg_central_delta_power_z_within_subject__median,脑电,0.6697715464825467,0.25320266697092464
eeg_central_delta_power_z_within_subject__slope,脑电,0.10478819568130093,0.0148448342976941
eeg_central_theta_power_z_within_subject__mean,脑电,0.7002950112145986,0.27638129674543416
eeg_central_theta_power_z_within_subject__std,脑电,0.12570010438171153,0.21299672684109633
eeg_central_theta_power_z_within_subject__median,脑电,0.5854035027015878,0.32709635178571367
eeg_central_theta_power_z_within_subject__slope,脑电,-1.921124828564499,0.014038543024545673
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6976254268150368,0.21839747967739334
eeg_central_alpha_power_z_within_subject__std,脑电,0.31318239154380234,0.20165558615093782
eeg_central_alpha_power_z_within_subject__median,脑电,0.40082603583845633,0.28221139550538343
eeg_central_alpha_power_z_within_subject__slope,脑电,-2.8405562918614558,0.01041654133694456
eeg_central_beta_power_z_within_subject__mean,脑电,0.6726688486677164,0.22135350462908987
eeg_central_beta_power_z_within_subject__std,脑电,0.49214270332547494,0.1938817254260542
eeg_central_beta_power_z_within_subject__median,脑电,0.22458805006656657,0.303773287670465
eeg_central_beta_power_z_within_subject__slope,脑电,-0.7094254129874258,0.011095459087478155
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6879437749826629,0.20184574595108715
eeg_central_gamma_power_z_within_subject__std,脑电,0.5018373204429857,0.22202075064804846
eeg_central_gamma_power_z_within_subject__median,脑电,0.19200754994835767,0.27102327920189373
eeg_central_gamma_power_z_within_subject__slope,脑电,-0.018318859294483625,0.01076309957193535
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6425016400400538,0.24085307004929035
eeg_central_theta_alpha_z_within_subject__std,脑电,0.21153363773096412,0.17905379567229396
eeg_central_theta_alpha_z_within_subject__median,脑电,0.3836246972538555,0.29098743125354104
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.48072716443268426,0.011836064816493434
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6354814784916909,0.2308001016111851
eeg_central_beta_alpha_z_within_subject__std,脑电,0.5478339277455451,0.15734424148938697
eeg_central_beta_alpha_z_within_subject__median,脑电,0.21140823121060093,0.31532290332621427
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.8487006637410706,0.011763425929551144
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.7268283068809983,0.29762960862897636
eeg_parietal_delta_power_z_within_subject__std,脑电,0.20346427174228543,0.27940933551055885
eeg_parietal_delta_power_z_within_subject__median,脑电,0.5275646893612489,0.3479888957852201
eeg_parietal_delta_power_z_within_subject__slope,脑电,-1.0366143243669228,0.017099472668813284
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7270018764718822,0.32203270349151913
eeg_parietal_theta_power_z_within_subject__std,脑电,0.2605744174603378,0.24491983994301705
eeg_parietal_theta_power_z_within_subject__median,脑电,0.5240657902259992,0.37495181150086143
eeg_parietal_theta_power_z_within_subject__slope,脑电,-8.673434548289798,0.018975485997092256
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.684006056688369,0.2791110958289121
eeg_parietal_alpha_power_z_within_subject__std,脑电,0.19532455218621736,0.21727733776121191
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.3266608202024386,0.36354040519895653
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-6.705793439564535,0.014623609001117196
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.641046916509278,0.2646730122259025
eeg_parietal_beta_power_z_within_subject__std,脑电,0.38509365049593003,0.18533363221843793
eeg_parietal_beta_power_z_within_subject__median,脑电,0.27444748418800147,0.3667757292089518
eeg_parietal_beta_power_z_within_subject__slope,脑电,-1.711047672980718,0.014956251566003593
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.6108612139551819,0.23946416960408032
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.40426081048562645,0.1976526592925847
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.35097992375554043,0.32536325103699343
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.5724014844091774,0.01375925171285287
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.6980075700519888,0.2725946650051976
eeg_parietal_theta_alpha_z_within_subject__std,脑电,0.12504298798647207,0.19033096879204953
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.5472353494659197,0.3189380431778909
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.7547882305850593,0.014153400861269375
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.631643313525811,0.22207324348760807
eeg_parietal_beta_alpha_z_within_subject__std,脑电,0.3936290309318553,0.15529010443967456
eeg_parietal_beta_alpha_z_within_subject__median,脑电,0.30019605441079067,0.30917408441190447
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,0.038759984920513246,0.011274811815641099
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.6665056384019279,0.25751600492263454
eeg_occipital_delta_power_z_within_subject__std,脑电,0.21856673154707273,0.25581708898416355
eeg_occipital_delta_power_z_within_subject__median,脑电,0.5344073725196397,0.28465899615875784
eeg_occipital_delta_power_z_within_subject__slope,脑电,-0.3966143903877366,0.014584422292947687
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.645762684485544,0.267544068632685
eeg_occipital_theta_power_z_within_subject__std,脑电,0.14470229969864967,0.17372614432687472
eeg_occipital_theta_power_z_within_subject__median,脑电,0.4711616193146947,0.2971600026295883
eeg_occipital_theta_power_z_within_subject__slope,脑电,-0.8377849493893366,0.013657703317675346
eeg_occipital_alpha_power_z_within_subject__mean,脑电,0.69365432879688,0.31298455167962175
eeg_occipital_alpha_power_z_within_subject__std,脑电,0.04018282780202065,0.19848217170429683
eeg_occipital_alpha_power_z_within_subject__median,脑电,0.4193688339334246,0.3700294602598659
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-0.48355051745633615,0.013963088885304538
eeg_occipital_beta_power_z_within_subject__mean,脑电,0.6702818997002671,0.3336855216579666
eeg_occipital_beta_power_z_within_subject__std,脑电,0.11426959588981389,0.20622285539886523
eeg_occipital_beta_power_z_within_subject__median,脑电,0.3809337971430786,0.4170349916256522
eeg_occipital_beta_power_z_within_subject__slope,脑电,0.030809348672388825,0.014667630420954045
eeg_occipital_gamma_power_z_within_subject__mean,脑电,0.6760518295681142,0.3298863543022378
eeg_occipital_gamma_power_z_within_subject__std,脑电,0.05908167971957512,0.21308942541400694
eeg_occipital_gamma_power_z_within_subject__median,脑电,0.40306308030285065,0.40531841271454194
eeg_occipital_gamma_power_z_within_subject__slope,脑电,0.048255157968019935,0.01437161596350147
eeg_occipital_theta_alpha_z_within_subject__mean,脑电,0.7115536176260457,0.2690545094987716
eeg_occipital_theta_alpha_z_within_subject__std,脑电,0.3164047676490864,0.15377359342383748
eeg_occipital_theta_alpha_z_within_subject__median,脑电,0.3911622340325166,0.35628826721316337
eeg_occipital_theta_alpha_z_within_subject__slope,脑电,-2.406659551051984,0.013147321279416728
eeg_occipital_beta_alpha_z_within_subject__mean,脑电,0.5482583898279023,0.21874934840078675
eeg_occipital_beta_alpha_z_within_subject__std,脑电,0.421683024240306,0.12033389777849253
eeg_occipital_beta_alpha_z_within_subject__median,脑电,0.3770367991245186,0.2610688394265029
eeg_occipital_beta_alpha_z_within_subject__slope,脑电,0.016055025730987382,0.009678037584096636
hr_mean__mean,心率,0.7645184572005694,3.3221528255603476
hr_mean__std,心率,-3.3570686486832724,1.755743918875238
hr_mean__median,心率,0.5693878573209079,3.4991919246909293
hr_mean__slope,心率,-12.90075434608368,0.14412654145000334
hr_std__mean,心率,0.6936181685374505,0.2468192210934377
hr_std__std,心率,0.754843188216948,0.12075734208658512
hr_std__median,心率,0.08093940429562063,0.3680955146072046
hr_std__slope,心率,-0.13125221221623273,0.012248350547720329
hr_min__mean,心率,0.7650673831779509,3.2866231091618485
hr_min__std,心率,-4.040414978801101,1.747641777430091
hr_min__median,心率,0.5827323689222654,3.4032102681680794
hr_min__slope,心率,-15.808127717853772,0.14056306105178065
hr_max__mean,心率,0.761220021676013,3.407173609433603
hr_max__std,心率,-1.8933866747404,1.6778795903635018
hr_max__median,心率,0.5475229677149195,3.6910477185249704
hr_max__slope,心率,-9.78051605246005,0.15061720367719392
hr_slope_bpm_per_min__mean,心率,0.08793439282665616,0.8622379145158102
hr_slope_bpm_per_min__std,心率,0.6846203344923224,1.5534581585014064
hr_slope_bpm_per_min__median,心率,-0.5806815811144372,1.3513134993900535
hr_slope_bpm_per_min__slope,心率,0.3403341635871804,0.0716675858983816
eye_pupil_filtered_mean__mean,眼动,0.737989646335159,0.09325817305757322
eye_pupil_filtered_mean__std,眼动,-7.645730755023948,0.057591093513833784
eye_pupil_filtered_mean__median,眼动,0.5812124755153392,0.10362831519731486
eye_pupil_filtered_mean__slope,眼动,-13.659360439032154,0.003772784393356789
eye_pupil_filtered_std__mean,眼动,0.7187828708407598,0.019169134357310623
eye_pupil_filtered_std__std,眼动,0.37527131888674725,0.009741644111306758
eye_pupil_filtered_std__median,眼动,0.5319758048060321,0.022806665047920907
eye_pupil_filtered_std__slope,眼动,-0.7917489794430475,0.0008878015955761168
eye_valid_ratio__mean,眼动,0.7157387416054931,0.025821384676162407
eye_valid_ratio__std,眼动,0.5888853655184136,0.01731991559889423
eye_valid_ratio__median,眼动,0.5947695999639872,0.026314987591274097
eye_valid_ratio__slope,眼动,-1.4880317948230233,0.0011204874001862451
eye_fixation_ratio__mean,眼动,0.7620443780507932,0.026779180703703897
eye_fixation_ratio__std,眼动,0.2144122367890049,0.014263285008511796
eye_fixation_ratio__median,眼动,0.6540273792411657,0.028325672371668664
eye_fixation_ratio__slope,眼动,-3.5171332614878574,0.0011086677540562311
eye_saccade_ratio__mean,眼动,0.7522350105941247,0.012648551531382382
eye_saccade_ratio__std,眼动,0.2283065610621603,0.0065221866293187275
eye_saccade_ratio__median,眼动,0.639730135570699,0.014690094998876128
eye_saccade_ratio__slope,眼动,-3.5112726804686707,0.0005210463762257942
eye_eyes_not_found_ratio__mean,眼动,0.7930847474558754,0.007005239744675523
eye_eyes_not_found_ratio__std,眼动,0.8027550895885166,0.005597515745923216
eye_eyes_not_found_ratio__median,眼动,0.5011863349012722,0.007600052351813672
eye_eyes_not_found_ratio__slope,眼动,0.7155100153187562,0.00028895485676013366
eye_aoi_interval_n__mean,眼动,0.7715862814555534,1.0982053522380086
eye_aoi_interval_n__std,眼动,0.6290613636715428,0.6213933667971768
eye_aoi_interval_n__median,眼动,0.2591126772512138,2.0122699407452336
eye_aoi_interval_n__slope,眼动,0.22532742908429326,0.05373781801174789
eye_aoi_unique_hit_n__mean,眼动,0.7828602900448072,0.31145470870820524
eye_aoi_unique_hit_n__std,眼动,0.4375744376651638,0.2258268216272977
eye_aoi_unique_hit_n__median,眼动,0.18338226698181792,0.7373394252910229
eye_aoi_unique_hit_n__slope,眼动,0.007004311055852863,0.015651036322365097
eye_aoi_total_fix_ms__mean,眼动,0.6738495702000442,619.0101307947474
eye_aoi_total_fix_ms__std,眼动,0.4286123725646266,519.2583963744387
eye_aoi_total_fix_ms__median,眼动,0.10325877156063101,875.6819607469687
eye_aoi_total_fix_ms__slope,眼动,0.43764123631963225,24.62269746356782
eye_aoi_fixation_n__mean,眼动,0.7326795270539246,0.9465122346589708
eye_aoi_fixation_n__std,眼动,0.5317455341110894,0.7477729852615141
eye_aoi_fixation_n__median,眼动,0.20939238348575706,1.3957649309275566
eye_aoi_fixation_n__slope,眼动,0.10482640240629115,0.04254529569386753
eye_aoi_fixation_density_per_sec__mean,眼动,0.7240521285154462,0.032582109548933556
eye_aoi_fixation_density_per_sec__std,眼动,0.520869151429438,0.025369137692877845
eye_aoi_fixation_density_per_sec__median,眼动,0.1946693440436803,0.0457610717294507
eye_aoi_fixation_density_per_sec__slope,眼动,0.16752270554892745,0.0014847493713338244
eye_aoi_coverage_ratio__mean,眼动,0.6775410853245849,0.020979438810877108
eye_aoi_coverage_ratio__std,眼动,0.42886254731450424,0.01741215191807308
eye_aoi_coverage_ratio__median,眼动,0.13378578177452483,0.028302358676992184
eye_aoi_coverage_ratio__slope,眼动,0.4830894269536036,0.0008240212257996443
eye_aoi_max_share__mean,眼动,0.5867233427014332,0.05179728236523797
eye_aoi_max_share__std,眼动,0.2719576617246563,0.02741864810031919
eye_aoi_max_share__median,眼动,-0.1513008975265695,0.09987461532569396
eye_aoi_max_share__slope,眼动,0.16425381109842185,0.0025927612542467446
eye_aoi_entropy__mean,眼动,0.664879803685994,0.11418593525033648
eye_aoi_entropy__std,眼动,0.21706309826665415,0.06504771735997032
eye_aoi_entropy__median,眼动,0.004186883260085983,0.20829621908488216
eye_aoi_entropy__slope,眼动,0.12557749541688235,0.005198648420911511
eye_aoi_pupil_weighted_mean__mean,眼动,0.7337760399388562,0.09571528635257977
eye_aoi_pupil_weighted_mean__std,眼动,-7.971437670307074,0.060273558702709215
eye_aoi_pupil_weighted_mean__median,眼动,0.5496184862982159,0.10651557189203881
eye_aoi_pupil_weighted_mean__slope,眼动,-12.800159658785185,0.0038525714176903428
blink_count__mean,眼动,0.692831424234336,1.5809849206123479
blink_count__std,眼动,0.4620395009445586,0.8896633509882665
blink_count__median,眼动,0.4554422103594715,1.9565133744559937
blink_count__slope,眼动,-1.093382458762381,0.06545254283197133
blink_rate_per_min__mean,眼动,0.692831424234336,3.1619698412246957
blink_rate_per_min__std,眼动,0.4620395009445586,1.779326701976533
blink_rate_per_min__median,眼动,0.4554422103594715,3.9130267489119874
blink_rate_per_min__slope,眼动,-1.093382458762381,0.13090508566394266
blink_duration_mean_ms__mean,眼动,0.7168825830858334,6.716799475525346
blink_duration_mean_ms__std,眼动,0.3614862956279994,3.3661970324972885
blink_duration_mean_ms__median,眼动,0.4722931921997793,8.633577356532191
blink_duration_mean_ms__slope,眼动,-1.7854490829467733,0.33650026865145966
blink_duration_std_ms__mean,眼动,0.6821763956987192,5.360533360464498
blink_duration_std_ms__std,眼动,0.4316582821492304,4.328192060255891
blink_duration_std_ms__median,眼动,0.3312223461647871,6.205517770889656
