feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.7243787402120705,0.2700983098972845
eeg_frontal_delta_power_z_within_subject__std,脑电,0.35157558478085993,0.2706011180076181
eeg_frontal_delta_power_z_within_subject__median,脑电,0.600444051746106,0.26959026305124906
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.2522412882386015,0.01607044935985816
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7846568902076033,0.3114874588901515
eeg_frontal_theta_power_z_within_subject__std,脑电,0.3173361063644694,0.2438414213378989
eeg_frontal_theta_power_z_within_subject__median,脑电,0.6489771453493219,0.3211061743998154
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.6117077212754716,0.016742363266082107
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7722446170834314,0.3105555529082343
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.06505187058687723,0.22894514456095102
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.6534636502415695,0.3562875717653697
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-3.48006846787297,0.015660274395580227
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6935705334126396,0.3140227708003382
eeg_frontal_beta_power_z_within_subject__std,脑电,0.024113535906586825,0.22853846990753818
eeg_frontal_beta_power_z_within_subject__median,脑电,0.48184529253664576,0.37654172643825234
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.10395734933811274,0.016146541040808784
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6832184426036885,0.28337664041129634
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.16906938967284424,0.2555707189228186
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.4762410505371758,0.3345501259038937
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.0929391425429209,0.014836977459904687
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.751550113107958,0.26522477255016813
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.1843775948467783,0.21822695377212575
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.42097503640939316,0.3577295945205411
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.210129713103762,0.01409096297914666
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6735759746601717,0.33120508419741146
