feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8270009413889928,0.17490497001042654
eeg_frontal_delta_power_z_within_subject__std,脑电,0.32111069028981376,0.21242277328334308
eeg_frontal_delta_power_z_within_subject__median,脑电,0.8092190421995553,0.12239820155744473
eeg_frontal_delta_power_z_within_subject__slope,脑电,-1.1342781505163657e-06,0.011060221872764165
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.921224258863389,0.15878947925099102
eeg_frontal_theta_power_z_within_subject__std,脑电,0.3915770597109396,0.1622811718267236
eeg_frontal_theta_power_z_within_subject__median,脑电,0.9514301735287489,0.11780799010403611
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.0025834189669611263,0.009142165574421377
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.9063069684650092,0.18455414785710372
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.40486434391876935,0.13932927668954645
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.9059345650780584,0.1882480830689446
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.015220066010044553,0.007330124192260616
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.7848243900111227,0.24552211873503957
eeg_frontal_beta_power_z_within_subject__std,脑电,0.23486163618487343,0.1764787676302089
eeg_frontal_beta_power_z_within_subject__median,脑电,0.7456262659544862,0.25093371075504695
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.053449866437714766,0.01163690174713762
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.7632984605257109,0.23001730645107876
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.13808468346591207,0.1975637618229315
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.6850659724699204,0.22704770853768919
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.009012977034901448,0.011797859212863077
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.8909519500283627,0.19287583111565723
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.462052949616112,0.14954424347240955
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.8861109271751171,0.18503329949522007
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.0280823522188014,0.009133734054418145
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.78830685156645,0.2604258654897573
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.37611083430733505,0.1512895827257506
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.7381889625690405,0.2654390951611913
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.05293622583298796,0.012392133516353517
eeg_central_delta_power_z_within_subject__mean,脑电,0.7913718325794555,0.20611268912176814
eeg_central_delta_power_z_within_subject__std,脑电,0.3652337531846168,0.20037978388514532
eeg_central_delta_power_z_within_subject__median,脑电,0.7591406159899242,0.16994029129700072
eeg_central_delta_power_z_within_subject__slope,脑电,-0.0016346404985998486,0.011772719341221401
eeg_central_theta_power_z_within_subject__mean,脑电,0.8118722069688953,0.21226929856753265
eeg_central_theta_power_z_within_subject__std,脑电,-0.011335138647103893,0.18183889157081834
eeg_central_theta_power_z_within_subject__median,脑电,0.8117323519830679,0.20585738381255594
eeg_central_theta_power_z_within_subject__slope,脑电,-0.0001673981214889153,0.009501467213316047
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6926063446227071,0.19959753659170393
eeg_central_alpha_power_z_within_subject__std,脑电,0.36792789648908786,0.17162602969373766
eeg_central_alpha_power_z_within_subject__median,脑电,0.6410088323616966,0.1980780171390501
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.003841897172227604,0.007087420039985125
eeg_central_beta_power_z_within_subject__mean,脑电,0.6047377978078762,0.2264030713874671
eeg_central_beta_power_z_within_subject__std,脑电,0.4836656756792028,0.17780119039382328
eeg_central_beta_power_z_within_subject__median,脑电,0.44928491244548496,0.24056608527517245
eeg_central_beta_power_z_within_subject__slope,脑电,-0.031971456719673164,0.009987521232130633
eeg_central_gamma_power_z_within_subject__mean,脑电,0.5785913537586314,0.21724865813771677
eeg_central_gamma_power_z_within_subject__std,脑电,0.4845275849725369,0.18656618288030463
eeg_central_gamma_power_z_within_subject__median,脑电,0.3419825420675162,0.2202949146578413
eeg_central_gamma_power_z_within_subject__slope,脑电,-0.05898534525775223,0.010229169836049974
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.678725185278436,0.22088929707317193
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.05845711244469154,0.18765137054552838
eeg_central_theta_alpha_z_within_subject__median,脑电,0.6222321534121262,0.22684633269314156
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.008276591740800754,0.01035862748306746
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.5870614188374288,0.23543878568461976
eeg_central_beta_alpha_z_within_subject__std,脑电,0.5762567430360548,0.14407902344608875
eeg_central_beta_alpha_z_within_subject__median,脑电,0.48528218985079485,0.23465410144529833
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.03416580839765282,0.010042358899392152
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.8670806477911106,0.17883984333633332
eeg_parietal_delta_power_z_within_subject__std,脑电,0.3578143194549467,0.1718289543643557
eeg_parietal_delta_power_z_within_subject__median,脑电,0.8327472864871002,0.17669490390369327
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.020641923968396148,0.007884777176945483
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.8729847190196771,0.20546204182563158
eeg_parietal_theta_power_z_within_subject__std,脑电,0.5284375780277027,0.1459428422548135
eeg_parietal_theta_power_z_within_subject__median,脑电,0.8671810884030031,0.19015479919625927
eeg_parietal_theta_power_z_within_subject__slope,脑电,-0.0550437918881308,0.0076305800031593145
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.7833217367566312,0.2111027418434277
eeg_parietal_alpha_power_z_within_subject__std,脑电,0.4665576442091012,0.15540984631619215
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.7465682624106735,0.21296396802329282
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-0.009354923436777351,0.006936858440994745
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.670229818476427,0.2546331040725066
eeg_parietal_beta_power_z_within_subject__std,脑电,0.4944306153174921,0.15000236605568165
eeg_parietal_beta_power_z_within_subject__median,脑电,0.5681850547288091,0.254762337853932
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.06571240203038342,0.010713956175377006
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.560023893275865,0.26697235258994434
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.42352562554125717,0.17400643078450112
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.3988520266194737,0.26851049343400574
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.11757818641711926,0.012272750623622168
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.7794757311509846,0.23639896960486279
eeg_parietal_theta_alpha_z_within_subject__std,脑电,0.3910436753081673,0.14335143603286413
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.8103254817417643,0.2155353266398911
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.07577934413252918,0.009609181062673864
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.5308275774804307,0.2637093002846386
eeg_parietal_beta_alpha_z_within_subject__std,脑电,0.40898389840020144,0.1503187106490345
eeg_parietal_beta_alpha_z_within_subject__median,脑电,0.3862405686693381,0.266513251486685
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,-0.0830834369437532,0.011112083337546017
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.7869508545708924,0.1935232901728596
eeg_occipital_delta_power_z_within_subject__std,脑电,0.16510387088043155,0.2145747146258733
eeg_occipital_delta_power_z_within_subject__median,脑电,0.8381465035683131,0.1575578314926393
eeg_occipital_delta_power_z_within_subject__slope,脑电,-0.0013527675763245206,0.010349447959009595
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.7454552881429058,0.21227946120541116
eeg_occipital_theta_power_z_within_subject__std,脑电,0.26132479102044825,0.13966050648696848
eeg_occipital_theta_power_z_within_subject__median,脑电,0.7506082188220993,0.1995547109843138
eeg_occipital_theta_power_z_within_subject__slope,脑电,-0.005541599937404662,0.00933521391731267
eeg_occipital_alpha_power_z_within_subject__mean,脑电,0.6921789446015034,0.29202955435461825
eeg_occipital_alpha_power_z_within_subject__std,脑电,-0.11806697144702882,0.18915621952802836
eeg_occipital_alpha_power_z_within_subject__median,脑电,0.7472734706730413,0.25974197933671495
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-2.632625406406852e-05,0.010877546976831865
eeg_occipital_beta_power_z_within_subject__mean,脑电,0.6481585483003891,0.32415920671082205
eeg_occipital_beta_power_z_within_subject__std,脑电,-0.0070465649878230785,0.20385663379832292
eeg_occipital_beta_power_z_within_subject__median,脑电,0.6831742253900057,0.3047803139756149
eeg_occipital_beta_power_z_within_subject__slope,脑电,-0.0019518846091735043,0.013167742057054472
eeg_occipital_gamma_power_z_within_subject__mean,脑电,0.6364370348221591,0.3376607540032335
eeg_occipital_gamma_power_z_within_subject__std,脑电,0.01054651346685076,0.19271528378966216
eeg_occipital_gamma_power_z_within_subject__median,脑电,0.631332612367467,0.32920773121490526
eeg_occipital_gamma_power_z_within_subject__slope,脑电,-0.0004043943703821995,0.013580788779365924
eeg_occipital_theta_alpha_z_within_subject__mean,脑电,0.7370753387214897,0.25807173935543287
eeg_occipital_theta_alpha_z_within_subject__std,脑电,0.3898559032359543,0.12562927972512317
eeg_occipital_theta_alpha_z_within_subject__median,脑电,0.7001373873425041,0.2702348780045933
eeg_occipital_theta_alpha_z_within_subject__slope,脑电,-0.02879124438988767,0.00917625915039942
eeg_occipital_beta_alpha_z_within_subject__mean,脑电,0.42338907809433657,0.25502750433484866
eeg_occipital_beta_alpha_z_within_subject__std,脑电,0.3445155562435872,0.12179586588033713
eeg_occipital_beta_alpha_z_within_subject__median,脑电,0.41403079469663595,0.253883229469312
eeg_occipital_beta_alpha_z_within_subject__slope,脑电,-0.006832032099153951,0.009747507288128052
hr_mean__mean,心率,0.9844596082605642,0.8292650518412719
hr_mean__std,心率,0.720196288100769,0.4580334845022801
hr_mean__median,心率,0.9798396733527677,0.8823461091753797
hr_mean__slope,心率,-0.016244321850427568,0.03704538808699723
hr_std__mean,心率,0.740949436619358,0.20015602722001302
hr_std__std,心率,0.7395824821678176,0.12494944409214877
hr_std__median,心率,0.5561432239890652,0.23268057353015792
hr_std__slope,心率,-0.2351624475857932,0.011893947459376416
hr_min__mean,心率,0.9851542892500957,0.7847008519503793
hr_min__std,心率,0.6375370799527558,0.44562378976215566
hr_min__median,心率,0.9761676050856892,0.823170731707317
hr_min__slope,心率,-0.0004204529437974447,0.03371794383106887
hr_max__mean,心率,0.9808207145102881,0.9538375000487399
hr_max__std,心率,0.7874842686446111,0.48987182236166005
hr_max__median,心率,0.9665663818013669,1.1219512195121952
hr_max__slope,心率,-0.055040534594609225,0.04415372592516219
hr_slope_bpm_per_min__mean,心率,-2.71878499235695,1.5398111903675054
hr_slope_bpm_per_min__std,心率,0.5915379072301676,1.6315755296591294
hr_slope_bpm_per_min__median,心率,-3.422659943822884,1.7069467947159884
hr_slope_bpm_per_min__slope,心率,-0.030599625147944565,0.09912299229210673
eye_pupil_filtered_mean__mean,眼动,0.9800285991147316,0.025136969034985135
eye_pupil_filtered_mean__std,眼动,0.25466376724386797,0.017020342708388227
eye_pupil_filtered_mean__median,眼动,0.9804603839259411,0.02329872496416608
eye_pupil_filtered_mean__slope,眼动,-0.07653694789110332,0.0010510986197220346
eye_pupil_filtered_std__mean,眼动,0.8819855700485663,0.011162539028211568
eye_pupil_filtered_std__std,眼动,0.4372956471149634,0.008366093695293418
eye_pupil_filtered_std__median,眼动,0.867438854835771,0.01024742690760677
eye_pupil_filtered_std__slope,眼动,-0.03347299492515021,0.0004936635945738068
eye_valid_ratio__mean,眼动,0.8761761307066842,0.013645779983708943
eye_valid_ratio__std,眼动,0.752362501165897,0.0099210997519284
eye_valid_ratio__median,眼动,0.8486648171598712,0.012637717314246904
eye_valid_ratio__slope,眼动,-0.00010718666282549805,0.0005560297462038099
eye_fixation_ratio__mean,眼动,0.9384454937038116,0.011641450902874976
eye_fixation_ratio__std,眼动,0.5942971752902301,0.00911959937615511
eye_fixation_ratio__median,眼动,0.949419440539874,0.010900069859526592
eye_fixation_ratio__slope,眼动,-0.006645342582745739,0.00044504004583829443
eye_saccade_ratio__mean,眼动,0.9335138858675412,0.006692558570564418
eye_saccade_ratio__std,眼动,0.4781748474455152,0.004645501964001439
eye_saccade_ratio__median,眼动,0.9517072683923112,0.0061572455619127026
eye_saccade_ratio__slope,眼动,-0.025962093907100803,0.00026107006649526
eye_eyes_not_found_ratio__mean,眼动,0.7296555099829183,0.004759818266076777
eye_eyes_not_found_ratio__std,眼动,0.8449248510086508,0.003924378754711246
eye_eyes_not_found_ratio__median,眼动,0.23722811769904262,0.004283969832380614
eye_eyes_not_found_ratio__slope,眼动,-0.003915356819527371,0.00022407408218880936
eye_aoi_interval_n__mean,眼动,0.8133984001542743,0.9389504645501332
eye_aoi_interval_n__std,眼动,0.8725784061184806,0.40082921262762
eye_aoi_interval_n__median,眼动,0.5926078681403506,1.1158536585365855
eye_aoi_interval_n__slope,眼动,-0.01969128002468601,0.04273178555349596
eye_aoi_unique_hit_n__mean,眼动,0.6356562412897729,0.46936550181356423
eye_aoi_unique_hit_n__std,眼动,0.31426822475343463,0.2694761744931889
eye_aoi_unique_hit_n__median,眼动,0.2727214928314844,0.6036585365853658
eye_aoi_unique_hit_n__slope,眼动,-0.03910954839180558,0.020294843344977203
eye_aoi_total_fix_ms__mean,眼动,0.572365434910407,662.1550588766114
eye_aoi_total_fix_ms__std,眼动,0.4496017600363049,484.90300668549565
eye_aoi_total_fix_ms__median,眼动,0.21093711411895522,733.1194102390357
eye_aoi_total_fix_ms__slope,眼动,-0.08977528749479036,29.065700945247727
eye_aoi_fixation_n__mean,眼动,0.7379274932638986,0.9004400575947396
eye_aoi_fixation_n__std,眼动,0.5825348593760709,0.6270455655879046
eye_aoi_fixation_n__median,眼动,0.44113314139162696,1.086672039277274
eye_aoi_fixation_n__slope,眼动,-0.13738748758005825,0.043160135372256075
eye_aoi_fixation_density_per_sec__mean,眼动,0.7304953059176387,0.029903959653597892
eye_aoi_fixation_density_per_sec__std,眼动,0.563376973702863,0.02115799489517932
eye_aoi_fixation_density_per_sec__median,眼动,0.4321651921757256,0.03527923573281102
eye_aoi_fixation_density_per_sec__slope,眼动,-0.09950264877626758,0.0014450896197323964
eye_aoi_coverage_ratio__mean,眼动,0.5716080401644082,0.02121442077071427
eye_aoi_coverage_ratio__std,眼动,0.4396634707878885,0.016247623121610363
eye_aoi_coverage_ratio__median,眼动,0.24642925408490535,0.02307066549443133
eye_aoi_coverage_ratio__slope,眼动,-0.05666994555637972,0.0009378872100021038
eye_aoi_max_share__mean,眼动,0.33927844831799303,0.06089418004935121
eye_aoi_max_share__std,眼动,0.039331023022126654,0.03005398845776538
eye_aoi_max_share__median,眼动,-0.1299626377582057,0.0876724567657622
eye_aoi_max_share__slope,眼动,-0.04622925260793109,0.002759339897791921
eye_aoi_entropy__mean,眼动,0.5030379952664954,0.13299033996468043
eye_aoi_entropy__std,眼动,0.09452537682671003,0.07122454452075684
eye_aoi_entropy__median,眼动,0.12117981010554435,0.17214259647047753
eye_aoi_entropy__slope,眼动,-0.05016966287329616,0.005807624941609923
eye_aoi_pupil_weighted_mean__mean,眼动,0.9782294370792569,0.028023137588555926
eye_aoi_pupil_weighted_mean__std,眼动,0.2156762665193943,0.017260917111230983
eye_aoi_pupil_weighted_mean__median,眼动,0.9601418689222997,0.029552660178634567
eye_aoi_pupil_weighted_mean__slope,眼动,-0.208148281217027,0.0011870518983661093
blink_count__mean,眼动,0.8523114663281004,0.9288500173916185
blink_count__std,眼动,0.6853766859764545,0.5820371694500144
blink_count__median,眼动,0.8661549028322089,0.8658536585365854
blink_count__slope,眼动,-0.00042332155121682646,0.03732889938286678
blink_rate_per_min__mean,眼动,0.8523114663281004,1.857700034783237
blink_rate_per_min__std,眼动,0.6853766859764545,1.1640743389000288
blink_rate_per_min__median,眼动,0.8661549028322089,1.7317073170731707
blink_rate_per_min__slope,眼动,-0.00042332155121682646,0.07465779876573356
blink_duration_mean_ms__mean,眼动,0.8483761230815927,4.966531419973297
blink_duration_mean_ms__std,眼动,0.2929794979021685,3.6439433593621158
blink_duration_mean_ms__median,眼动,0.7951363020236515,5.333624881780521
blink_duration_mean_ms__slope,眼动,-0.0050909241091026125,0.20736501410436187
blink_duration_std_ms__mean,眼动,0.7739785558249073,4.148754896896853
blink_duration_std_ms__std,眼动,0.3530014059060973,3.9262216653564894
blink_duration_std_ms__median,眼动,0.5744581350442174,4.12577489908145
blink_duration_std_ms__slope,眼动,-0.005215448461557415,0.1999754234601208
blink_duration_median_ms__mean,眼动,0.8339869201516787,4.466637716161161
blink_duration_median_ms__std,眼动,0.4479967453411541,2.9098977064238793
blink_duration_median_ms__median,眼动,0.7640294448436322,4.7317073170731705
blink_duration_median_ms__slope,眼动,-0.006757177770621237,0.1833446759942967
blink_total_duration_ratio__mean,眼动,0.8640950398876295,0.0031614304010566313
blink_total_duration_ratio__std,眼动,0.7970261793574253,0.002091868413055766
blink_total_duration_ratio__median,眼动,0.8417477635205918,0.0028522357723577228
blink_total_duration_ratio__slope,眼动,-0.00019243835980176094,0.0001301679514910558
log_action_count_win__mean,行为,0.09903995604170401,1.0690067233491332
log_action_count_win__std,行为,-1.4335659267440644,1.1475265252730418
log_action_count_win__median,行为,0.40025528980983704,0.725609756097561
log_action_count_win__slope,行为,-0.09987773094786401,0.04905447136790949
log_unique_device_count_win__mean,行为,-0.24469513101551232,0.23566999659148039
log_unique_device_count_win__std,行为,-2.302209635428553,0.2330595731111803
log_unique_device_count_win__median,行为,0.15422396856581533,0.20121951219512196
log_unique_device_count_win__slope,行为,-0.12340534158825545,0.010938351032213555
log_action_density_win__mean,行为,0.09903995604170446,0.03563355744497109
log_action_density_win__std,行为,-1.4335659267440648,0.03825088417576806
log_action_density_win__median,行为,0.40025528980983704,0.024186991869918698
log_action_density_win__slope,行为,-0.09987773094786401,0.0016351490455969828
log_correct_action_count_win__mean,行为,-0.4262550976710997,0.855906478737859
log_correct_action_count_win__std,行为,-1.4303835419775943,1.1406072109344345
log_correct_action_count_win__median,行为,0.20526838966202798,0.22560975609756098
log_correct_action_count_win__slope,行为,-0.11876382137908359,0.03878144587916596
log_error_action_count_win__mean,行为,0.4932446396203406,0.23401800854217825
log_error_action_count_win__std,行为,0.49761508135220633,0.3497678684694967
log_error_action_count_win__median,行为,-1.179222490665496,0.12804878048780488
log_error_action_count_win__slope,行为,-5.279322412121701e-05,0.01419936533372291
log_duplicate_action_count_win__mean,行为,0.1801850947784267,0.1045127967803991
log_duplicate_action_count_win__std,行为,0.07638490887052618,0.3262404108073988
log_duplicate_action_count_win__median,行为,,0.0
log_duplicate_action_count_win__slope,行为,-0.11698446279155661,0.004332400281635727
log_extra_action_count_win__mean,行为,0.16766433054923857,0.22948014752612128
log_extra_action_count_win__std,行为,0.40704697251810584,0.43357495233080195
log_extra_action_count_win__median,行为,-35.69753086419753,0.10365853658536585
log_extra_action_count_win__slope,行为,-0.007126036145596926,0.010934689313102696
log_disallowed_action_count_win__mean,行为,0.5820804365998986,0.4285227624192972
log_disallowed_action_count_win__std,行为,0.35970246573110687,0.6039000775191431
log_disallowed_action_count_win__median,行为,0.10887502515596692,0.17073170731707318
log_disallowed_action_count_win__slope,行为,-0.0009124669849549516,0.02197385131070486
log_error_rate_win__mean,行为,0.45589326792803253,0.07339597216438826
log_error_rate_win__std,行为,-0.4344726261818439,0.10057977908885354
log_error_rate_win__median,行为,0.8083272856258266,0.014686939077182978
log_error_rate_win__slope,行为,-0.007539393234228031,0.003757272883666309
log_duplicate_rate_win__mean,行为,0.3141735492023737,0.01588565154719686
log_duplicate_rate_win__std,行为,0.1833978732642496,0.047252815451161626
log_duplicate_rate_win__median,行为,,0.0
log_duplicate_rate_win__slope,行为,-0.15735759389183723,0.000568144044916455
log_extra_rate_win__mean,行为,0.21145007343623745,0.03775838815645521
log_extra_rate_win__std,行为,-0.06434418523069119,0.08219538525352296
log_extra_rate_win__median,行为,-41.88391129350171,0.011585975000609147
log_extra_rate_win__slope,行为,-1.7040727746886475e-05,0.0015931293247539139
log_unique_step_count_win__mean,行为,-0.23484437504976663,0.246943966262055
log_unique_step_count_win__std,行为,-1.5495584973470269,0.25483118096341656
log_unique_step_count_win__median,行为,0.3223140495867769,0.12804878048780488
log_unique_step_count_win__slope,行为,-0.1309396753806471,0.011455132933310337
