feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.7395747270830318,0.20549662703854274
eeg_frontal_delta_power_z_within_subject__std,脑电,0.20048793103131501,0.22863283097766016
eeg_frontal_delta_power_z_within_subject__median,脑电,0.2109603725709116,0.3008759536440764
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.3928958732866822,0.00990584915337184
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8857415540370224,0.2020773859592593
eeg_frontal_theta_power_z_within_subject__std,脑电,0.2605501668517394,0.19997618490183416
eeg_frontal_theta_power_z_within_subject__median,脑电,0.6739761028164577,0.3243676880055926
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.016490843033964753,0.009372397168725094
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8307085086375243,0.26393635204734334
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.0779065266539054,0.1923761862067105
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.48450045444847456,0.4351049505176087
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.6056473258769817,0.009628743552685032
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.7841772041715366,0.24139775778335246
eeg_frontal_beta_power_z_within_subject__std,脑电,0.09211327147826154,0.20203398984312332
eeg_frontal_beta_power_z_within_subject__median,脑电,0.44364496728492697,0.403881286611819
eeg_frontal_beta_power_z_within_subject__slope,脑电,0.30523786404642916,0.009543517884886712
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6988564681178363,0.25395976776961077
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.14008690149399505,0.20741459016764952
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.140387593272136,0.4407549634282402
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.4632953728515913,0.009577640116255089
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.6568345400452653,0.3123284413812252
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.13848461722655092,0.21134487349914383
eeg_frontal_theta_alpha_z_within_subject__median,脑电,-0.23344482316524506,0.5876696580248827
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.634103261713203,0.012739530662014343
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.7063773606952872,0.2932808198636838
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.1494208220281973,0.19599555539753533
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.051868490420774016,0.5202909581868133
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,0.35104410812488196,0.010983136763145376
eeg_central_delta_power_z_within_subject__mean,脑电,0.8184956298327075,0.2131925486519232
eeg_central_delta_power_z_within_subject__std,脑电,0.332687531889753,0.21123623361552366
eeg_central_delta_power_z_within_subject__median,脑电,0.3781896578383602,0.3315447430100075
eeg_central_delta_power_z_within_subject__slope,脑电,0.694262479042792,0.009040981992949077
eeg_central_theta_power_z_within_subject__mean,脑电,0.7428534244017806,0.25668555859228676
eeg_central_theta_power_z_within_subject__std,脑电,-0.20770049325390527,0.222136640832781
eeg_central_theta_power_z_within_subject__median,脑电,0.1741225341703223,0.44913046081858976
eeg_central_theta_power_z_within_subject__slope,脑电,-0.31003132956681645,0.009890932390483503
eeg_central_alpha_power_z_within_subject__mean,脑电,0.31843027411293756,0.32081842030043994
eeg_central_alpha_power_z_within_subject__std,脑电,0.031081321195567835,0.23158803672835743
eeg_central_alpha_power_z_within_subject__median,脑电,-1.8243234564721509,0.5600694068791094
eeg_central_alpha_power_z_within_subject__slope,脑电,-2.0303873078546455,0.010836242118608301
eeg_central_beta_power_z_within_subject__mean,脑电,0.5499286881884491,0.23349720899440646
eeg_central_beta_power_z_within_subject__std,脑电,0.34116337539902153,0.20454194486468177
eeg_central_beta_power_z_within_subject__median,脑电,-0.6351545114667394,0.3970268389778701
eeg_central_beta_power_z_within_subject__slope,脑电,0.43030877779625776,0.007858747182475301
eeg_central_gamma_power_z_within_subject__mean,脑电,0.4857101322076436,0.22048950984534635
eeg_central_gamma_power_z_within_subject__std,脑电,0.38400216586477987,0.20866343407418853
eeg_central_gamma_power_z_within_subject__median,脑电,-1.1424440902632607,0.3655259185480293
eeg_central_gamma_power_z_within_subject__slope,脑电,0.7347328624802248,0.007051923044387657
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.12862035049635,0.38011946736764746
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5049997863444555,0.2645287257346114
eeg_central_theta_alpha_z_within_subject__median,脑电,-2.412105200152282,0.6759257458295882
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.8204392377346947,0.013997518044837433
