feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8554647483550242,0.2136054888280461
eeg_frontal_delta_power_z_within_subject__std,脑电,0.3648594832291404,0.269636733456275
eeg_frontal_delta_power_z_within_subject__median,脑电,0.7521688688854073,0.22376640661859126
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.5697746173301345,0.013154476114335595
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8681268104672084,0.23270590475342795
eeg_frontal_theta_power_z_within_subject__std,脑电,0.3408294187313453,0.22454004345254777
eeg_frontal_theta_power_z_within_subject__median,脑电,0.8268097195196007,0.2422140711070805
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.08488476344292484,0.013144323022242525
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.833529809200252,0.2573662992114578
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.1097848304712552,0.19037850810774615
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.7545158155230385,0.30459718748983844
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-1.849086037216428,0.012892077116451274
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.721626751449103,0.29663067133554266
eeg_frontal_beta_power_z_within_subject__std,脑电,0.13417943796019294,0.20828263948510278
eeg_frontal_beta_power_z_within_subject__median,脑电,0.5229869407588603,0.3640223576300346
eeg_frontal_beta_power_z_within_subject__slope,脑电,0.12780570343988873,0.0146008804933903
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.7101081521515725,0.26845043152731835
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.17034657619358728,0.2266791472370257
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.5888923692175382,0.2961462866504049
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.195089817057558,0.013745818633105138
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.8735119112284423,0.20439547613502293
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.34956504470736327,0.18482980521522469
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.7732649923131729,0.23779299781097307
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.12995717007366925,0.010733477119030707
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.7636624638774511,0.289327289579711
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.4503316724415216,0.1542525050040918
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.6354949237832106,0.33831846092917445
