feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8143713729316593,0.24648327452469712
eeg_frontal_delta_power_z_within_subject__std,脑电,0.27454069144042315,0.31135475408951807
eeg_frontal_delta_power_z_within_subject__median,脑电,0.7377043732586859,0.2572609519775248
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.5759375632535895,0.01378037058816907
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8554299769862317,0.2581048488105108
eeg_frontal_theta_power_z_within_subject__std,脑电,0.349866322095034,0.21663410352010745
eeg_frontal_theta_power_z_within_subject__median,脑电,0.8148846561784037,0.24595295921785573
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.12333760789122539,0.013297758072278204
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.75946300419511,0.31689282373617833
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.022214089479373422,0.2096127699801427
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.6541083385191087,0.3528867460852348
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-4.157343358527694,0.015223407727099085
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.38523590600802526,0.3872562418736721
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.21806817902911035,0.24123230765415024
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.06399801882634071,0.48357492532867963
eeg_frontal_beta_power_z_within_subject__slope,脑电,-5.6752073128092615,0.023053890328851506
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.15742838971816353,0.40951586945251667
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.3384709572123634,0.30071474110449203
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.4709019042369207,0.49437738255646174
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-5.728077207762457,0.02544468508247038
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.8018626269405893,0.26062951200003504
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.16490037085823384,0.2368615011906825
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.6554941991935134,0.29189158995441594
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.7076483669682958,0.013287717412582742
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.3980007744708859,0.40337237933511144
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.1474961099372577,0.18930241920890264
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.1477324120821163,0.4394179284742756
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-4.228161772631067,0.022644558282078307
eeg_central_delta_power_z_within_subject__mean,脑电,0.8110501685441011,0.2209592545891862
eeg_central_delta_power_z_within_subject__std,脑电,0.3431483971870728,0.2804741922496301
eeg_central_delta_power_z_within_subject__median,脑电,0.7207325728421914,0.2390227391155378
eeg_central_delta_power_z_within_subject__slope,脑电,0.3420577291512805,0.012560234501663003
eeg_central_theta_power_z_within_subject__mean,脑电,0.7309658042900005,0.27944000258267043
eeg_central_theta_power_z_within_subject__std,脑电,0.0334602118040197,0.24097949533261898
eeg_central_theta_power_z_within_subject__median,脑电,0.5763528709159302,0.3164225793793291
eeg_central_theta_power_z_within_subject__slope,脑电,-0.7142630819298224,0.013311114783627318
eeg_central_alpha_power_z_within_subject__mean,脑电,0.5656430311820086,0.2606522818180408
eeg_central_alpha_power_z_within_subject__std,脑电,0.22946034606622567,0.21274514260365007
eeg_central_alpha_power_z_within_subject__median,脑电,0.10909454303732247,0.3294557530719215
eeg_central_alpha_power_z_within_subject__slope,脑电,-3.128073494699816,0.012116025165370144
eeg_central_beta_power_z_within_subject__mean,脑电,0.320624618023289,0.2814024364195034
eeg_central_beta_power_z_within_subject__std,脑电,0.12681091614969253,0.24673458463857817
eeg_central_beta_power_z_within_subject__median,脑电,-0.3008298341937774,0.3635697168257368
eeg_central_beta_power_z_within_subject__slope,脑电,-8.140758009533515,0.017406631923095824
eeg_central_gamma_power_z_within_subject__mean,脑电,0.2848698493957451,0.2695290945913051
eeg_central_gamma_power_z_within_subject__std,脑电,0.24462915266916152,0.270541678542802
eeg_central_gamma_power_z_within_subject__median,脑电,-0.5884210215172962,0.34441740415220296
eeg_central_gamma_power_z_within_subject__slope,脑电,-5.327730227813174,0.017348568062920986
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.5513718389683719,0.27259795074180326
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.4085581157810747,0.2578978804097472
eeg_central_theta_alpha_z_within_subject__median,脑电,0.4531160049941586,0.2787667771489785
eeg_central_theta_alpha_z_within_subject__slope,脑电,-1.0683142738956377,0.01419284700055216
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.15000109876283485,0.3300152844645598
eeg_central_beta_alpha_z_within_subject__std,脑电,0.14787946216154446,0.21095662637777532
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.824736873709873,0.436951956536893
