feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8270186575396338,0.23155815364970625
eeg_frontal_delta_power_z_within_subject__std,脑电,0.27314141817395554,0.2975962930248134
eeg_frontal_delta_power_z_within_subject__median,脑电,0.69857727570264,0.2561555324075561
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.5371209201534617,0.01223128816176659
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8884563462128746,0.22222865393785735
eeg_frontal_theta_power_z_within_subject__std,脑电,0.4263303505251037,0.2187269230123604
eeg_frontal_theta_power_z_within_subject__median,脑电,0.7996254814121222,0.2404745453222127
eeg_frontal_theta_power_z_within_subject__slope,脑电,0.28112769645780467,0.011556729058136421
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8257014050724598,0.24765021629506725
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.2031974834180501,0.18597186110658623
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.62309002235387,0.3111740478356083
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-9.54578324892044,0.014638865517787104
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.5631278070596144,0.3105605257463126
eeg_frontal_beta_power_z_within_subject__std,脑电,0.1686780125563303,0.20864537964934496
eeg_frontal_beta_power_z_within_subject__median,脑电,0.04165415659870819,0.4606168733110155
eeg_frontal_beta_power_z_within_subject__slope,脑电,-4.765822344895545,0.017381920109984135
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.4073744127603669,0.3167251151386687
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.11253533326882526,0.24399773579868067
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.24451936065680613,0.42891397134476006
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-5.080211197746141,0.019648367551489576
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7910601585609773,0.26608186258412503
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.1854088898369851,0.2232343101239386
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.5147208026552492,0.31530925078505917
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.1922676218589494,0.013012128014714465
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.658799872125565,0.3111339288099424
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.4431832146512886,0.15403641644737098
