feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-0.06542207162973224,0.5934134554014702
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.036467781634355045,0.40498311990500757
eeg_frontal_delta_power_z_within_subject__median,脑电,-0.06396441880953363,0.5730673657345522
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.007954183398660275,0.011743180925426068
eeg_frontal_theta_power_z_within_subject__mean,脑电,-0.04334429517730043,0.7079465047877824
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.019247158277645893,0.3202376626283232
eeg_frontal_theta_power_z_within_subject__median,脑电,-0.04920227966029378,0.6870997870193213
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.05556816617967253,0.011101787858207495
eeg_frontal_alpha_power_z_within_subject__mean,脑电,-0.03407283700062158,0.6809185922870594
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.0650701167603307,0.22795588182914983
eeg_frontal_alpha_power_z_within_subject__median,脑电,-0.03466017236051777,0.6840578359495693
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.03923931589473528,0.007479655483317969
eeg_frontal_beta_power_z_within_subject__mean,脑电,-0.046470018809583014,0.5737996732821041
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.05104507954964377,0.2592434515681285
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.053019452311642956,0.5893196380319526
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.07567303860408403,0.012388228618052216
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-0.030418695299974763,0.5129027820669316
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.016757121860646595,0.2990311777074675
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.036780335192758695,0.5171981086702606
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.025317613355394064,0.01234971849540608
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,-0.015558042501591318,0.5272884102205738
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.02314928784774417,0.25892451322151655
eeg_frontal_theta_alpha_z_within_subject__median,脑电,-0.01782079969769268,0.5076926484146783
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.02149857996079585,0.009097469526129415
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,-0.016313325975626514,0.5664491474440817
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.053377749466861024,0.23297054211135843
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.01857686142113435,0.5771454245331306
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.061266332317422956,0.013398553978485769
eeg_central_delta_power_z_within_subject__mean,脑电,-0.03212912268971024,0.5112431167583383
eeg_central_delta_power_z_within_subject__std,脑电,-0.006819088514930183,0.39498512474465897
eeg_central_delta_power_z_within_subject__median,脑电,-0.03784681371932752,0.4733498010053162
eeg_central_delta_power_z_within_subject__slope,脑电,-0.02537177021774717,0.012345964045156055
eeg_central_theta_power_z_within_subject__mean,脑电,-0.009338394711906783,0.4892150985923028
eeg_central_theta_power_z_within_subject__std,脑电,-0.00597021284225252,0.2569629960442252
eeg_central_theta_power_z_within_subject__median,脑电,-0.009592434166304065,0.4998792034275361
eeg_central_theta_power_z_within_subject__slope,脑电,-0.3178317351573585,0.013176857184913102
