feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.06567308412311668,0.47800609310435554
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.02998728924024352,0.40517533074328915
eeg_frontal_delta_power_z_within_subject__median,脑电,0.0899326699410734,0.45493789777843957
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.014994810699215266,0.011279054525743976
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.2522467692056497,0.5712116337488626
eeg_frontal_theta_power_z_within_subject__std,脑电,0.013735784528295603,0.30760539923424135
eeg_frontal_theta_power_z_within_subject__median,脑电,0.24052591553921188,0.5490658246819403
eeg_frontal_theta_power_z_within_subject__slope,脑电,0.04497734407405907,0.00933155350494005
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.21454134405529535,0.575234853212127
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.03782600516909729,0.23743287127098892
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.21083057072725253,0.5750890337650683
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.1390519882925525,0.008078221478749755
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.14714294194390198,0.5252102255151131
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.10142392964500502,0.25270505263371945
eeg_frontal_beta_power_z_within_subject__median,脑电,0.1483085973552244,0.525255870960573
eeg_frontal_beta_power_z_within_subject__slope,脑电,0.024603315947174464,0.011440965018697546
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.14925228577837246,0.47234109396124885
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.0026633195038683333,0.2913074724606663
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.1586938894916583,0.4661445808034269
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.02408356606396178,0.011739964840319824
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.15879306404218585,0.4780460696560358
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.17420008616188976,0.2787209559521194
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.1727131802729046,0.4573248020782877
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,0.05755223633618145,0.00855994079047628
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.16002949989160187,0.5078539513833655
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.09312214089449466,0.22019312185152753
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.11631905372178197,0.520759043970438
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,0.007350274132514656,0.011835898385330917
eeg_central_delta_power_z_within_subject__mean,脑电,-0.052636819119263434,0.48094212754642973
eeg_central_delta_power_z_within_subject__std,脑电,-0.028618781412151684,0.3890523687408485
eeg_central_delta_power_z_within_subject__median,脑电,0.002811651855549213,0.4234740788864096
eeg_central_delta_power_z_within_subject__slope,脑电,-0.06874216806848366,0.01195907949133166
eeg_central_theta_power_z_within_subject__mean,脑电,0.1604614770130176,0.44933439502386313
eeg_central_theta_power_z_within_subject__std,脑电,-0.12145666895268636,0.2910280989156171
eeg_central_theta_power_z_within_subject__median,脑电,0.21364007283762265,0.4264277693455595
eeg_central_theta_power_z_within_subject__slope,脑电,-0.16165578302675598,0.010318892625125982
eeg_central_alpha_power_z_within_subject__mean,脑电,0.05673724239040501,0.392634553661031
eeg_central_alpha_power_z_within_subject__std,脑电,0.04429886981734443,0.24973424070811875
eeg_central_alpha_power_z_within_subject__median,脑电,0.019891657883972624,0.38152911249073146
eeg_central_alpha_power_z_within_subject__slope,脑电,0.013137152397436735,0.007397561417251399
eeg_central_beta_power_z_within_subject__mean,脑电,0.20638466056842397,0.3441827054805051
eeg_central_beta_power_z_within_subject__std,脑电,0.016988115148481864,0.2892618484900763
eeg_central_beta_power_z_within_subject__median,脑电,0.26407863467140424,0.3226645958780734
eeg_central_beta_power_z_within_subject__slope,脑电,0.10424480751305043,0.010082497075438927
eeg_central_gamma_power_z_within_subject__mean,脑电,0.16753797504790013,0.3382859234149245
eeg_central_gamma_power_z_within_subject__std,脑电,0.0670587844179561,0.33445318422891607
eeg_central_gamma_power_z_within_subject__median,脑电,0.2184237778261866,0.29357592152072004
eeg_central_gamma_power_z_within_subject__slope,脑电,0.11290914960292353,0.009946229339586875
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.24563238944010102,0.3574971841919708
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.10573008902458803,0.22968564901259494
eeg_central_theta_alpha_z_within_subject__median,脑电,0.24612010120960315,0.3328080919882264
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.116232218214813,0.011535445677327559
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.1348021653486825,0.35773236867483177
eeg_central_beta_alpha_z_within_subject__std,脑电,0.04490341172736556,0.2342640453560619
eeg_central_beta_alpha_z_within_subject__median,脑电,0.1041734194522963,0.35975256240118775
eeg_central_beta_alpha_z_within_subject__slope,脑电,0.1107334093966229,0.010303140779030408
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.14357622396554315,0.5084101888847562
eeg_parietal_delta_power_z_within_subject__std,脑电,0.008896549313427204,0.37096589839393646
eeg_parietal_delta_power_z_within_subject__median,脑电,0.15881664649585314,0.49655040022222935
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.10242761923688426,0.008183571371564871
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.22928418365133285,0.5126469587710119
eeg_parietal_theta_power_z_within_subject__std,脑电,-0.04593895334387432,0.3161966458033496
eeg_parietal_theta_power_z_within_subject__median,脑电,0.2387471562101906,0.4985503852543064
eeg_parietal_theta_power_z_within_subject__slope,脑电,-0.1040187087054425,0.007552714155961781
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.13577432329591732,0.4526413084345156
eeg_parietal_alpha_power_z_within_subject__std,脑电,0.05564243047932804,0.256285402855998
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.122121655532626,0.46563923532037865
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-0.1760891046543509,0.007688052773255753
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.10315958404178982,0.4325896927338937
eeg_parietal_beta_power_z_within_subject__std,脑电,0.09798608399319653,0.2443583171254394
eeg_parietal_beta_power_z_within_subject__median,脑电,0.14543830359816612,0.4104081653333552
eeg_parietal_beta_power_z_within_subject__slope,脑电,0.05088935747705137,0.010252376907748257
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.15735370378597913,0.3744387605323158
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.13301981182052813,0.26210083094447495
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.16078916691451706,0.3601930983230498
eeg_parietal_gamma_power_z_within_subject__slope,脑电,0.10012507855669606,0.01161594813538325
