feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.5125561127553375,0.37370140530204915
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.10206298101623745,0.4159173354818956
eeg_frontal_delta_power_z_within_subject__median,脑电,0.5610345777426431,0.3552876696628573
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.08856709502691329,0.020044632814916523
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.6015965754675183,0.4180470245783888
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.03402329773911905,0.3239613014901159
eeg_frontal_theta_power_z_within_subject__median,脑电,0.6313783448387035,0.3882891440882655
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.6212185584360745,0.01953196945366286
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.4595348128437027,0.4912563244132373
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.03204544192173553,0.22849220263839737
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.4823896084752326,0.4850571390836172
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.1498129261216914,0.008563861001279307
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.2580319512751432,0.4841539503786525
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.061900564127879365,0.2509320851021451
eeg_frontal_beta_power_z_within_subject__median,脑电,0.21969956099775123,0.5043717180894073
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.24989836917329766,0.017664391209193348
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.23234284000867422,0.43980640176810515
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.07718051607608589,0.2913754724390144
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.22107234231386141,0.44020192200944835
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.12366339097331158,0.01705604664778145
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.6159464675050073,0.3530372682881428
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.043665152875612456,0.26660993643851216
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.6569763564394235,0.32137157866948535
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.042300965675072,0.016900289236933014
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.3752021403763901,0.45475289379877604
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.123666611928408,0.21397688767967538
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.34892773439952396,0.476417620713948
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.15076884698434911,0.01611413305676192
eeg_central_delta_power_z_within_subject__mean,脑电,0.29178581757518596,0.41979031812816586
eeg_central_delta_power_z_within_subject__std,脑电,-0.005694326859894128,0.3886484070843848
eeg_central_delta_power_z_within_subject__median,脑电,0.4120591492169189,0.36824380986220223
eeg_central_delta_power_z_within_subject__slope,脑电,-0.1824433865137538,0.02027872249096041
eeg_central_theta_power_z_within_subject__mean,脑电,0.4088256890960926,0.389767196070937
eeg_central_theta_power_z_within_subject__std,脑电,0.04287069922823439,0.25103689817699926
eeg_central_theta_power_z_within_subject__median,脑电,0.4094248852894772,0.37156149882318334
eeg_central_theta_power_z_within_subject__slope,脑电,-2.047621906052192,0.01913757551869897
eeg_central_alpha_power_z_within_subject__mean,脑电,-0.02662758664126108,0.3763575898283195
eeg_central_alpha_power_z_within_subject__std,脑电,0.1868135161275637,0.22196069290942821
eeg_central_alpha_power_z_within_subject__median,脑电,-0.0725682078630634,0.37854762487657767
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.6872516095630334,0.009772856922478163
eeg_central_beta_power_z_within_subject__mean,脑电,0.06295685683773011,0.35546046375495316
eeg_central_beta_power_z_within_subject__std,脑电,0.1526101114496421,0.2692577020679247
eeg_central_beta_power_z_within_subject__median,脑电,0.029394361866405982,0.3649032883048965
eeg_central_beta_power_z_within_subject__slope,脑电,-0.15619963623887667,0.012327987193243678
eeg_central_gamma_power_z_within_subject__mean,脑电,0.10198114631220379,0.33019787533417916
eeg_central_gamma_power_z_within_subject__std,脑电,0.1746712533729613,0.31699199067623923
eeg_central_gamma_power_z_within_subject__median,脑电,0.07126641094182151,0.31769213578712746
eeg_central_gamma_power_z_within_subject__slope,脑电,-0.08680295983816277,0.01375803621093764
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.19800226832303824,0.3643858402195855
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.032549694491802006,0.22105773080466282
eeg_central_theta_alpha_z_within_subject__median,脑电,0.2567927668757317,0.3360402557504474
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.7843483791780479,0.015605270958568682
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.17188072791976128,0.3366846388727057
eeg_central_beta_alpha_z_within_subject__std,脑电,0.24345001096017183,0.2159099244403813
eeg_central_beta_alpha_z_within_subject__median,脑电,0.13484085504479582,0.34940753358820675
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.21408814886033323,0.011641118370883486
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.39895941313373406,0.44446864991154805
eeg_parietal_delta_power_z_within_subject__std,脑电,0.12901587751499877,0.32438861402932956
eeg_parietal_delta_power_z_within_subject__median,脑电,0.43027388674602685,0.4359440944082385
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.5058361183025368,0.013061291910532456
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.4141400288856165,0.44589341584814024
eeg_parietal_theta_power_z_within_subject__std,脑电,0.12143207390089328,0.2792353314324505
eeg_parietal_theta_power_z_within_subject__median,脑电,0.42935536193117796,0.41964835179130927
eeg_parietal_theta_power_z_within_subject__slope,脑电,-0.8536469507155673,0.011282962912772181
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.04405414527332485,0.4624563208870207
eeg_parietal_alpha_power_z_within_subject__std,脑电,0.2150138627607341,0.2294630667677011
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.02172848359908386,0.4787287682121758
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-0.42518653772741977,0.009059108196666209
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.061294426629108,0.42285100020091554
eeg_parietal_beta_power_z_within_subject__std,脑电,0.10058144989431494,0.23844326111269232
eeg_parietal_beta_power_z_within_subject__median,脑电,0.07896633929824504,0.414462108060807
