feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6796025751583784,0.3156667185467182
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.18387010736230125,0.4289462005296319
eeg_frontal_delta_power_z_within_subject__median,脑电,0.6871454495865464,0.3013591646856571
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.27843567324485696,0.027978825954212746
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7773209114762953,0.31333472953113267
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.10761945302033982,0.3135902876483461
eeg_frontal_theta_power_z_within_subject__median,脑电,0.807507471654688,0.2764289744842386
eeg_frontal_theta_power_z_within_subject__slope,脑电,-1.4014976346371721,0.029158461643171756
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.6523172151632153,0.3738766115896316
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.5452687244288734,0.2694499503395578
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.6860899767743354,0.3501799814397258
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.548316294523139,0.010625847206380152
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.2610113648925114,0.43201035400011434
eeg_frontal_beta_power_z_within_subject__std,脑电,-1.3762610579050323,0.3269630619916773
eeg_frontal_beta_power_z_within_subject__median,脑电,0.3048947388355755,0.4338653081357249
eeg_frontal_beta_power_z_within_subject__slope,脑电,-1.6391047725202168,0.03049337107331687
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.08516363641984581,0.4457709421025362
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.6505209330032065,0.3360832842775643
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.029596104046114347,0.4853651971157154
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-1.3647091244953273,0.029058565462427074
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.6935139523554863,0.3127298843587084
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.528229944104869,0.3317099133069724
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.6993896513364437,0.30815743145641195
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.4324249127454154,0.021317121692677184
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.3889506977464834,0.42566697226467276
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.1507564032988662,0.24042480659658957
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.4178856785280396,0.4332777102391174
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-1.6562813351593118,0.029353754001716165
eeg_central_delta_power_z_within_subject__mean,脑电,0.6730136663922128,0.28903982284147123
eeg_central_delta_power_z_within_subject__std,脑电,-0.32462803001590235,0.4489875280031592
eeg_central_delta_power_z_within_subject__median,脑电,0.6111963467001159,0.30231482412578053
eeg_central_delta_power_z_within_subject__slope,脑电,-0.815511288975652,0.025343242325104487
eeg_central_theta_power_z_within_subject__mean,脑电,0.5525166903370278,0.34788500606540246
eeg_central_theta_power_z_within_subject__std,脑电,-0.85883427981491,0.3661044886742784
eeg_central_theta_power_z_within_subject__median,脑电,0.5317935786000032,0.3628210056902236
eeg_central_theta_power_z_within_subject__slope,脑电,-5.712693445631323,0.029210442909965165
eeg_central_alpha_power_z_within_subject__mean,脑电,0.29435351942521826,0.33837462967617593
eeg_central_alpha_power_z_within_subject__std,脑电,-0.07815550896852663,0.2468413605531332
eeg_central_alpha_power_z_within_subject__median,脑电,0.09241109362270594,0.3572519351511394
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.3298530147556988,0.011709008458868658
eeg_central_beta_power_z_within_subject__mean,脑电,0.07979158146705934,0.32389734686337995
eeg_central_beta_power_z_within_subject__std,脑电,0.24107856087865598,0.2448882421171005
eeg_central_beta_power_z_within_subject__median,脑电,0.0677512579843712,0.33850106278088377
eeg_central_beta_power_z_within_subject__slope,脑电,-1.0564131236996452,0.01714752815478344
eeg_central_gamma_power_z_within_subject__mean,脑电,0.11705247096121729,0.30343424140198705
eeg_central_gamma_power_z_within_subject__std,脑电,0.20774733216298658,0.2969128836219581
eeg_central_gamma_power_z_within_subject__median,脑电,0.1500396929611746,0.2950956860298974
eeg_central_gamma_power_z_within_subject__slope,脑电,-0.9830932364313538,0.018524184288255863
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.4665538590661594,0.3039905763463749
eeg_central_theta_alpha_z_within_subject__std,脑电,-1.5835116468309205,0.36858662456887253
eeg_central_theta_alpha_z_within_subject__median,脑电,0.48554307104108196,0.2798882777580324
eeg_central_theta_alpha_z_within_subject__slope,脑电,-2.567770328613948,0.023022776706159716
eeg_central_beta_alpha_z_within_subject__mean,脑电,-0.02243126939676543,0.36355131362884513
eeg_central_beta_alpha_z_within_subject__std,脑电,0.07716395466511772,0.24190000999639608
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.21765564927082237,0.41632029494228384
eeg_central_beta_alpha_z_within_subject__slope,脑电,-2.073460211561635,0.01939475887969662
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.6869352452971055,0.3111015762407679
eeg_parietal_delta_power_z_within_subject__std,脑电,-0.3775656690925624,0.3537998709159099
eeg_parietal_delta_power_z_within_subject__median,脑电,0.7147773338670067,0.3086918745644907
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.5925260479268721,0.017495793467007827
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.668079985021669,0.36827232684239414
eeg_parietal_theta_power_z_within_subject__std,脑电,-0.19553344627758396,0.296488702988103
eeg_parietal_theta_power_z_within_subject__median,脑电,0.6738463455673634,0.3510783195520159
eeg_parietal_theta_power_z_within_subject__slope,脑电,-2.5037830382005786,0.015896113029736696
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.4951861542386313,0.35108598050567896
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.5988543109551885,0.31128032016263746
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.40526578004956915,0.382276711032583
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-0.8055441938184247,0.010132098617335532
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.3351965972865951,0.35755149514917467
eeg_parietal_beta_power_z_within_subject__std,脑电,0.037019012147865626,0.24239421055836877
eeg_parietal_beta_power_z_within_subject__median,脑电,0.27234758712709284,0.3733631652960411
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.839259705052952,0.01728488073101507
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.22533463316799252,0.3500555155911319
eeg_parietal_gamma_power_z_within_subject__std,脑电,-0.09994635162270593,0.2826833409318372
eeg_parietal_gamma_power_z_within_subject__median,脑电,-0.005769622376366357,0.4011792174767166
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.49360198934286226,0.01854260827336707
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.6437321482823297,0.2894234568572912
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-1.0332042523582223,0.3133609624559623
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.6690977154659961,0.2872569449321697
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.3880907749964566,0.015386416230886164
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.1846539347876669,0.33114430396326444
eeg_parietal_beta_alpha_z_within_subject__std,脑电,-0.6762971350187128,0.28596556600349143
eeg_parietal_beta_alpha_z_within_subject__median,脑电,0.05410945144475543,0.3784888490930579
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,-0.9027911849308978,0.0192167668925105
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.44373888896635316,0.34547516130198025
eeg_occipital_delta_power_z_within_subject__std,脑电,-0.7949788995121576,0.4189613496600022
eeg_occipital_delta_power_z_within_subject__median,脑电,0.42289205285082565,0.3411010751440374
eeg_occipital_delta_power_z_within_subject__slope,脑电,-0.4731762777305426,0.021174170905702474
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.3071873462279132,0.35578627630677007
eeg_occipital_theta_power_z_within_subject__std,脑电,-0.8968200277304121,0.289351785335654
eeg_occipital_theta_power_z_within_subject__median,脑电,0.462206062648544,0.3017079695167303
eeg_occipital_theta_power_z_within_subject__slope,脑电,-3.7249791207368945,0.027012614498407625
eeg_occipital_alpha_power_z_within_subject__mean,脑电,0.4346488505930649,0.40698738314903565
eeg_occipital_alpha_power_z_within_subject__std,脑电,-1.1231879962834963,0.2964883813336228
eeg_occipital_alpha_power_z_within_subject__median,脑电,0.4255918956809611,0.41148334665014896
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-3.565366724461981,0.030754891553135228
eeg_occipital_beta_power_z_within_subject__mean,脑电,0.45951561338072855,0.41090776406297236
eeg_occipital_beta_power_z_within_subject__std,脑电,-0.66561393302743,0.2813166398774915
eeg_occipital_beta_power_z_within_subject__median,脑电,0.35669338095711356,0.4397458773326153
eeg_occipital_beta_power_z_within_subject__slope,脑电,-1.9494861228623175,0.029445067533693883
eeg_occipital_gamma_power_z_within_subject__mean,脑电,0.31442533499109826,0.4582654976053315
eeg_occipital_gamma_power_z_within_subject__std,脑电,-1.1472196413392877,0.3236494895964143
eeg_occipital_gamma_power_z_within_subject__median,脑电,0.2082036477581467,0.49808513696697615
eeg_occipital_gamma_power_z_within_subject__slope,脑电,-1.8186805119663485,0.02852514535288488
eeg_occipital_theta_alpha_z_within_subject__mean,脑电,0.34485714874848095,0.4109624159072488
eeg_occipital_theta_alpha_z_within_subject__std,脑电,-0.9299995641753198,0.2687810592666366
eeg_occipital_theta_alpha_z_within_subject__median,脑电,0.323778458726541,0.4013165448766606
eeg_occipital_theta_alpha_z_within_subject__slope,脑电,-5.143511821789194,0.025718424036201316
eeg_occipital_beta_alpha_z_within_subject__mean,脑电,-0.3396420158292852,0.38639868264306854
eeg_occipital_beta_alpha_z_within_subject__std,脑电,-0.7191334499507627,0.20042081840090714
eeg_occipital_beta_alpha_z_within_subject__median,脑电,-0.3851551953245991,0.3956903242114167
eeg_occipital_beta_alpha_z_within_subject__slope,脑电,-1.4257083674853606,0.016648950265961058
hr_mean__mean,心率,0.9570680144728995,1.4219382944520698
