feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.824539252945703,0.22147261688447367
eeg_frontal_delta_power_z_within_subject__std,脑电,0.058481604056360825,0.34724371847447655
eeg_frontal_delta_power_z_within_subject__median,脑电,0.8734272959067123,0.17462819787649675
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.13594077047870634,0.018854187742991888
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.9045194959680052,0.1896181029954343
eeg_frontal_theta_power_z_within_subject__std,脑电,0.3733291483716942,0.216007156969776
eeg_frontal_theta_power_z_within_subject__median,脑电,0.9542863002730644,0.1284121105511156
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.8336274923384259,0.017864689695311034
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8127746470369932,0.25886524319841253
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.289821990743952,0.16780970706766243
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.7690050933874162,0.2676339232013085
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-7.57108284046544,0.01910338531830819
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.5591199925198853,0.3188599750936083
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.12078835337254046,0.22009058980639282
eeg_frontal_beta_power_z_within_subject__median,脑电,0.5706936257787713,0.33681932717056884
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.5438460397877394,0.017987596097580185
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.428131737927117,0.30528356618135977
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.47972752944510555,0.2976076581013321
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.48436618687592414,0.29631185657840675
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.6624120959475717,0.019630450786776762
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7637755192477925,0.27844953573807013
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.20671700789587988,0.2189864005173555
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.8113099724997321,0.24760175301109216
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.8524818521770232,0.018493572404734596
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6557680206981571,0.31752639657850856
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.35498354544299804,0.15652173716054538
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.713343455554559,0.3092687160452493
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.6326560554557046,0.01988229098878764
eeg_central_delta_power_z_within_subject__mean,脑电,0.798920649608016,0.2316769830546619
eeg_central_delta_power_z_within_subject__std,脑电,-0.08081552064525854,0.3227320716815576
eeg_central_delta_power_z_within_subject__median,脑电,0.8526417460049183,0.18075926956156466
eeg_central_delta_power_z_within_subject__slope,脑电,-0.4207284057662397,0.02002833065509103
eeg_central_theta_power_z_within_subject__mean,脑电,0.8205612900096194,0.22296773268808115
eeg_central_theta_power_z_within_subject__std,脑电,-0.4120731417469725,0.2929338239721965
eeg_central_theta_power_z_within_subject__median,脑电,0.7924647938005277,0.2194300208651285
eeg_central_theta_power_z_within_subject__slope,脑电,-3.2128532371770975,0.017388807834151563
