feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6883252892168576,0.3221416508320284
eeg_frontal_delta_power_z_within_subject__std,脑电,0.2963060142824159,0.2575812903987935
eeg_frontal_delta_power_z_within_subject__median,脑电,0.08562977822635165,0.5729575925749406
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.4689225581232138,0.014004266511441049
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7097128817640378,0.37386486269591074
eeg_frontal_theta_power_z_within_subject__std,脑电,0.10622298483537518,0.2505287243985991
eeg_frontal_theta_power_z_within_subject__median,脑电,0.18129774319033232,0.6249928770406993
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.5103495412240087,0.015574051366955034
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7188358110851398,0.34543291039175816
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.31433308551034855,0.23549072601126259
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.19067726801784057,0.636845281756232
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-2.1000151905082873,0.013122816373096419
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6558253231503508,0.33579147854547975
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.22101452252181453,0.25593513679981356
eeg_frontal_beta_power_z_within_subject__median,脑电,0.02090403048399525,0.5951583535837757
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.08332056989441883,0.014020746781713308
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6537638360633753,0.2915572340326919
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.1139386946899339,0.26368844430604255
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.019345063401672524,0.534426392462297
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.11821794387487006,0.01306998012358624
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7297269924506938,0.2768091793994318
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.08680484274224853,0.2566337993236133
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.1853883901299127,0.4729437579635289
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.4295982853431559,0.011031558767385931
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6684871186816597,0.33391611980532443
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.25015245963488786,0.24551329296269234
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.14471921398503074,0.5402349215116561
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.12501255830054792,0.014320385303345817
eeg_central_delta_power_z_within_subject__mean,脑电,0.7171018526783702,0.26893485964986685
eeg_central_delta_power_z_within_subject__std,脑电,0.34819804572497526,0.2461974257473732
eeg_central_delta_power_z_within_subject__median,脑电,0.16619071733205015,0.47450351422141285
eeg_central_delta_power_z_within_subject__slope,脑电,0.4767417831390549,0.011668047137407071
eeg_central_theta_power_z_within_subject__mean,脑电,0.6813034607431104,0.28736295409088514
eeg_central_theta_power_z_within_subject__std,脑电,-0.1814816771362966,0.25243043267845466
eeg_central_theta_power_z_within_subject__median,脑电,0.14789707639301108,0.47467742791981604
eeg_central_theta_power_z_within_subject__slope,脑电,-1.1782203439998957,0.012059465764571266
eeg_central_alpha_power_z_within_subject__mean,脑电,0.7024952232618532,0.21806020650403957
eeg_central_alpha_power_z_within_subject__std,脑电,-0.0761219357806393,0.24274179357869985
eeg_central_alpha_power_z_within_subject__median,脑电,0.12378209008116592,0.38309578664859356
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.33725716020018,0.007917217819594136
eeg_central_beta_power_z_within_subject__mean,脑电,0.6812071580922727,0.21947227371270428
eeg_central_beta_power_z_within_subject__std,脑电,0.2623336192153797,0.22545897345846364
eeg_central_beta_power_z_within_subject__median,脑电,0.003954132127378163,0.3728237703464036
eeg_central_beta_power_z_within_subject__slope,脑电,-0.16986599426192583,0.008585347733218951
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6916573915294537,0.20082045394450182
eeg_central_gamma_power_z_within_subject__std,脑电,0.31128181928512044,0.23853511825601328
eeg_central_gamma_power_z_within_subject__median,脑电,-0.009499049901838141,0.34217023696999316
eeg_central_gamma_power_z_within_subject__slope,脑电,0.31819601689997024,0.008272829953037793
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6218318303035384,0.24899346523597288
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5112925694673771,0.2738797140582453
eeg_central_theta_alpha_z_within_subject__median,脑电,0.01323547166805139,0.39072217831990375
eeg_central_theta_alpha_z_within_subject__slope,脑电,0.04117418760944902,0.00950273859871862
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6436741294650143,0.22818232956001355
eeg_central_beta_alpha_z_within_subject__std,脑电,0.10928723181358069,0.23716804551145132
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.019494954687840016,0.3839240783900728
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.1627196819747907,0.009543990204476287
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.7271795839710818,0.3043886843286156
eeg_parietal_delta_power_z_within_subject__std,脑电,0.16916869854181382,0.26750970940883606
eeg_parietal_delta_power_z_within_subject__median,脑电,0.16049434527449435,0.5476171640916265
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.17097714695706556,0.013223023715016803
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7269163106607691,0.32088201675568956
eeg_parietal_theta_power_z_within_subject__std,脑电,0.20952969556070122,0.2423252317535555
eeg_parietal_theta_power_z_within_subject__median,脑电,0.20346754267669664,0.5517797098648126
eeg_parietal_theta_power_z_within_subject__slope,脑电,-4.367236155896642,0.01397752154684956
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6936078035420916,0.2758719502769462
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.09119801280668782,0.2540048771334075
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.0985687048627445,0.48383550249775453
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-3.030875173429502,0.010579628811747607
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.6524844872947121,0.26039381541087075
eeg_parietal_beta_power_z_within_subject__std,脑电,0.10061648318046124,0.23785987174276868
eeg_parietal_beta_power_z_within_subject__median,脑电,0.12744169656128446,0.4391098744001149
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.4067244873519571,0.011293153308312433
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.6248290964943997,0.23645704356982286
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.13377183678048954,0.24003164274279584
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.11254713488652957,0.4120976041075434
eeg_parietal_gamma_power_z_within_subject__slope,脑电,0.0095967453332656,0.010654504390157553
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.6888927168254585,0.27916697456920625
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-0.4554259428467826,0.26491650832866576
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.17938965161635945,0.45590849010813644
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.23882589328678083,0.011822014031331532
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.6432501822483849,0.2175646044219303
eeg_parietal_beta_alpha_z_within_subject__std,脑电,-0.01899294415148889,0.23046142801649083
eeg_parietal_beta_alpha_z_within_subject__median,脑电,0.07026375762138626,0.36499272372120195
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,0.45642007705121757,0.008628214955970305
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.6871763769024753,0.25946771405591856
eeg_occipital_delta_power_z_within_subject__std,脑电,0.002822571057165213,0.28770281340472253
eeg_occipital_delta_power_z_within_subject__median,脑电,0.025301108410809903,0.486922388688201
eeg_occipital_delta_power_z_within_subject__slope,脑电,0.26842699179468965,0.01103131960667675
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.6520847811150461,0.2694324277925879
eeg_occipital_theta_power_z_within_subject__std,脑电,-0.5115381259522946,0.26476395753688803
eeg_occipital_theta_power_z_within_subject__median,脑电,0.058661746808430726,0.4196836137740272
eeg_occipital_theta_power_z_within_subject__slope,脑电,-0.05240016972059802,0.010660717687893104
eeg_occipital_alpha_power_z_within_subject__mean,脑电,0.6859281953476708,0.31512623777147614
eeg_occipital_alpha_power_z_within_subject__std,脑电,-0.6404435968338149,0.26963329173145967
eeg_occipital_alpha_power_z_within_subject__median,脑电,0.029332940554854692,0.5394727174662223
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-0.002929712176905186,0.011731683628080185
eeg_occipital_beta_power_z_within_subject__mean,脑电,0.6721024144599475,0.3295484914575693
eeg_occipital_beta_power_z_within_subject__std,脑电,-0.41727448560761293,0.2817700775306262
eeg_occipital_beta_power_z_within_subject__median,脑电,0.10008495065964562,0.5430003329275933
