feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6935318357565503,0.304512113789109
eeg_frontal_delta_power_z_within_subject__std,脑电,0.2595557138954345,0.2581533117083106
eeg_frontal_delta_power_z_within_subject__median,脑电,0.1325490474581158,0.5446890724528709
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.43323426094794304,0.013923287259737788
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7117196314055274,0.3628115042087229
eeg_frontal_theta_power_z_within_subject__std,脑电,0.11223389725566668,0.24119928630480073
eeg_frontal_theta_power_z_within_subject__median,脑电,0.19237811972090635,0.6146758730052323
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.5419758429872716,0.01563513262747537
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7273812659500737,0.33848357008079344
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.3160228311445794,0.23337738552817167
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.2080161185938859,0.6179977314172659
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-2.0275967448278163,0.012970602946508255
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6567427150520575,0.3302848192231111
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.19872926749360476,0.25451259334098847
eeg_frontal_beta_power_z_within_subject__median,脑电,0.04309246766654684,0.5866031991974313
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.029483150514860723,0.013989233855080715
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6635597899549277,0.2881462157047079
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.10323014919222095,0.260095140450864
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.05217617647592687,0.51936380805845
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.18466060510643234,0.01263439240512969
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7352553591023896,0.27188186016938237
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.0807422508709501,0.2562400315841574
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.22293349190311773,0.45270595481958326
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.40353181539566596,0.01077771106484613
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6623482757503196,0.33785327463975406
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.24269437249561432,0.2460213267843335
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.13345995749916184,0.5458701612918806
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.11874461539829695,0.014359455101166275
eeg_central_delta_power_z_within_subject__mean,脑电,0.7226391822177947,0.25601299318889004
eeg_central_delta_power_z_within_subject__std,脑电,0.3367011077368749,0.24570192018740786
eeg_central_delta_power_z_within_subject__median,脑电,0.19550184342553234,0.44473373074368017
eeg_central_delta_power_z_within_subject__slope,脑电,0.4979240038391355,0.011452323343022883
eeg_central_theta_power_z_within_subject__mean,脑电,0.704472777706154,0.27506707311222156
eeg_central_theta_power_z_within_subject__std,脑电,-0.18647031894649513,0.253700534461978
eeg_central_theta_power_z_within_subject__median,脑电,0.21852047674841413,0.4579751434561701
eeg_central_theta_power_z_within_subject__slope,脑电,-0.897868610946402,0.011518712194131376
eeg_central_alpha_power_z_within_subject__mean,脑电,0.7019690978564158,0.21766926156329044
eeg_central_alpha_power_z_within_subject__std,脑电,-0.09587047126046655,0.24734707418258664
eeg_central_alpha_power_z_within_subject__median,脑电,0.1194320655171679,0.38420692658695776
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.2998662477939886,0.007856872906026595
eeg_central_beta_power_z_within_subject__mean,脑电,0.6738000221750062,0.22116199716495627
eeg_central_beta_power_z_within_subject__std,脑电,0.25797194617073993,0.22710830814756455
eeg_central_beta_power_z_within_subject__median,脑电,-0.01823254414366704,0.3768646940357199
eeg_central_beta_power_z_within_subject__slope,脑电,-0.18058549645922128,0.008655950089296822
eeg_central_gamma_power_z_within_subject__mean,脑电,0.68922440546143,0.20254935443815292
eeg_central_gamma_power_z_within_subject__std,脑电,0.30744013196982,0.23932504156543305
eeg_central_gamma_power_z_within_subject__median,脑电,-0.006490138913518573,0.34049107786398614
eeg_central_gamma_power_z_within_subject__slope,脑电,0.326978527410289,0.0082411573042576
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6381172590136225,0.24213514209430873
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5221262248496827,0.2753145506991206
eeg_central_theta_alpha_z_within_subject__median,脑电,0.06211778475403662,0.37583967276331187
eeg_central_theta_alpha_z_within_subject__slope,脑电,0.0629031577245387,0.009444684294239709
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6352284848662793,0.2289106678244358
eeg_central_beta_alpha_z_within_subject__std,脑电,0.11813788042540763,0.2368909049042464
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.024186047317211967,0.3841121420751159
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.1536163831988231,0.00945396283485619
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.7285964786748858,0.29793294820433114
eeg_parietal_delta_power_z_within_subject__std,脑电,0.13813072134612892,0.2682233109755332
eeg_parietal_delta_power_z_within_subject__median,脑电,0.1926520020979755,0.5169089462980255
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.12223726467214924,0.012940846286148203
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7282839707584687,0.32096765057363996
eeg_parietal_theta_power_z_within_subject__std,脑电,0.2181915465711557,0.24205131057843968
eeg_parietal_theta_power_z_within_subject__median,脑电,0.22217951803581404,0.5412823766335769
eeg_parietal_theta_power_z_within_subject__slope,脑电,-4.523635703528428,0.014201784295306753
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6866274351312831,0.27827022383346733
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.09594391206361852,0.2542436279881283
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.072158580651833,0.48701378178339666
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-3.0550369330920013,0.010586422694825697
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.643772309843105,0.2641728295374034
eeg_parietal_beta_power_z_within_subject__std,脑电,0.10912113239648291,0.23570247167904113
eeg_parietal_beta_power_z_within_subject__median,脑电,0.0920812713737571,0.44304275814499733
