feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8549149107484078,0.20300891740881358
eeg_frontal_delta_power_z_within_subject__std,脑电,0.2948309787270931,0.2451821373224093
eeg_frontal_delta_power_z_within_subject__median,脑电,0.6179027447038044,0.3184448178042174
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.5738305005802223,0.010289306032387452
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8694344857328528,0.21804515455895118
eeg_frontal_theta_power_z_within_subject__std,脑电,0.33754049507523387,0.20245267081556628
eeg_frontal_theta_power_z_within_subject__median,脑电,0.7075275102516352,0.34246439125877615
eeg_frontal_theta_power_z_within_subject__slope,脑电,0.10495998209679958,0.010437581495430375
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8422649199854682,0.24489757916105226
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.032325963384519874,0.21745268013589497
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.6088060768494811,0.4098709992720232
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.3927028842716216,0.009059387167908802
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.7383671093772592,0.2796750192280517
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.16729532190106844,0.2465982759905041
eeg_frontal_beta_power_z_within_subject__median,脑电,0.31523686643984594,0.4759101395199879
eeg_frontal_beta_power_z_within_subject__slope,脑电,0.21438798057720054,0.011126565185726451
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.7311599669771047,0.2521782754767867
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.10009103718403844,0.25941731978238347
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.28369262633948256,0.43511530965552253
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.3194209018773212,0.01059875474238525
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.87712929730812,0.20544580350119446
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.08168575432305913,0.2412038375549899
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.6534530169613451,0.3210049575146028
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,0.31219804874522616,0.00881097976875876
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.759975433909945,0.29014154512746354
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.020711930779812038,0.21739203699731663
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.3734174695744248,0.47617169716928087
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.08774224014949117,0.012500086929321513
eeg_central_delta_power_z_within_subject__mean,脑电,0.793381484628819,0.2235038209463345
eeg_central_delta_power_z_within_subject__std,脑电,0.38568127936172736,0.2337928047200436
eeg_central_delta_power_z_within_subject__median,脑电,0.453774586848806,0.3604767344844783
eeg_central_delta_power_z_within_subject__slope,脑电,0.5318473598652277,0.010094448140382462
eeg_central_theta_power_z_within_subject__mean,脑电,0.7811558325158048,0.24262369807050355
eeg_central_theta_power_z_within_subject__std,脑电,-0.22632941330557,0.24883479323230748
eeg_central_theta_power_z_within_subject__median,脑电,0.5004237519081878,0.3535700740203754
eeg_central_theta_power_z_within_subject__slope,脑电,-0.5207541875401918,0.010065630530850253
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6957822524297583,0.22194929993981452
eeg_central_alpha_power_z_within_subject__std,脑电,-0.1676851158285786,0.2575974107724943
eeg_central_alpha_power_z_within_subject__median,脑电,0.19346351000497053,0.3564821178285318
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.1918573788552353,0.008064977950452766
eeg_central_beta_power_z_within_subject__mean,脑电,0.7096685172287983,0.2025626972152906
eeg_central_beta_power_z_within_subject__std,脑电,0.25264234213721104,0.23588286477703752
eeg_central_beta_power_z_within_subject__median,脑电,0.00709502513816529,0.3726093519247279
eeg_central_beta_power_z_within_subject__slope,脑电,-0.16106205112440586,0.008019703997185589
eeg_central_gamma_power_z_within_subject__mean,脑电,0.7094663382153819,0.18526032370497
eeg_central_gamma_power_z_within_subject__std,脑电,0.3221253793091621,0.23802109869545987
