feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8143713729316597,0.2464832745246969
eeg_frontal_delta_power_z_within_subject__std,脑电,0.3745186236074082,0.23815343667894226
eeg_frontal_delta_power_z_within_subject__median,脑电,0.47364231999052187,0.4107670855755969
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.6132492351630181,0.011215040339595162
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8554299769862317,0.2581048488105109
eeg_frontal_theta_power_z_within_subject__std,脑电,0.22821820386493363,0.2189032997905374
eeg_frontal_theta_power_z_within_subject__median,脑电,0.6540523590082984,0.39480582834404415
eeg_frontal_theta_power_z_within_subject__slope,脑电,0.03927454899971383,0.011101295907515069
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.75946300419511,0.31689282373617833
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.17792790908147227,0.22532232991931814
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.43999795241685835,0.49680367123870367
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-2.5632657922880493,0.01208070241744071
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.38523590600802626,0.38725624187367164
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.035777992287911786,0.230407804882712
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.5407112790969382,0.6820920089889462
eeg_frontal_beta_power_z_within_subject__slope,脑电,-3.976565756698,0.018829107660386476
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.15742838971816375,0.40951586945251667
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.09270234655685083,0.26993116819681234
eeg_frontal_gamma_power_z_within_subject__median,脑电,-1.2957917313680638,0.7442143313953076
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-3.899824431347211,0.020505491500206287
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.801862626940589,0.26062951200003537
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.0792057231227582,0.2378451390270434
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.4136839953433712,0.4194932134086447
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.03522973049545186,0.010524752526417642
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.3980007744708862,0.40337237933511133
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.0696783384675026,0.2043191393340517
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.4363875906182464,0.6637500587425218
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-2.803922732725197,0.017861640346555237
eeg_central_delta_power_z_within_subject__mean,脑电,0.8110501685441012,0.22095925458918603
eeg_central_delta_power_z_within_subject__std,脑电,0.31460857974235634,0.23845203997127445
eeg_central_delta_power_z_within_subject__median,脑电,0.47688854516542467,0.3523206150842556
eeg_central_delta_power_z_within_subject__slope,脑电,0.618847491731544,0.010008975317906108
eeg_central_theta_power_z_within_subject__mean,脑电,0.7309658042900007,0.2794400025826703
eeg_central_theta_power_z_within_subject__std,脑电,-0.08332213767745644,0.2370853311219976
eeg_central_theta_power_z_within_subject__median,脑电,0.23608140200711036,0.45399506670569373
eeg_central_theta_power_z_within_subject__slope,脑电,-0.25686563002789753,0.010929309506649644
eeg_central_alpha_power_z_within_subject__mean,脑电,0.5656430311820091,0.26065228181804073
eeg_central_alpha_power_z_within_subject__std,脑电,-0.05544206493380255,0.24208711071904618
eeg_central_alpha_power_z_within_subject__median,脑电,-0.16255086262243457,0.4249870171613371
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.9502415671989777,0.009483495782668746
eeg_central_beta_power_z_within_subject__mean,脑电,0.32062461802328934,0.28140243641950347
eeg_central_beta_power_z_within_subject__std,脑电,0.04121232842063283,0.2660837939121143
eeg_central_beta_power_z_within_subject__median,脑电,-0.9777472098446414,0.4744294285766991
eeg_central_beta_power_z_within_subject__slope,脑电,-5.421932760217453,0.013951254859246023
eeg_central_gamma_power_z_within_subject__mean,脑电,0.28486984939574544,0.2695290945913049
eeg_central_gamma_power_z_within_subject__std,脑电,0.17833501462842538,0.26922817797178683
eeg_central_gamma_power_z_within_subject__median,脑电,-1.3963313302900544,0.46655870231738356
eeg_central_gamma_power_z_within_subject__slope,脑电,-3.2242629567602483,0.013642798248615303
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.5513718389683719,0.27259795074180365
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5646335076502875,0.28297064370414626
eeg_central_theta_alpha_z_within_subject__median,脑电,-0.003222768856341318,0.39577567571951944
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.40449533857479625,0.011403297744056505
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.15000109876283563,0.33001528446455974
eeg_central_beta_alpha_z_within_subject__std,脑电,-0.04203452713756173,0.24228537181855983
eeg_central_beta_alpha_z_within_subject__median,脑电,-1.5464356904662298,0.5710452615983694
eeg_central_beta_alpha_z_within_subject__slope,脑电,-5.430691991585822,0.01610772054477079
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.8594543014794264,0.21306504470172188
eeg_parietal_delta_power_z_within_subject__std,脑电,0.25589254352258006,0.23461105215507616
eeg_parietal_delta_power_z_within_subject__median,脑电,0.6678236673076754,0.3543082972030475
eeg_parietal_delta_power_z_within_subject__slope,脑电,0.5447394957248801,0.008095674533479476
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7925740463425176,0.28578936758933665
eeg_parietal_theta_power_z_within_subject__std,脑电,0.28459632863208884,0.2135611355707887
eeg_parietal_theta_power_z_within_subject__median,脑电,0.4265660887728825,0.4769730338156573
eeg_parietal_theta_power_z_within_subject__slope,脑电,-2.1099978320866946,0.011734169790124115
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6169262006915002,0.29843858458771727
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.0011032718667571828,0.2395184951582292
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.040905046727831906,0.49071904395411997
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-1.800997754364515,0.010330303683852179
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.42643677550845005,0.33874474900401425
eeg_parietal_beta_power_z_within_subject__std,脑电,0.16153403579686654,0.23004715666714912
eeg_parietal_beta_power_z_within_subject__median,脑电,-0.36828505577296267,0.54842371801878
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.5862473358633002,0.01303669510631934
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.3457048206125586,0.3169861851920682
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.20170968333115002,0.23737964122658972
eeg_parietal_gamma_power_z_within_subject__median,脑电,-0.6395553244446404,0.5341117658278439
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.026868969736110637,0.012500003190107602
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.7680180408773626,0.2454488654257535
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-0.2905253212863017,0.24728061620491198
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.3933341199250442,0.4096560959882988
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.15493551749194046,0.0106765045151911
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.40561649190009164,0.28223635873453873
eeg_parietal_beta_alpha_z_within_subject__std,脑电,0.04385221425427965,0.22189407223222066
eeg_parietal_beta_alpha_z_within_subject__median,脑电,-0.45118893723081066,0.4859892308015494
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,-0.014051263982580275,0.01189665122910349
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.6306788870238595,0.28093888435573716
eeg_occipital_delta_power_z_within_subject__std,脑电,-0.1522842843588934,0.3206265052560678
eeg_occipital_delta_power_z_within_subject__median,脑电,0.0644533208775252,0.4042370527049481
eeg_occipital_delta_power_z_within_subject__slope,脑电,-0.43225346969047473,0.01368660827228358
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.4852997667086246,0.3049243177159366
eeg_occipital_theta_power_z_within_subject__std,脑电,-0.35334433775902263,0.24659380609589995
eeg_occipital_theta_power_z_within_subject__median,脑电,-0.3843662065068689,0.48063386203096947
eeg_occipital_theta_power_z_within_subject__slope,脑电,-0.36798608085521534,0.01159513752170222
eeg_occipital_alpha_power_z_within_subject__mean,脑电,0.42323206920410006,0.4057881844496637
eeg_occipital_alpha_power_z_within_subject__std,脑电,-0.6945133449051291,0.2548614118147225
eeg_occipital_alpha_power_z_within_subject__median,脑电,-0.3722172578862222,0.6437305109644801
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-1.0472211344918838,0.015277199375839585
eeg_occipital_beta_power_z_within_subject__mean,脑电,0.36643360642451295,0.4391821987291743
eeg_occipital_beta_power_z_within_subject__std,脑电,-0.386657519695919,0.25352347363932737
eeg_occipital_beta_power_z_within_subject__median,脑电,-0.4586721029334777,0.6776507265469599
eeg_occipital_beta_power_z_within_subject__slope,脑电,-0.6798292753230359,0.01717516796226171
eeg_occipital_gamma_power_z_within_subject__mean,脑电,0.2742268219971411,0.47149708624605774
eeg_occipital_gamma_power_z_within_subject__std,脑电,-0.3671103334730741,0.2451744884061706
eeg_occipital_gamma_power_z_within_subject__median,脑电,-0.648725672399366,0.7134155812018766
eeg_occipital_gamma_power_z_within_subject__slope,脑电,-1.5092942181107065,0.019140938336129024
eeg_occipital_theta_alpha_z_within_subject__mean,脑电,0.46618313250692944,0.3739318150354187
eeg_occipital_theta_alpha_z_within_subject__std,脑电,-0.33040228119912096,0.22368589663035396
eeg_occipital_theta_alpha_z_within_subject__median,脑电,-0.44567891584651065,0.5969196491924046
eeg_occipital_theta_alpha_z_within_subject__slope,脑电,-3.9030560851670515,0.015491680038595527
eeg_occipital_beta_alpha_z_within_subject__mean,脑电,0.10530284544365542,0.3226755939450038
eeg_occipital_beta_alpha_z_within_subject__std,脑电,-0.7307891256511592,0.22176580428545586
eeg_occipital_beta_alpha_z_within_subject__median,脑电,-1.732266740442748,0.562994722073996
eeg_occipital_beta_alpha_z_within_subject__slope,脑电,-0.9261824921858346,0.011824949933117005
hr_mean__mean,心率,0.9534148082024431,1.4530220638165068
hr_mean__std,心率,0.3341703217891213,0.7663914570921723
hr_mean__median,心率,0.899343139757209,2.098798538941059
hr_mean__slope,心率,-3.859491537611878,0.0596382365412531
hr_std__mean,心率,0.5916015910033141,0.26954899914245845
hr_std__std,心率,0.34724070916789573,0.2455533518229979
hr_std__median,心率,-0.15546042665169124,0.45282917443783594
hr_std__slope,心率,0.6379244835800046,0.008529206122859014
hr_min__mean,心率,0.9604030025260002,1.3013136527020615
hr_min__std,心率,0.2927906794429207,0.7025872819789054
hr_min__median,心率,0.9108684555988109,1.948547602529917
hr_min__slope,心率,-3.811167592042003,0.05524857240642031
hr_max__mean,心率,0.9429113542872146,1.6475815435392802
hr_max__std,心率,0.3237246618553117,0.9436090514644926
hr_max__median,心率,0.8743184549036486,2.4188430101159963
hr_max__slope,心率,-3.157047611681013,0.06497962441629328
hr_slope_bpm_per_min__mean,心率,-0.13751904681957372,1.2636930614414064
hr_slope_bpm_per_min__std,心率,0.241407702912681,2.802969761797378
hr_slope_bpm_per_min__median,心率,-2.2126410995487147,2.254325209443759
hr_slope_bpm_per_min__slope,心率,0.3584723835986231,0.07293464881664034
eye_pupil_filtered_mean__mean,眼动,0.6729495176476828,0.11233357683072012
eye_pupil_filtered_mean__std,眼动,-8.079055274000988,0.0690185335148249
eye_pupil_filtered_mean__median,眼动,0.14518815384159933,0.18583761618026676
eye_pupil_filtered_mean__slope,眼动,-21.22900492380448,0.0039060711578311
eye_pupil_filtered_std__mean,眼动,0.46905647250343563,0.025862006130020473
eye_pupil_filtered_std__std,眼动,-0.07738826465859305,0.012533723612469308
eye_pupil_filtered_std__median,眼动,-0.6004907791950611,0.047497826422444565
eye_pupil_filtered_std__slope,眼动,-3.443627969829027,0.0010265677000454053
eye_valid_ratio__mean,眼动,0.5714635115301332,0.03531895171500538
eye_valid_ratio__std,眼动,0.41470767729564884,0.020176726146356055
eye_valid_ratio__median,眼动,-0.14201854397574887,0.05866744583115001
