feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8270186575396337,0.23155815364970625
eeg_frontal_delta_power_z_within_subject__std,脑电,0.3832873680194874,0.23976356464317236
eeg_frontal_delta_power_z_within_subject__median,脑电,0.47986843442883054,0.40999933578039843
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.5505483834372402,0.010452763686363368
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8884563462128747,0.22222865393785726
eeg_frontal_theta_power_z_within_subject__std,脑电,0.28336830446355166,0.2181035790092345
eeg_frontal_theta_power_z_within_subject__median,脑电,0.6709196468604819,0.36380329051505655
eeg_frontal_theta_power_z_within_subject__slope,脑电,0.3477728975421809,0.009832669247108577
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8257014050724598,0.2476502162950671
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.1411447589251147,0.2206724903116188
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.5630820475714666,0.3902093728650403
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-6.703377103911089,0.011809002470226093
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.5631278070596144,0.31056052574631254
eeg_frontal_beta_power_z_within_subject__std,脑电,0.060340262817325074,0.2178796215650892
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.09684751865407759,0.5466204059932496
eeg_frontal_beta_power_z_within_subject__slope,脑电,-3.3800233822461268,0.014634123155109171
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.40737441276036723,0.3167251151386686
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.08364977960691533,0.25793315082256446
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.5652108665067599,0.5459021111536343
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-3.4816163992240012,0.016094761214707737
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7910601585609776,0.26608186258412503
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.10395003827193183,0.23555779113316386
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.3459030102881838,0.42376328971213845
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.4252276238560091,0.010545285548791142
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.658799872125565,0.3111339288099424
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.04019271707331329,0.20836293368959394
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.14552932796581364,0.5241180770238206
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.5592948210582604,0.013194454315994728
eeg_central_delta_power_z_within_subject__mean,脑电,0.8155203660685202,0.22135644696858428
eeg_central_delta_power_z_within_subject__std,脑电,0.39171720484649875,0.231305995691897
eeg_central_delta_power_z_within_subject__median,脑电,0.47750411579336494,0.3845989320841429
eeg_central_delta_power_z_within_subject__slope,脑电,0.5484152956445998,0.010266752630219445
eeg_central_theta_power_z_within_subject__mean,脑电,0.7692916331804258,0.24362719896760548
eeg_central_theta_power_z_within_subject__std,脑电,-0.12440758249525885,0.24715996972148702
eeg_central_theta_power_z_within_subject__median,脑电,0.27443119750078504,0.43099485369485985
eeg_central_theta_power_z_within_subject__slope,脑电,-0.28086403666554505,0.009996467963295572
eeg_central_alpha_power_z_within_subject__mean,脑电,0.5770712944009179,0.24936180217561946
eeg_central_alpha_power_z_within_subject__std,脑电,-0.16664968137542324,0.2674053482257287
eeg_central_alpha_power_z_within_subject__median,脑电,-0.4072908651381446,0.4443151000294805
eeg_central_alpha_power_z_within_subject__slope,脑电,-7.510780663744356,0.010858204104138838
eeg_central_beta_power_z_within_subject__mean,脑电,0.21353093463457307,0.27785171007657794
eeg_central_beta_power_z_within_subject__std,脑电,-0.11135357155961167,0.2614506108518275
eeg_central_beta_power_z_within_subject__median,脑电,-1.5184790448947703,0.4617485752159949
eeg_central_beta_power_z_within_subject__slope,脑电,-9.96169913528218,0.013473467827966153
eeg_central_gamma_power_z_within_subject__mean,脑电,0.20248517836187818,0.26426259296647325
eeg_central_gamma_power_z_within_subject__std,脑电,0.09001166927674242,0.2671920950077249
eeg_central_gamma_power_z_within_subject__median,脑电,-1.78773824537179,0.44480669056985905
eeg_central_gamma_power_z_within_subject__slope,脑电,-5.123812476679178,0.013067540133116269
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.4426075781277937,0.28293965794394443
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.8298099367143115,0.30366408691550784
eeg_central_theta_alpha_z_within_subject__median,脑电,-0.5371379388513433,0.42929793018301404
eeg_central_theta_alpha_z_within_subject__slope,脑电,-4.794210178482613,0.015034523833621477
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.261744340495378,0.2937246052719883
eeg_central_beta_alpha_z_within_subject__std,脑电,-0.15466675371448324,0.23621724332395302
eeg_central_beta_alpha_z_within_subject__median,脑电,-1.336505538711446,0.5109885582438236
eeg_central_beta_alpha_z_within_subject__slope,脑电,-7.854423734029558,0.01459036493378828
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.8471493351089789,0.2303408682748065
eeg_parietal_delta_power_z_within_subject__std,脑电,0.21333694184118324,0.2534209018718213
eeg_parietal_delta_power_z_within_subject__median,脑电,0.46369683251363614,0.4134497791363504
eeg_parietal_delta_power_z_within_subject__slope,脑电,0.38724316213728105,0.009770835683615392
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.8573187003164358,0.2249702325893245
eeg_parietal_theta_power_z_within_subject__std,脑电,0.2754854145184473,0.2202621568381022
eeg_parietal_theta_power_z_within_subject__median,脑电,0.6534026816297838,0.3670234125389809
eeg_parietal_theta_power_z_within_subject__slope,脑电,-1.8282829088595136,0.008996646865018864
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6393934133143845,0.2890386704753579
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.12676982791418534,0.25554551360105243
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.00958293988220904,0.4683648315460419
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-8.301316699979969,0.013229282830698385
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.6123433562366063,0.2889891315186736
eeg_parietal_beta_power_z_within_subject__std,脑电,0.07440657506247239,0.23829530382643244
eeg_parietal_beta_power_z_within_subject__median,脑电,0.038757517483082204,0.4569797249786473
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.3551392636229105,0.011148947492368565
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.5265111078609075,0.2819898860972022
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.054946022543045814,0.2574986885003796
eeg_parietal_gamma_power_z_within_subject__median,脑电,-0.3469621579561921,0.44947088062019314
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.22944645905794192,0.011629394247795924
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.5410982945567979,0.3232740869971056
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-0.3840617374361315,0.2604004703953548
eeg_parietal_theta_alpha_z_within_subject__median,脑电,-0.17965419818307415,0.5180819496916957
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-3.109559993852306,0.016308737936750597
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.4012509791860257,0.2893675190162495
eeg_parietal_beta_alpha_z_within_subject__std,脑电,-0.13913364327848,0.24347181146065203
eeg_parietal_beta_alpha_z_within_subject__median,脑电,-0.8481378519623337,0.5041500258734213
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,-0.49642989197745346,0.012310774649650627
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.7577723932224275,0.24372785972294425
eeg_occipital_delta_power_z_within_subject__std,脑电,0.018988828525941637,0.2905604069690512
eeg_occipital_delta_power_z_within_subject__median,脑电,0.3217632834112263,0.40863191316991926
eeg_occipital_delta_power_z_within_subject__slope,脑电,0.3771180486212714,0.010258187690569296
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.6844564683742318,0.23133732848948493
