feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6959480511207252,0.2778535201602045
eeg_frontal_delta_power_z_within_subject__std,脑电,0.28825384970583057,0.2374301350958618
eeg_frontal_delta_power_z_within_subject__median,脑电,0.2503309651206167,0.4416589491035862
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.3739162787411817,0.013270407925110979
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.706688568221165,0.33777988773102163
eeg_frontal_theta_power_z_within_subject__std,脑电,0.18426045968070126,0.23235230855825226
eeg_frontal_theta_power_z_within_subject__median,脑电,0.19812469965242774,0.5540069773109205
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.8120169178912566,0.01563766667898507
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.717278097856948,0.3347784112887786
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.26970051346059054,0.23161806883779368
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.23431239736758647,0.5805524444587473
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-2.629123138939702,0.013035245783551521
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6678347873845498,0.3260613895358285
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.1867554941864309,0.24818871040776103
eeg_frontal_beta_power_z_within_subject__median,脑电,0.12719286780761108,0.5429415904150148
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.08270507550891959,0.013666503994014883
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6638775114113334,0.2857174114726174
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.09888428170188379,0.2589318640239783
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.086741057383532,0.5090900856960344
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.13515518674219973,0.01271563967567926
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7278442420670521,0.2713049861834066
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.06692413350336346,0.2573823017720119
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.16394405149672575,0.4574790841509712
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.6144738007657176,0.011035020335084538
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6773010184809654,0.33215886220732355
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.25218099202402255,0.24726977055930902
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.1345435081010018,0.5489454673657395
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.05483590294486684,0.014277668133123585
eeg_central_delta_power_z_within_subject__mean,脑电,0.723108702132691,0.24162799181503664
eeg_central_delta_power_z_within_subject__std,脑电,0.33306914909465146,0.23282116721439303
eeg_central_delta_power_z_within_subject__median,脑电,0.2714745186928884,0.40239355736170374
eeg_central_delta_power_z_within_subject__slope,脑电,0.4575612689587816,0.01152852264386651
eeg_central_theta_power_z_within_subject__mean,脑电,0.6789208308935226,0.29008606096669526
eeg_central_theta_power_z_within_subject__std,脑电,-0.2096567473667652,0.246473305372801
