feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.7120791190258844,0.2739501015939138
eeg_frontal_delta_power_z_within_subject__std,脑电,0.28469583509499996,0.23837862635728868
eeg_frontal_delta_power_z_within_subject__median,脑电,0.2994025581183317,0.43198472028856505
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.3835903074650511,0.013192002996924081
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.722782316070219,0.3331890458885194
eeg_frontal_theta_power_z_within_subject__std,脑电,0.2065051592605721,0.22653688671396996
eeg_frontal_theta_power_z_within_subject__median,脑电,0.269888850146222,0.5349010642202735
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.6967436408520167,0.015325939788294086
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7303858014958451,0.33234828824768387
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.21900670631563957,0.2275209173388561
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.2963186567351064,0.5634540081144914
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-2.341937887308819,0.012720690702614201
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6706048958400354,0.3256064620223109
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.19367242834653697,0.2506993774245064
eeg_frontal_beta_power_z_within_subject__median,脑电,0.17440624523886783,0.5313389880606334
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.04636089547091227,0.013884221611940056
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6629239996653509,0.2872166977787795
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.1090411301909282,0.26096147523997293
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.13002247873545558,0.4965353830389406
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.14972860142673472,0.012794866695256982
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7436542465007416,0.26557577797546783
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.04855292686763324,0.2565205270019857
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.239440938865918,0.43733023513662883
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.4972911550708379,0.010847592055989374
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6834823161028851,0.3261842837961304
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.21923759114683028,0.24360859188031972
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.17203403950812246,0.5375956521960067
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.03509152223305678,0.013943899873699706
eeg_central_delta_power_z_within_subject__mean,脑电,0.7327316322047469,0.23831299783105836
eeg_central_delta_power_z_within_subject__std,脑电,0.33671596131829495,0.23444926897064186
eeg_central_delta_power_z_within_subject__median,脑电,0.30944015487414767,0.38987061666737316
eeg_central_delta_power_z_within_subject__slope,脑电,0.47992498602115374,0.01123523146748369
eeg_central_theta_power_z_within_subject__mean,脑电,0.6892999463608414,0.28352050390376476
eeg_central_theta_power_z_within_subject__std,脑电,-0.20500367325240876,0.24499687167972078
eeg_central_theta_power_z_within_subject__median,脑电,0.25019166801176373,0.4474847179250693
eeg_central_theta_power_z_within_subject__slope,脑电,-1.1542386784805627,0.01226739567364019
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6763784182203523,0.22926774091226437
eeg_central_alpha_power_z_within_subject__std,脑电,-0.08682443026374975,0.24754384570777438
eeg_central_alpha_power_z_within_subject__median,脑电,0.08355410879362835,0.3895777413752753
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.511536436562226,0.008495310802627885
eeg_central_beta_power_z_within_subject__mean,脑电,0.6820390972196637,0.22033018859301146
eeg_central_beta_power_z_within_subject__std,脑电,0.2559427740250342,0.22918537153916665
eeg_central_beta_power_z_within_subject__median,脑电,0.0323211055467757,0.3691231980278337
eeg_central_beta_power_z_within_subject__slope,脑电,-0.0987852657813566,0.008615920379768497
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6858030810786442,0.20714019214180857
eeg_central_gamma_power_z_within_subject__std,脑电,0.2985535010539293,0.2427009754256608
eeg_central_gamma_power_z_within_subject__median,脑电,-0.00018547981742189634,0.3475097565189995
eeg_central_gamma_power_z_within_subject__slope,脑电,0.3362557212415058,0.008471855400050998
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6117807296992525,0.24216567795181915
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5070604384773141,0.2733986701534758
eeg_central_theta_alpha_z_within_subject__median,脑电,0.08479665237880607,0.37545328264184213
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.06286102100287771,0.010080234477481529
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6385777227420195,0.2289042796212311
eeg_central_beta_alpha_z_within_subject__std,脑电,0.11588329432608668,0.236809384162438
eeg_central_beta_alpha_z_within_subject__median,脑电,0.045231080230854204,0.371629479509832
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.1387545825676948,0.009472540734236794
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.742970634398958,0.2668386644556284
eeg_parietal_delta_power_z_within_subject__std,脑电,0.18693827273132357,0.2560399296245312
eeg_parietal_delta_power_z_within_subject__median,脑电,0.26354448953502074,0.4640296002147795
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.0812818478726467,0.01222383088364615
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7329897973986528,0.30515837029117965
eeg_parietal_theta_power_z_within_subject__std,脑电,0.21640961673479364,0.23166425638405802
eeg_parietal_theta_power_z_within_subject__median,脑电,0.280748826386114,0.4849601411612947
eeg_parietal_theta_power_z_within_subject__slope,脑电,-4.128268037336055,0.01379206215234149
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6963505114455963,0.2723175564454511
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.06625318125409296,0.25215879678532993
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.16955587901843894,0.4623155422202285
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-2.840386426340689,0.01048425168586727
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.6469666326333485,0.2638453107645239
eeg_parietal_beta_power_z_within_subject__std,脑电,0.10565803663996154,0.23598627824392995
eeg_parietal_beta_power_z_within_subject__median,脑电,0.17849234462958397,0.4193841033271513
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.3668118107540086,0.011292244977707566
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.6122598976662952,0.24413006598700224
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.12974885600679598,0.24151294794761227
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.14023296885024739,0.40065692588302976
eeg_parietal_gamma_power_z_within_subject__slope,脑电,0.03631886581523447,0.010795614185785759
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.6977406686344931,0.2694905108571916
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-0.37076428759695457,0.2583675905658872
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.2063101367719662,0.4337953882192539
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.22804974575467196,0.011712325625960422
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.6398912810717727,0.2179679481300175
eeg_parietal_beta_alpha_z_within_subject__std,脑电,-0.0069676274694689955,0.22917170796189384
eeg_parietal_beta_alpha_z_within_subject__median,脑电,0.14913023270074177,0.34206088627992015
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,0.45379129037923027,0.008725480541082388
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.6962318653128334,0.23676112651840822
eeg_occipital_delta_power_z_within_subject__std,脑电,-0.018512550377905335,0.286056791526504
eeg_occipital_delta_power_z_within_subject__median,脑电,0.20075834896892164,0.38763439637442
eeg_occipital_delta_power_z_within_subject__slope,脑电,0.32540627876823824,0.01043249606654175
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.645168180441704,0.2690575217039792
eeg_occipital_theta_power_z_within_subject__std,脑电,-0.4473042818477855,0.2599548010096718
eeg_occipital_theta_power_z_within_subject__median,脑电,0.14823722530890548,0.3800723269662729
eeg_occipital_theta_power_z_within_subject__slope,脑电,-0.0162583984618343,0.01045293268757654
eeg_occipital_alpha_power_z_within_subject__mean,脑电,0.670463209226209,0.3272020099237397
eeg_occipital_alpha_power_z_within_subject__std,脑电,-0.6928464767958358,0.2687595417058642
eeg_occipital_alpha_power_z_within_subject__median,脑电,0.11036983391152289,0.5125689226216585
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-0.003316623033359889,0.01186119780926433
eeg_occipital_beta_power_z_within_subject__mean,脑电,0.6516082644205528,0.3424286444631991
eeg_occipital_beta_power_z_within_subject__std,脑电,-0.4466582457120476,0.28104869743020466
eeg_occipital_beta_power_z_within_subject__median,脑电,0.1503088118524748,0.5146220713725501
eeg_occipital_beta_power_z_within_subject__slope,脑电,0.36997866610246455,0.011887662673901225
eeg_occipital_gamma_power_z_within_subject__mean,脑电,0.6579108975977495,0.3384884079840248
eeg_occipital_gamma_power_z_within_subject__std,脑电,-0.4237952788693782,0.2679941431785175
eeg_occipital_gamma_power_z_within_subject__median,脑电,0.15465080012808452,0.5195472526974771
eeg_occipital_gamma_power_z_within_subject__slope,脑电,0.3718492819236716,0.011975895621315085
eeg_occipital_theta_alpha_z_within_subject__mean,脑电,0.7015345318270292,0.2779390315877394
eeg_occipital_theta_alpha_z_within_subject__std,脑电,-0.20004561290442568,0.21357782118035606
eeg_occipital_theta_alpha_z_within_subject__median,脑电,0.10651254876276006,0.46139907814245074
eeg_occipital_theta_alpha_z_within_subject__slope,脑电,-0.9409836759752852,0.010842660804024715
eeg_occipital_beta_alpha_z_within_subject__mean,脑电,0.5461360657837737,0.21298772253016543
eeg_occipital_beta_alpha_z_within_subject__std,脑电,-1.1269623924580094,0.25697678539249236
eeg_occipital_beta_alpha_z_within_subject__median,脑电,0.05117729481335953,0.31625353484602176
eeg_occipital_beta_alpha_z_within_subject__slope,脑电,0.4049984328206305,0.0075722361032614285
hr_mean__mean,心率,0.7324165434725,3.693820892070054
hr_mean__std,心率,-2.911768935623286,1.7325211205396727
hr_mean__median,心率,0.17328337225241675,6.396733830503078
hr_mean__slope,心率,-8.810887411360984,0.11988784848377163
hr_std__mean,心率,0.6931047938797719,0.2464119215192483
hr_std__std,心率,0.3443968191191684,0.24826705716124897
hr_std__median,心率,-0.004962653560985464,0.4280564336927118
hr_std__slope,心率,0.21072710603770772,0.009503412098093666
hr_min__mean,心率,0.7250583343667041,3.585728644483218
hr_min__std,心率,-3.6534200853048393,1.6981551364406717
hr_min__median,心率,0.15642257444426355,6.2580153063217825
hr_min__slope,心率,-10.532907061389349,0.11336363587696902
hr_max__mean,心率,0.7348406364428082,3.834339420490826
hr_max__std,心率,-1.4085151020746824,1.6326716568127484
hr_max__median,心率,0.17617650056168488,6.779078992382586
hr_max__slope,心率,-6.756111865532957,0.12799002368122198
hr_slope_bpm_per_min__mean,心率,0.2088794239437397,0.6957088140794566
hr_slope_bpm_per_min__std,心率,0.1795750766953924,2.9625255491923066
hr_slope_bpm_per_min__median,心率,-0.13347202038684358,1.1362351923597174
hr_slope_bpm_per_min__slope,心率,0.702162947054086,0.051469592742249215
eye_pupil_filtered_mean__mean,眼动,0.7096800723106044,0.09573358665787128
eye_pupil_filtered_mean__std,眼动,-8.672776988579246,0.0574005396424075
eye_pupil_filtered_mean__median,眼动,0.29504501737296307,0.15713895540643175
eye_pupil_filtered_mean__slope,眼动,-8.746245779896414,0.0030298277629287524
eye_pupil_filtered_std__mean,眼动,0.6854269640912573,0.020687231731797987
eye_pupil_filtered_std__std,眼动,0.20289887392337214,0.010857956016859753
eye_pupil_filtered_std__median,眼动,-0.0137732083173836,0.04009103808041895
eye_pupil_filtered_std__slope,眼动,-0.2545288028174302,0.0007227960898144866
eye_valid_ratio__mean,眼动,0.665710137334768,0.029422340531067067
eye_valid_ratio__std,眼动,0.5654690173275448,0.017610218056516223
eye_valid_ratio__median,眼动,0.0797530861155672,0.05205769601797978
eye_valid_ratio__slope,眼动,-0.6381414867348192,0.0009406348548453237
eye_fixation_ratio__mean,眼动,0.7163856415759609,0.03148910749012685
eye_fixation_ratio__std,眼动,0.06949311144543946,0.014861395831743082
eye_fixation_ratio__median,眼动,0.10050594597832496,0.0568978893364828
eye_fixation_ratio__slope,眼动,-1.9680990723207974,0.000921417483125433
eye_saccade_ratio__mean,眼动,0.7063005199902171,0.01443726420614629
eye_saccade_ratio__std,眼动,0.03726360734151013,0.00723487403243538
eye_saccade_ratio__median,眼动,0.13077496610466144,0.02617425382232726
eye_saccade_ratio__slope,眼动,-1.7478489191564819,0.00042008512528036367
eye_eyes_not_found_ratio__mean,眼动,0.7594642911756382,0.007678404354154381
eye_eyes_not_found_ratio__std,眼动,0.7740544161063507,0.005640296338888956
eye_eyes_not_found_ratio__median,眼动,-0.08742675629815677,0.01286183166041352
eye_eyes_not_found_ratio__slope,眼动,0.7624260661041358,0.00025667522498470707
eye_aoi_interval_n__mean,眼动,0.7550937508299117,1.138227213302108
eye_aoi_interval_n__std,眼动,0.32568621181962476,1.0763992467150578
eye_aoi_interval_n__median,眼动,0.11143765370869363,2.694453311151035
eye_aoi_interval_n__slope,眼动,0.5236048914877622,0.04169595344690111
eye_aoi_unique_hit_n__mean,眼动,0.7849137318699944,0.3075622092146033
eye_aoi_unique_hit_n__std,眼动,-0.07191265091392252,0.33879349443073176
eye_aoi_unique_hit_n__median,眼动,0.3379775615862287,0.6571628444871186
eye_aoi_unique_hit_n__slope,眼动,0.5560841356424859,0.01056105459472214
eye_aoi_total_fix_ms__mean,眼动,0.7068515946912735,580.5869310600176
eye_aoi_total_fix_ms__std,眼动,0.2118919584350999,650.6957566265002
eye_aoi_total_fix_ms__median,眼动,0.4191438377446215,840.6883351803572
eye_aoi_total_fix_ms__slope,眼动,0.5742639230793365,22.091433644884585
eye_aoi_fixation_n__mean,眼动,0.7372054375157332,0.9505860186967295
eye_aoi_fixation_n__std,眼动,0.22503211379901122,0.9446509913783817
eye_aoi_fixation_n__median,眼动,0.38918117842284283,1.4735050335189652
eye_aoi_fixation_n__slope,眼动,0.42571402034881767,0.0356981363603842
eye_aoi_fixation_density_per_sec__mean,眼动,0.7282405780473358,0.03249867335629777
eye_aoi_fixation_density_per_sec__std,眼动,0.20717460274998323,0.032173667110436614
eye_aoi_fixation_density_per_sec__median,眼动,0.4260441462178751,0.047132368002313
eye_aoi_fixation_density_per_sec__slope,眼动,0.4509699620478981,0.0012353184609020214
eye_aoi_coverage_ratio__mean,眼动,0.7163773360642454,0.019287000682828327
eye_aoi_coverage_ratio__std,眼动,0.19483059221098786,0.02208383795202992
eye_aoi_coverage_ratio__median,眼动,0.4616206230566299,0.02769652244704768
eye_aoi_coverage_ratio__slope,眼动,0.6024422312471169,0.0007487343594456452
eye_aoi_max_share__mean,眼动,0.5869534414859212,0.050893132585867105
eye_aoi_max_share__std,眼动,-1.2116197232577743,0.053522966773304974
eye_aoi_max_share__median,眼动,0.13742195807158886,0.09557107137765676
eye_aoi_max_share__slope,眼动,0.3454465077740373,0.0023510363087532195
eye_aoi_entropy__mean,眼动,0.6603319541129421,0.11225117299157374
eye_aoi_entropy__std,眼动,-0.8849833295102008,0.11188340860693732
eye_aoi_entropy__median,眼动,0.20731594240876827,0.18956871301713596
eye_aoi_entropy__slope,眼动,0.39591137889123584,0.004636776534665247
eye_aoi_pupil_weighted_mean__mean,眼动,0.6726467280529916,0.10233494301250194
eye_aoi_pupil_weighted_mean__std,眼动,-8.453994114083649,0.06159881019227459
eye_aoi_pupil_weighted_mean__median,眼动,-0.0017004181692081843,0.17413894080301387
eye_aoi_pupil_weighted_mean__slope,眼动,-8.322173801140371,0.0031011057335306787
blink_count__mean,眼动,0.6363114312104805,1.7024796434423846
blink_count__std,眼动,0.3541886762808648,1.0147266412900704
blink_count__median,眼动,-0.08076381265641697,3.0801864655607525
blink_count__slope,眼动,-0.6877348718070442,0.057182200045625624
blink_rate_per_min__mean,眼动,0.6363114312104805,3.404959286884769
blink_rate_per_min__std,眼动,0.3541886762808648,2.029453282580141
blink_rate_per_min__median,眼动,-0.08076381265641697,6.160372931121505
blink_rate_per_min__slope,眼动,-0.6877348718070442,0.11436440009125125
blink_duration_mean_ms__mean,眼动,0.6272752159794233,7.736646625837474
blink_duration_mean_ms__std,眼动,-0.18564925473073712,5.0347006609500555
blink_duration_mean_ms__median,眼动,-0.2349244902533798,14.546730328712611
blink_duration_mean_ms__slope,眼动,-1.200617710087644,0.29355010476826043
blink_duration_std_ms__mean,眼动,0.44745068135949295,6.914788491938967
blink_duration_std_ms__std,眼动,0.09380387999852446,5.446369713829409
blink_duration_std_ms__median,眼动,-0.5363613730158276,10.784818680150185
blink_duration_std_ms__slope,眼动,0.08920197839291433,0.2159938715558309
blink_duration_median_ms__mean,眼动,0.6289495270728758,6.8181295559455
blink_duration_median_ms__std,眼动,-0.23355403729931212,4.8912923067842735
