feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.5971673602845986,0.3417470698967717
eeg_frontal_delta_power_z_within_subject__std,脑电,0.07576324645205168,0.3102350074052146
eeg_frontal_delta_power_z_within_subject__median,脑电,0.5623651370829977,0.29453443606465357
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.17724543257960101,0.016385859148773198
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.6255268246081072,0.4054026395881361
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.021329777679875095,0.2930477619341301
eeg_frontal_theta_power_z_within_subject__median,脑电,0.543028185564994,0.4014988466696572
eeg_frontal_theta_power_z_within_subject__slope,脑电,-1.2833026703970565,0.017541178424727955
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.6368797497411043,0.41229307925150877
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.5618866002064915,0.2512472317386497
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.6272400251524555,0.40378312340434397
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-4.587583079719127,0.016133366737004735
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.5365365326070944,0.389102651469373
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.3861418861968049,0.24972242653662444
eeg_frontal_beta_power_z_within_subject__median,脑电,0.5687995060292181,0.3810782410731565
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.574580296305427,0.01646271640716809
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.5422931853525019,0.3612478419483201
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.1086417452992059,0.28122742790165056
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.5467446532246408,0.34714324638847144
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.04203068689376521,0.014851337740238082
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7153072848358841,0.29642116899662396
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.1422182538467982,0.24050867753132094
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.745604848508256,0.26960627262954967
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.6645183102092223,0.012696310391609402
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6335464295059653,0.35249960809017933
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.27280413744113907,0.17157739492234192
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.5779549938129933,0.37749020892320556
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,0.3986149159133291,0.012422586275953844
eeg_central_delta_power_z_within_subject__mean,脑电,0.5553661765540086,0.31831440507272907
eeg_central_delta_power_z_within_subject__std,脑电,0.10456350222514876,0.3013981976739766
eeg_central_delta_power_z_within_subject__median,脑电,0.5078438911939166,0.27716338782372407
eeg_central_delta_power_z_within_subject__slope,脑电,-0.07845747137350845,0.01535796713428812
eeg_central_theta_power_z_within_subject__mean,脑电,0.5468734312035877,0.3422862318742505
eeg_central_theta_power_z_within_subject__std,脑电,-0.30192973986801186,0.26494959475692687
eeg_central_theta_power_z_within_subject__median,脑电,0.5231185183370273,0.33326871136548164
eeg_central_theta_power_z_within_subject__slope,脑电,-1.9843045546113842,0.014216999352088215
eeg_central_alpha_power_z_within_subject__mean,脑电,0.4387919554351991,0.2848277052057446
eeg_central_alpha_power_z_within_subject__std,脑电,-0.23704981216053533,0.26947093786175846
eeg_central_alpha_power_z_within_subject__median,脑电,0.4458925611730532,0.26857186143152084
eeg_central_alpha_power_z_within_subject__slope,脑电,-3.29737759996764,0.01102316551704781
eeg_central_beta_power_z_within_subject__mean,脑电,0.5072393057699383,0.2799100748351073
eeg_central_beta_power_z_within_subject__std,脑电,0.010672816745813218,0.27258414082709537
eeg_central_beta_power_z_within_subject__median,脑电,0.4848018681687656,0.2558557579544399
eeg_central_beta_power_z_within_subject__slope,脑电,0.012821944307679134,0.009752566651332364
eeg_central_gamma_power_z_within_subject__mean,脑电,0.5200242499107983,0.2739088032004382
eeg_central_gamma_power_z_within_subject__std,脑电,0.1390308661195061,0.3001165396764267
eeg_central_gamma_power_z_within_subject__median,脑电,0.4762583159596241,0.23113927072384788
eeg_central_gamma_power_z_within_subject__slope,脑电,0.5106550129230424,0.009388786041078918
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.4555115422790421,0.29718953056923453
eeg_central_theta_alpha_z_within_subject__std,脑电,0.01705043570784437,0.20215707349265863
eeg_central_theta_alpha_z_within_subject__median,脑电,0.5313791829681782,0.25702942741239937
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.38104893076004753,0.012648635084517976
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.41457205187349766,0.3103983271937857
eeg_central_beta_alpha_z_within_subject__std,脑电,0.23850582364210693,0.21077942844367795
eeg_central_beta_alpha_z_within_subject__median,脑电,0.384037947927661,0.2886818207796365
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.20701731971659232,0.011350050121438924
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.6060338785625969,0.35849674054752134
eeg_parietal_delta_power_z_within_subject__std,脑电,0.03130020553135204,0.30710126657272885
eeg_parietal_delta_power_z_within_subject__median,脑电,0.5158273649435472,0.35998901393639643
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.7285279777946494,0.015417456236665916
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.665975746287965,0.3505249121148409
eeg_parietal_theta_power_z_within_subject__std,脑电,0.1742140683639951,0.25631294380470643
eeg_parietal_theta_power_z_within_subject__median,脑电,0.5590049364214542,0.37390002068552036
eeg_parietal_theta_power_z_within_subject__slope,脑电,-5.328331446358872,0.015114798129370353
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.5157726788081278,0.3396500674717238
eeg_parietal_alpha_power_z_within_subject__std,脑电,0.005020612442003469,0.23812390447237766
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.4359565258992375,0.3530284154493278
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-5.155220660461796,0.01336696160146874
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.5203831621793094,0.31246111669910676
eeg_parietal_beta_power_z_within_subject__std,脑电,-0.08305500710988434,0.2211867684160121
eeg_parietal_beta_power_z_within_subject__median,脑电,0.39279741115099986,0.31572945963137655
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.9786627137008117,0.01307170795086888
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.5307152908178571,0.2897177649520966
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.052741413906199464,0.23692252755194587
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.441718231330118,0.27818271359377494
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.006847689781930066,0.011593214983296903
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.5950605132936204,0.30494826874313286
eeg_parietal_theta_alpha_z_within_subject__std,脑电,0.093230660932068,0.2070801524450056
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.5735911321963086,0.30069864933352874
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.26441788205209393,0.012550541896183003
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.4782454670450449,0.2808969309645467
eeg_parietal_beta_alpha_z_within_subject__std,脑电,0.09978593335433783,0.17149980066066
eeg_parietal_beta_alpha_z_within_subject__median,脑电,0.4556173951125291,0.2624154257255507
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,0.41419596993584806,0.00948102071608876
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.6225644723109309,0.2810525969684227
eeg_occipital_delta_power_z_within_subject__std,脑电,0.2975003882245567,0.25820050645065196
eeg_occipital_delta_power_z_within_subject__median,脑电,0.6191847582267783,0.26757322333584826
eeg_occipital_delta_power_z_within_subject__slope,脑电,-0.29727248034107956,0.012750972740499725
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.3831294351980995,0.3458139622698583
eeg_occipital_theta_power_z_within_subject__std,脑电,-0.01367860457490555,0.20114842313696873
eeg_occipital_theta_power_z_within_subject__median,脑电,0.33709616034877354,0.34242527918057225
eeg_occipital_theta_power_z_within_subject__slope,脑电,-1.994952593870305,0.014844916352770405
eeg_occipital_alpha_power_z_within_subject__mean,脑电,0.5444820127253593,0.36958771712889
eeg_occipital_alpha_power_z_within_subject__std,脑电,-0.5212912245061363,0.2293197371063868
eeg_occipital_alpha_power_z_within_subject__median,脑电,0.5802630578272047,0.33637957326875045
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-1.1967694961175699,0.015223731396173994
eeg_occipital_beta_power_z_within_subject__mean,脑电,0.5492725032040564,0.3797918886116507
eeg_occipital_beta_power_z_within_subject__std,脑电,-0.2743637380928372,0.2309036679455493
eeg_occipital_beta_power_z_within_subject__median,脑电,0.5143110066711822,0.36948027661146726
eeg_occipital_beta_power_z_within_subject__slope,脑电,-0.3907548560048133,0.014538939720141435
eeg_occipital_gamma_power_z_within_subject__mean,脑电,0.5893993665284174,0.3542134693491139
eeg_occipital_gamma_power_z_within_subject__std,脑电,-0.15568551283668453,0.2138564098814177
eeg_occipital_gamma_power_z_within_subject__median,脑电,0.5697528374994107,0.3562167748726473
eeg_occipital_gamma_power_z_within_subject__slope,脑电,-0.2652113974338939,0.013230480799112414
eeg_occipital_theta_alpha_z_within_subject__mean,脑电,0.5594881747847993,0.3289574218219936
eeg_occipital_theta_alpha_z_within_subject__std,脑电,0.0951063754430087,0.17040134542244018
eeg_occipital_theta_alpha_z_within_subject__median,脑电,0.5250547205145424,0.3434099983870946
eeg_occipital_theta_alpha_z_within_subject__slope,脑电,-3.7563504162690915,0.013241429225837884
eeg_occipital_beta_alpha_z_within_subject__mean,脑电,0.2255221650224961,0.3045082264954344
eeg_occipital_beta_alpha_z_within_subject__std,脑电,0.2689406842434642,0.13833200082859906
eeg_occipital_beta_alpha_z_within_subject__median,脑电,0.08870782379907582,0.33343917297965747
