feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8584749901607023,0.2060044444612073
eeg_frontal_delta_power_z_within_subject__std,脑电,0.3117817566335387,0.23674728024882927
eeg_frontal_delta_power_z_within_subject__median,脑电,0.679725028888807,0.3047083492162058
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.5394610111185708,0.010521245848954539
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8686049256301837,0.22246314838789222
eeg_frontal_theta_power_z_within_subject__std,脑电,0.3161407823599046,0.20064199514751155
eeg_frontal_theta_power_z_within_subject__median,脑电,0.6905414301851733,0.3562660396291607
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.09507166552925828,0.011209850694566014
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.849815356819284,0.24500880290753965
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.022584331916529754,0.2088583158364953
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.6403747122994733,0.38900512382622127
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.9788649004091752,0.009659180567990323
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.7134795290427353,0.295310727506907
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.1893245057487145,0.24997281533039323
eeg_frontal_beta_power_z_within_subject__median,脑电,0.32270251456705734,0.46523318500647814
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.13596838080315887,0.012743542129373592
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6975040655659721,0.2699890367027696
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.12666585050909718,0.2614547783288972
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.25000238528995833,0.4484864992129413
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.08717597974737779,0.011901413186959552
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.8649826965887962,0.2077556331653245
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.052435433406328724,0.24540499854473566
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.6007920054887077,0.31954794427071487
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.25389094491951436,0.009804074780540808
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.7494628415259561,0.28501205932132645
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.06756400028250842,0.22777216191499144
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.3581423712985383,0.46084457725986544
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.15392514957426884,0.012081019415818479
eeg_central_delta_power_z_within_subject__mean,脑电,0.8277916299666641,0.2015738906156782
eeg_central_delta_power_z_within_subject__std,脑电,0.3167023349879249,0.23416744123350186
eeg_central_delta_power_z_within_subject__median,脑电,0.5678268046472268,0.31562946001485265
eeg_central_delta_power_z_within_subject__slope,脑电,0.523485922490446,0.010039685306569991
eeg_central_theta_power_z_within_subject__mean,脑电,0.7807141191037779,0.2384755848127832
eeg_central_theta_power_z_within_subject__std,脑电,-0.2519944350547667,0.24415007193564095
eeg_central_theta_power_z_within_subject__median,脑电,0.4596822708423889,0.3736863396912894
eeg_central_theta_power_z_within_subject__slope,脑电,-0.5578501938931162,0.010436844063138623
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6854935596848973,0.22943757602937587
eeg_central_alpha_power_z_within_subject__std,脑电,-0.11355351949049997,0.25585625759118946
eeg_central_alpha_power_z_within_subject__median,脑电,0.06439583052436171,0.38090250755795035
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.9410892413169687,0.008404959099106931
eeg_central_beta_power_z_within_subject__mean,脑电,0.640069850857081,0.2275646790686697
eeg_central_beta_power_z_within_subject__std,脑电,0.24578835431433754,0.23919918973314447
eeg_central_beta_power_z_within_subject__median,脑电,-0.11867546063749801,0.38612882408948884
eeg_central_beta_power_z_within_subject__slope,脑电,-0.42460965938448103,0.009099497012205335
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6455516931833176,0.21181805572014373
eeg_central_gamma_power_z_within_subject__std,脑电,0.30324048783449975,0.24920812379648632
eeg_central_gamma_power_z_within_subject__median,脑电,-0.22098473488441783,0.3772570879250126
eeg_central_gamma_power_z_within_subject__slope,脑电,0.14567586856353232,0.00886759488971725
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6657654736634586,0.23497584199240307
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5910293137640528,0.2794784700307956
eeg_central_theta_alpha_z_within_subject__median,脑电,0.1711869325786114,0.37470656554605686
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.12042339297399174,0.010156127035191016
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6082381652109375,0.22762909339964185
eeg_central_beta_alpha_z_within_subject__std,脑电,0.12201332836825529,0.23446381029934912
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.10702234656013765,0.3872112356920061
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.3815921204303725,0.009690053056932352
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.8598292526986528,0.223773098665807
eeg_parietal_delta_power_z_within_subject__std,脑电,0.20791522793692807,0.24875732270540998
eeg_parietal_delta_power_z_within_subject__median,脑电,0.5861525113176265,0.358928395750976
eeg_parietal_delta_power_z_within_subject__slope,脑电,0.18998701994868294,0.009917988711500963
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.84475184838337,0.231518163857297
eeg_parietal_theta_power_z_within_subject__std,脑电,0.3078204139449092,0.2210101746922372
eeg_parietal_theta_power_z_within_subject__median,脑电,0.5736624562556415,0.37505334130511486
eeg_parietal_theta_power_z_within_subject__slope,脑电,-3.482356339364788,0.010585277454030992
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6742286000994282,0.288484907346966
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.07539195814752908,0.25535591468097857
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.076807740692861,0.5034617995585245
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-2.4769951810998303,0.01082582785100747
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.6198693492534342,0.28167274934658504
eeg_parietal_beta_power_z_within_subject__std,脑电,0.10443769958718996,0.24225108804446263
eeg_parietal_beta_power_z_within_subject__median,脑电,0.04871843408992893,0.46917279824982405
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.5042450338207762,0.01187468082972552
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.5771814601303045,0.25820191012925764
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.10976700524211924,0.24764404976160453
eeg_parietal_gamma_power_z_within_subject__median,脑电,-0.008827896163508875,0.420243988571012
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.10430824862475108,0.011289843565404932
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.8218612353454459,0.20802865424568143
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-0.24121489541715535,0.2454893669878765
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.48921639232859493,0.361849026622584
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.30594947819002405,0.009400522938266013
