feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.7619623769792776,0.2598246386763919
eeg_frontal_delta_power_z_within_subject__std,脑电,0.27587413129248795,0.2445377443124918
eeg_frontal_delta_power_z_within_subject__median,脑电,0.4238423007887713,0.4053671054983986
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.002186360172281576,0.013686190937732887
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8616688310379931,0.2240152774647728
eeg_frontal_theta_power_z_within_subject__std,脑电,0.2616980961172104,0.21638544788267583
eeg_frontal_theta_power_z_within_subject__median,脑电,0.7008944505675845,0.31097286580748146
eeg_frontal_theta_power_z_within_subject__slope,脑电,-1.3949006774150163,0.012411651138597058
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7668661400483832,0.30215954120451305
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.1557705732493575,0.2053594386186647
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.3897836228342829,0.48900959134599054
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-7.896397526137866,0.014254086142843219
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.42830279211732325,0.34929398312059184
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.5836678043209513,0.2685615352646136
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.27918558913872293,0.5345860455409137
eeg_frontal_beta_power_z_within_subject__slope,脑电,-3.504008775772121,0.01789129538493654
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.2963872242214718,0.34093037505376167
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.3336294523242469,0.2849185218446195
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.7577374174093947,0.5356343434087475
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-3.4465363537240092,0.018028285909298853
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7244047399298795,0.303547545920116
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.09825442422603226,0.23845956502959215
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.32958007172490933,0.4621092350180145
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.7353214444128382,0.012469351877661903
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.4860021777678404,0.3813494933183005
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.7307290581076451,0.26758900261272306
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.20190246037467885,0.6034343938882597
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.3768379164017972,0.016412432229733803
eeg_central_delta_power_z_within_subject__mean,脑电,0.7861746447330065,0.22282552048524373
eeg_central_delta_power_z_within_subject__std,脑电,0.42854993815635134,0.22726629192343026
eeg_central_delta_power_z_within_subject__median,脑电,0.4438397286727802,0.3555580533063962
eeg_central_delta_power_z_within_subject__slope,脑电,0.5233649131321767,0.010063351797941818
eeg_central_theta_power_z_within_subject__mean,脑电,0.7985184213002545,0.2325662018353134
eeg_central_theta_power_z_within_subject__std,脑电,0.09362177072786071,0.22033948174102028
eeg_central_theta_power_z_within_subject__median,脑电,0.5297871647161696,0.3572269094122315
eeg_central_theta_power_z_within_subject__slope,脑电,-0.18682014594069196,0.00955204753266256
eeg_central_alpha_power_z_within_subject__mean,脑电,0.4059945940030656,0.3004301781145479
eeg_central_alpha_power_z_within_subject__std,脑电,-0.23349734523381804,0.27867212430234295
eeg_central_alpha_power_z_within_subject__median,脑电,-0.8339960498918038,0.5151114830455937
eeg_central_alpha_power_z_within_subject__slope,脑电,-6.696195608301541,0.013480941202639578
eeg_central_beta_power_z_within_subject__mean,脑电,-0.05171929163251776,0.33543324572597244
eeg_central_beta_power_z_within_subject__std,脑电,-0.2610394750263585,0.2957311836512724
eeg_central_beta_power_z_within_subject__median,脑电,-2.2176093793415963,0.5395767051219871
eeg_central_beta_power_z_within_subject__slope,脑电,-10.008753801146959,0.01761692342649043
eeg_central_gamma_power_z_within_subject__mean,脑电,-0.06062998874725167,0.30244082872562106
eeg_central_gamma_power_z_within_subject__std,脑电,-0.0521839918676168,0.2990840171499694
eeg_central_gamma_power_z_within_subject__median,脑电,-2.705471560621549,0.5122928424298431
eeg_central_gamma_power_z_within_subject__slope,脑电,-5.502717546842405,0.016361540543456492
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.43470166408413724,0.316534229126552
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.6468307357352097,0.29125183035740976
eeg_central_theta_alpha_z_within_subject__median,脑电,-0.25328056388635045,0.4331532681231875
eeg_central_theta_alpha_z_within_subject__slope,脑电,-1.4085260956485022,0.014448036227602046
eeg_central_beta_alpha_z_within_subject__mean,脑电,-0.2329687195545398,0.3484256728907247
eeg_central_beta_alpha_z_within_subject__std,脑电,-0.46085641575465286,0.2731749688222925
eeg_central_beta_alpha_z_within_subject__median,脑电,-2.636397613843967,0.5790564500658907
eeg_central_beta_alpha_z_within_subject__slope,脑电,-9.379764198872838,0.017925859062284125
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.8055340701860363,0.25728328754736285
eeg_parietal_delta_power_z_within_subject__std,脑电,0.25717899573881386,0.2696170080323054
eeg_parietal_delta_power_z_within_subject__median,脑电,0.41814181410718854,0.4151419484577847
eeg_parietal_delta_power_z_within_subject__slope,脑电,0.13804469693539034,0.01147193900262573
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.8483812490497101,0.23839637712910605
eeg_parietal_theta_power_z_within_subject__std,脑电,0.3733427298422405,0.2121469932587331
eeg_parietal_theta_power_z_within_subject__median,脑电,0.7016530960295932,0.3152884688671096
eeg_parietal_theta_power_z_within_subject__slope,脑电,-2.2099749560613344,0.010232184700016068
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.4638788281835794,0.3599854891792088
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.15703130092217243,0.2669283875910705
eeg_parietal_alpha_power_z_within_subject__median,脑电,-0.41674740952230116,0.5742958203867408
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-9.56628748830388,0.016142151486553784
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.39975589515386867,0.32836902340382323
eeg_parietal_beta_power_z_within_subject__std,脑电,-0.12267370060478822,0.2665428974965137
eeg_parietal_beta_power_z_within_subject__median,脑电,-0.1695445972339742,0.44357452724805735
