feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6990378547143642,0.2813730202069563
eeg_frontal_delta_power_z_within_subject__std,脑电,0.2816962215707213,0.2397301752435896
eeg_frontal_delta_power_z_within_subject__median,脑电,0.2591116887379926,0.44905416511959795
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.3804641201160156,0.013325102576041034
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7134075031947456,0.3478217487150284
eeg_frontal_theta_power_z_within_subject__std,脑电,0.15906424252638285,0.23925208306311227
eeg_frontal_theta_power_z_within_subject__median,脑电,0.22868623600291915,0.561528218522693
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.6970357884657861,0.01564617368291459
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7190431733573741,0.3285497620112936
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.26712921028070546,0.23093387939756843
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.24136235931859562,0.5717078789091457
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-2.5957219275576664,0.01282690117501601
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.664654007743523,0.3231789790123157
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.19034308107840725,0.24875320223611608
eeg_frontal_beta_power_z_within_subject__median,脑电,0.17218254750493367,0.5221089638058053
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.12402678456279426,0.013807289648477671
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6616430888417156,0.28430298625100775
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.10114814491213941,0.25999088543109916
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.1368211813675052,0.4907567711918583
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.11631341846448295,0.01270279491695795
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.727880773358283,0.27632770688903197
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.08093381028610325,0.25727953200412407
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.1791232738108931,0.4618981360905493
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.4822552219913352,0.011159688536470617
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6688718536946467,0.3344370806201961
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.26760260884406684,0.2491385831981487
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.1637640722559639,0.5365932742319012
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.10763217506214873,0.014466380746460252
eeg_central_delta_power_z_within_subject__mean,脑电,0.7229692820910306,0.2481626548889089
eeg_central_delta_power_z_within_subject__std,脑电,0.33905106392297235,0.23927360939977776
eeg_central_delta_power_z_within_subject__median,脑电,0.2666899601289753,0.4146779253292894
eeg_central_delta_power_z_within_subject__slope,脑电,0.46347047276527975,0.011556923903524665
eeg_central_theta_power_z_within_subject__mean,脑电,0.6874326204385721,0.28542325435082183
eeg_central_theta_power_z_within_subject__std,脑电,-0.18421212741578352,0.2524836612611245
eeg_central_theta_power_z_within_subject__median,脑电,0.18232571959557564,0.4644444104434576
eeg_central_theta_power_z_within_subject__slope,脑电,-1.1147090997155527,0.012044832357759792
eeg_central_alpha_power_z_within_subject__mean,脑电,0.7056245949530042,0.22000605889822206
eeg_central_alpha_power_z_within_subject__std,脑电,-0.07263831516532782,0.24461676241578614
eeg_central_alpha_power_z_within_subject__median,脑电,0.11120476854435979,0.39111055591415883
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.2755378759297984,0.007926965826627922
eeg_central_beta_power_z_within_subject__mean,脑电,0.674065157259464,0.2254549345554955
eeg_central_beta_power_z_within_subject__std,脑电,0.25150720471264576,0.23212210564667635
eeg_central_beta_power_z_within_subject__median,脑电,-0.08841910096444039,0.4014416623962044
eeg_central_beta_power_z_within_subject__slope,脑电,-0.1347396792159299,0.008989226276802556
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6760093112638457,0.21053225931773806
eeg_central_gamma_power_z_within_subject__std,脑电,0.29851296858706067,0.24687986673857346
eeg_central_gamma_power_z_within_subject__median,脑电,-0.16448838233281582,0.3851201610692424
eeg_central_gamma_power_z_within_subject__slope,脑电,0.3244932205267045,0.008940987773129445
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6166002384754812,0.24574746968872327
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.5099160807062271,0.2741052300541756
eeg_central_theta_alpha_z_within_subject__median,脑电,0.005736016518242182,0.38871779386984234
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.0038931970808027128,0.009680748963316914
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6456457430572808,0.226586653809022
eeg_central_beta_alpha_z_within_subject__std,脑电,0.10375957256115265,0.23910297392113067
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.040847413705990654,0.3929755471576219
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.13521581444902653,0.009399309656127331
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.7322158403341693,0.2872118850414113
eeg_parietal_delta_power_z_within_subject__std,脑电,0.17548413109398775,0.2600887299223172
eeg_parietal_delta_power_z_within_subject__median,脑电,0.20261475583536404,0.5071425272350136
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.1765887101159207,0.013031935093114868
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7268715333557039,0.31703085622575333
eeg_parietal_theta_power_z_within_subject__std,脑电,0.20821654805720513,0.2416852286022532
eeg_parietal_theta_power_z_within_subject__median,脑电,0.19933674908201526,0.5386859025632703
eeg_parietal_theta_power_z_within_subject__slope,脑电,-4.508331212230156,0.01419401556655856
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6983151609080037,0.2701498077756468
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.10066021476885356,0.25342532526791695
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.18599431010930323,0.4481741753302273
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-2.6886109145697126,0.010053968421143386
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.657065242537836,0.26306923426460566
eeg_parietal_beta_power_z_within_subject__std,脑电,0.09137321401222886,0.23989134022217184
eeg_parietal_beta_power_z_within_subject__median,脑电,0.11594849416378084,0.4496527596772447
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.44403383054076406,0.011416064210788807
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.6254337215402999,0.24308483792524804
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.11607402198425876,0.2449543452871436
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.07577091633320254,0.4266132616966683
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.0299695665072659,0.010879348366755756
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.6858488959475835,0.2822746323077571
eeg_parietal_theta_alpha_z_within_subject__std,脑电,-0.4258545604999302,0.2613132777999288
