feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8342279476298844,0.2187993832250935
eeg_frontal_delta_power_z_within_subject__std,脑电,0.3325103330737731,0.22525644337504735
eeg_frontal_delta_power_z_within_subject__median,脑电,0.7684678561999474,0.26568154937219013
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.4663571615656993,0.011149397029653715
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8675684676648168,0.2431664434669583
eeg_frontal_theta_power_z_within_subject__std,脑电,0.32097345046752723,0.1992072040533171
eeg_frontal_theta_power_z_within_subject__median,脑电,0.8383682185410841,0.2718942850053544
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.09874398463323719,0.011815108680573736
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8808681993150795,0.21277270180796826
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.0967458022732105,0.19688429262628093
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.8428445730181318,0.2656355666101019
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.29474144421427084,0.008227362545933942
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.8248349746444471,0.2327198609216127
eeg_frontal_beta_power_z_within_subject__std,脑电,0.004889703238247778,0.22012040070745278
eeg_frontal_beta_power_z_within_subject__median,脑电,0.7436273259342981,0.3013163955420398
eeg_frontal_beta_power_z_within_subject__slope,脑电,0.38565143284942394,0.009480402735341767
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.808214381004581,0.2174663132828573
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.010894760454454477,0.24035235241413563
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.7068155065022838,0.2919099649782895
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.48387310282244067,0.00952470957742013
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.856932208322989,0.22774989843783816
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.07419959860049885,0.23645200500530905
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.7373687636626219,0.28552217839863786
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.302460365974758,0.010306129702450654
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.8284644804927547,0.2486496308281104
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.08711713626852702,0.2090835878461923
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.7114390672880126,0.3076111539392552
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,0.38442368107024805,0.0104435016900854
eeg_central_delta_power_z_within_subject__mean,脑电,0.8295873356955114,0.20405265613533252
eeg_central_delta_power_z_within_subject__std,脑电,0.3494828485290491,0.21918078646971417
eeg_central_delta_power_z_within_subject__median,脑电,0.7282870504071887,0.25998788927520455
eeg_central_delta_power_z_within_subject__slope,脑电,0.6199449255968663,0.010346035951851372
eeg_central_theta_power_z_within_subject__mean,脑电,0.7955002270285589,0.23855468837597602
eeg_central_theta_power_z_within_subject__std,脑电,-0.17097267076674427,0.23212520674622136
eeg_central_theta_power_z_within_subject__median,脑电,0.6411939258868868,0.3220742872330697
eeg_central_theta_power_z_within_subject__slope,脑电,-0.7436367242252184,0.011048860257273375
eeg_central_alpha_power_z_within_subject__mean,脑电,0.7840282411951114,0.19181302246294818
eeg_central_alpha_power_z_within_subject__std,脑电,-0.03436660528901836,0.2436241991517961
eeg_central_alpha_power_z_within_subject__median,脑电,0.5524105365885077,0.27412184311733784
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.5145852908549884,0.007209745051495496
eeg_central_beta_power_z_within_subject__mean,脑电,0.7803646436223984,0.18479933599125165
eeg_central_beta_power_z_within_subject__std,脑电,0.3069203918112354,0.22111861318480022
eeg_central_beta_power_z_within_subject__median,脑电,0.523652306678432,0.26417129818301743
eeg_central_beta_power_z_within_subject__slope,脑电,0.3739993167983381,0.007408974313610938
eeg_central_gamma_power_z_within_subject__mean,脑电,0.7813880820172683,0.17040979655246688
eeg_central_gamma_power_z_within_subject__std,脑电,0.3517225029953801,0.22966364864408537
eeg_central_gamma_power_z_within_subject__median,脑电,0.5414571656907297,0.24086807064893265
eeg_central_gamma_power_z_within_subject__slope,脑电,0.6418889880897957,0.007172659998384872
