feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6986420982395338,0.28246610807757
eeg_frontal_delta_power_z_within_subject__std,脑电,0.2869337001140432,0.24012507005511396
eeg_frontal_delta_power_z_within_subject__median,脑电,0.25431835261097024,0.45077736312156996
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.38733673906676147,0.013335639600653459
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.7146436583640804,0.3466061623650264
eeg_frontal_theta_power_z_within_subject__std,脑电,0.1671322235887155,0.23665981130005992
eeg_frontal_theta_power_z_within_subject__median,脑电,0.2451963960980127,0.551842953359804
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.7192202416645628,0.015637762292221427
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7208642080286933,0.3309849264632383
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.25759445671865655,0.23038265699535293
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.27631681909575023,0.5598338708444313
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-2.5769414190076576,0.012907432256971557
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6685812000132689,0.3231566912094116
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.16685975355415317,0.24628987947001382
eeg_frontal_beta_power_z_within_subject__median,脑电,0.17855422298379875,0.5238476343060364
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.11654463080877964,0.013723944773570022
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6641852939382639,0.2826060774957678
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.09064458360739591,0.2585029514412376
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.14791569771458457,0.4891182495069084
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.11780643104878141,0.012596817269465207
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7317611334936165,0.2731941791186898
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.08481871413906927,0.2586909587705132
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.2116416665343852,0.44966061422046827
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.5112704442259342,0.01103408544524744
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6695711914863435,0.33344281587894664
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.2541791889030873,0.24712723247019977
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.15690643947321314,0.5370890596357484
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.10970507665689855,0.01435641884122974
eeg_central_delta_power_z_within_subject__mean,脑电,0.7247081605323272,0.24617388177293378
eeg_central_delta_power_z_within_subject__std,脑电,0.339849633288987,0.23788405048626965
eeg_central_delta_power_z_within_subject__median,脑电,0.2793832502800767,0.4071201292440365
eeg_central_delta_power_z_within_subject__slope,脑电,0.46308844152959483,0.011538765556077742
eeg_central_theta_power_z_within_subject__mean,脑电,0.6892534150211626,0.28481413832256797
eeg_central_theta_power_z_within_subject__std,脑电,-0.18714698970266297,0.2518805125673844
eeg_central_theta_power_z_within_subject__median,脑电,0.21802133384672961,0.45364255736831294
eeg_central_theta_power_z_within_subject__slope,脑电,-1.1328821672687703,0.012146604761384974
eeg_central_alpha_power_z_within_subject__mean,脑电,0.7070920643800881,0.21751885585078867
eeg_central_alpha_power_z_within_subject__std,脑电,-0.06703312620875757,0.24273899321253006
eeg_central_alpha_power_z_within_subject__median,脑电,0.1455175369481514,0.38226877912556917
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.3227600792552776,0.00794217183187962
eeg_central_beta_power_z_within_subject__mean,脑电,0.6790200555735604,0.2224913061517007
eeg_central_beta_power_z_within_subject__std,脑电,0.2541027593705547,0.23157305198047778
eeg_central_beta_power_z_within_subject__median,脑电,-0.06712466818094232,0.3976434517899458
eeg_central_beta_power_z_within_subject__slope,脑电,-0.1264531124754522,0.008886962141668269
eeg_central_gamma_power_z_within_subject__mean,脑电,0.679656644229918,0.20800859831857105
eeg_central_gamma_power_z_within_subject__std,脑电,0.29926990151168387,0.24627130078248008
eeg_central_gamma_power_z_within_subject__median,脑电,-0.1425784120863438,0.37869183445652627
eeg_central_gamma_power_z_within_subject__slope,脑电,0.3241231572971214,0.008883708221436347
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.6215894476973518,0.24373099746023186
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.507747568599995,0.2746017944272048
eeg_central_theta_alpha_z_within_subject__median,脑电,0.04302668912161134,0.3812100227900623
eeg_central_theta_alpha_z_within_subject__slope,脑电,0.015806304537578697,0.009587814040181154
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.6434216943265919,0.2267363522495651
eeg_central_beta_alpha_z_within_subject__std,脑电,0.10488944732556116,0.23852663125823548
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.051024251529130815,0.39607439319036597
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.14100732838152052,0.00946011496638511
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.730518532997072,0.28928984289475573
eeg_parietal_delta_power_z_within_subject__std,脑电,0.17430109143885686,0.2626900385040855
eeg_parietal_delta_power_z_within_subject__median,脑电,0.21340493614912803,0.4991532283059289
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.18214287996550182,0.013029932177304339
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7241461154213962,0.3217480766294257
