feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.8119758905575654,0.23420787995617007
eeg_frontal_delta_power_z_within_subject__std,脑电,0.35036438556909,0.2261987563616602
eeg_frontal_delta_power_z_within_subject__median,脑电,0.6695639508553842,0.31627942626374556
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.4893207380001874,0.011516734504684514
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.8542876646245905,0.25348007408760875
eeg_frontal_theta_power_z_within_subject__std,脑电,0.30720693447181624,0.2005582917949835
eeg_frontal_theta_power_z_within_subject__median,脑电,0.7649402823355494,0.3189452687523741
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.10331780476124597,0.01209457307141733
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8668922198607594,0.23138057011526122
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.0545562962888364,0.20157886551091075
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.787635030774717,0.31322897996789034
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.24990295458160672,0.008517122130779618
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.80981696999628,0.24923894320665163
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.018218058681432447,0.22563525967834522
eeg_frontal_beta_power_z_within_subject__median,脑电,0.6721392260556518,0.34206736373236213
eeg_frontal_beta_power_z_within_subject__slope,脑电,0.4304877450554614,0.010334775520870865
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.7848949289170849,0.2335209789985166
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.04433227405972495,0.24928666647714331
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.6045223883713541,0.33522785252691767
eeg_frontal_gamma_power_z_within_subject__slope,脑电,0.48856553194885044,0.010168808528752508
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.8434059305611488,0.23569270352213634
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.05063555657603347,0.24401409689672374
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.655530646183142,0.32107755563109147
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.353836277826723,0.01044498375749245
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.811988375396665,0.2618165003436146
