feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.555834008565345,0.26302174737058187
eeg_frontal_delta_power_z_within_subject__std,脑电,0.20926422566564185,0.25793170142465555
eeg_frontal_delta_power_z_within_subject__median,脑电,0.2771489698314169,0.2098934236615957
eeg_frontal_delta_power_z_within_subject__slope,脑电,0.0036238778902345503,0.021985697090896983
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.821747553179698,0.25313188483364596
eeg_frontal_theta_power_z_within_subject__std,脑电,0.2541861206435464,0.1951236401725379
eeg_frontal_theta_power_z_within_subject__median,脑电,0.8403627649371087,0.21462297424941074
eeg_frontal_theta_power_z_within_subject__slope,脑电,-2.881325938846646,0.023326928677642893
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.8361767307362881,0.25262357402266966
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.20943700728142955,0.1698197148642714
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.8374268110243376,0.24669394430100133
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-17.60987994862519,0.028626227728778493
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.519200256148606,0.38894817815109634
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.21485424657295682,0.2370157417100492
eeg_frontal_beta_power_z_within_subject__median,脑电,0.3990917122321307,0.4112158743892373
eeg_frontal_beta_power_z_within_subject__slope,脑电,-3.65692981914294,0.02896396148609823
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.4747828033472684,0.35032373078761825
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.23379481496687027,0.2642625860910279
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.3786791021137679,0.3419520672181444
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-3.0072033479149285,0.03041219723887108
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.7516122177871275,0.28393013368438297
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.2671784360154835,0.19488807497080385
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.7424451643811335,0.26527663320465256
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-5.745805116032579,0.028251825948528986
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.5301211388445415,0.40300447080442
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.06232299012922671,0.19345636033416422
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.4323544964002246,0.41956482586239907
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-2.6995834842951325,0.030528984661049714
eeg_central_delta_power_z_within_subject__mean,脑电,0.3685143497864092,0.3228441838078393
eeg_central_delta_power_z_within_subject__std,脑电,0.21168092268562455,0.2612648812840146
eeg_central_delta_power_z_within_subject__median,脑电,-0.001989081407485216,0.2752961611790774
eeg_central_delta_power_z_within_subject__slope,脑电,-1.4431498966750085,0.029087012252989732
eeg_central_theta_power_z_within_subject__mean,脑电,0.6020868894715217,0.3252445661342018
