feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-0.36004964925200467,0.5995498956920934
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.08532922168767443,0.4118509459416317
eeg_frontal_delta_power_z_within_subject__median,脑电,-0.33983275328721474,0.580007221740524
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.0417620499453113,0.014319392961767078
eeg_frontal_theta_power_z_within_subject__mean,脑电,-0.32601279425006346,0.7518669161456896
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.07364820213549983,0.33015342673250037
eeg_frontal_theta_power_z_within_subject__median,脑电,-0.3362808206406891,0.7251623641862248
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.11761190596720983,0.011865799116197057
eeg_frontal_alpha_power_z_within_subject__mean,脑电,-0.19185494295811378,0.6965812583307774
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.09825212625569058,0.2358196320638457
eeg_frontal_alpha_power_z_within_subject__median,脑电,-0.18498170369963374,0.6955786643662752
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.1860572981550226,0.008224135415933514
eeg_frontal_beta_power_z_within_subject__mean,脑电,-0.11304979872450449,0.5805747580323889
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.029920494486173288,0.2561655658781679
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.10806300613140296,0.5948278726636236
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.09623350906135686,0.013234067588388057
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-0.04056834395761477,0.5162870134485076
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.0009154516629903409,0.2959516919663103
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.026022408665065555,0.5175002543286854
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.06490450578048201,0.01342812934076184
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,-0.18648853783484842,0.5674608956782905
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.04128022131504605,0.25990301590177245
eeg_frontal_theta_alpha_z_within_subject__median,脑电,-0.18971232605022603,0.5408566876946127
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.02811257764269448,0.00941389867282835
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,-0.12244933524866175,0.605025937172257
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.02509471338476943,0.23080734103167677
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.10785310428183581,0.6050963255547421
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.05942925377174135,0.013162223626944641
eeg_central_delta_power_z_within_subject__mean,脑电,-0.11592165387359099,0.5129780159685198
eeg_central_delta_power_z_within_subject__std,脑电,-0.03703530902267915,0.38860714472365643
eeg_central_delta_power_z_within_subject__median,脑电,-0.13741273991327518,0.47647235151886835
eeg_central_delta_power_z_within_subject__slope,脑电,-0.06911557363912091,0.014547909714995862
eeg_central_theta_power_z_within_subject__mean,脑电,-0.06148295198441511,0.5119640480210681
eeg_central_theta_power_z_within_subject__std,脑电,-0.018050919070983884,0.2674981858268148
eeg_central_theta_power_z_within_subject__median,脑电,-0.048901945831911986,0.5114207872940391
eeg_central_theta_power_z_within_subject__slope,脑电,-0.5758953357607779,0.01242479014261422
eeg_central_alpha_power_z_within_subject__mean,脑电,-0.024540782956854912,0.40648849761215156
eeg_central_alpha_power_z_within_subject__std,脑电,-0.011203330666059053,0.25964376363129976
eeg_central_alpha_power_z_within_subject__median,脑电,-0.03832282451353253,0.3928976357547756
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.2477510969770058,0.008361207226207435
eeg_central_beta_power_z_within_subject__mean,脑电,-0.013894933764018402,0.38503963000512353
eeg_central_beta_power_z_within_subject__std,脑电,-0.05133678580611223,0.3073552300141072
eeg_central_beta_power_z_within_subject__median,脑电,-0.03975093589908796,0.3763524967606188
eeg_central_beta_power_z_within_subject__slope,脑电,-0.20128071875712084,0.011407055582284704
eeg_central_gamma_power_z_within_subject__mean,脑电,-0.019534669787348635,0.3619953549958908
eeg_central_gamma_power_z_within_subject__std,脑电,0.013692846440464534,0.35532508432588705
eeg_central_gamma_power_z_within_subject__median,脑电,-0.036021553255360494,0.3301442386521067
eeg_central_gamma_power_z_within_subject__slope,脑电,-0.13454635145060645,0.011667336520822894
eeg_central_theta_alpha_z_within_subject__mean,脑电,-0.05952520930646821,0.4224299369060861
eeg_central_theta_alpha_z_within_subject__std,脑电,0.06276065752450355,0.20593478772698953
eeg_central_theta_alpha_z_within_subject__median,脑电,-0.05397461994529129,0.405200867920484
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.27515267660616405,0.012965285507534344
eeg_central_beta_alpha_z_within_subject__mean,脑电,-0.04568570565849761,0.3782166300817112
eeg_central_beta_alpha_z_within_subject__std,脑电,0.018226714539347877,0.2500881664346894
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.039621008350222864,0.38763793729183554
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.15132068214859173,0.01089959924911427
eeg_parietal_delta_power_z_within_subject__mean,脑电,-0.20872112976853718,0.611477902767964
eeg_parietal_delta_power_z_within_subject__std,脑电,-0.0889670603966739,0.36295994599853915
eeg_parietal_delta_power_z_within_subject__median,脑电,-0.19118502346473631,0.5926378775222825
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.18448645205691383,0.010950822619153987
eeg_parietal_theta_power_z_within_subject__mean,脑电,-0.14922806438715286,0.6345848483764437
eeg_parietal_theta_power_z_within_subject__std,脑电,0.023551146688534308,0.30884030868412293
eeg_parietal_theta_power_z_within_subject__median,脑电,-0.13579929758728526,0.6150859694895574
eeg_parietal_theta_power_z_within_subject__slope,脑电,-0.21998517719008714,0.00895464383447405
eeg_parietal_alpha_power_z_within_subject__mean,脑电,-0.09170697666126681,0.5092262525810806
eeg_parietal_alpha_power_z_within_subject__std,脑电,0.004640918633515567,0.26596089703522047
eeg_parietal_alpha_power_z_within_subject__median,脑电,-0.08431297379658731,0.49333137027396085
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-0.2799852882155247,0.007905923905864294
eeg_parietal_beta_power_z_within_subject__mean,脑电,-0.029972178775680813,0.44808759463856174
eeg_parietal_beta_power_z_within_subject__std,脑电,0.00297722031286185,0.26529868189355127
eeg_parietal_beta_power_z_within_subject__median,脑电,-0.050100591703758246,0.44822713546052256
eeg_parietal_beta_power_z_within_subject__slope,脑电,-0.07859632176668785,0.011580846071526412
eeg_parietal_gamma_power_z_within_subject__mean,脑电,-0.043062994419252876,0.40099816644560793
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.03716173946842205,0.29638043165127276
eeg_parietal_gamma_power_z_within_subject__median,脑电,-0.05583089820408005,0.4149815453474125
eeg_parietal_gamma_power_z_within_subject__slope,脑电,-0.0856339074639052,0.013900304585581303
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,-0.0938205158928187,0.5138597104051086
eeg_parietal_theta_alpha_z_within_subject__std,脑电,0.07693757212413654,0.2077790195054455
eeg_parietal_theta_alpha_z_within_subject__median,脑电,-0.09326294071268526,0.5115940010305439
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,-0.10623067488938731,0.010648761657501017
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,-0.03175114061491868,0.39720297637105173
eeg_parietal_beta_alpha_z_within_subject__std,脑电,-0.0543521252859982,0.22807805590783087
eeg_parietal_beta_alpha_z_within_subject__median,脑电,-0.050588039724495104,0.3839812742982271
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,-0.10071295546020109,0.012121254813711343
eeg_occipital_delta_power_z_within_subject__mean,脑电,-0.18470031407993615,0.4817599065842396
eeg_occipital_delta_power_z_within_subject__std,脑电,-0.10226211712401301,0.34135608264757267
eeg_occipital_delta_power_z_within_subject__median,脑电,-0.15731600870980023,0.42525802505347343
eeg_occipital_delta_power_z_within_subject__slope,脑电,-0.09608572298289109,0.011643720009853798
eeg_occipital_theta_power_z_within_subject__mean,脑电,-0.1021851759545942,0.4741348678848363
eeg_occipital_theta_power_z_within_subject__std,脑电,-0.08300474653113943,0.22054047424104986
eeg_occipital_theta_power_z_within_subject__median,脑电,-0.0949033382100013,0.44299012673535754
eeg_occipital_theta_power_z_within_subject__slope,脑电,-0.9415272480220704,0.013588634540396194
eeg_occipital_alpha_power_z_within_subject__mean,脑电,-0.012922420973056958,0.5212094067774714
eeg_occipital_alpha_power_z_within_subject__std,脑电,-0.09332192110951398,0.21846507863213907
eeg_occipital_alpha_power_z_within_subject__median,脑电,-0.027459588035623428,0.5521942397182054
eeg_occipital_alpha_power_z_within_subject__slope,脑电,-0.6034937191554808,0.01435288838892042
eeg_occipital_beta_power_z_within_subject__mean,脑电,-0.033892095872753325,0.5474085415065586
eeg_occipital_beta_power_z_within_subject__std,脑电,-0.07506836879051115,0.22499444299461338
eeg_occipital_beta_power_z_within_subject__median,脑电,-0.043246151301198354,0.5697583472420855
eeg_occipital_beta_power_z_within_subject__slope,脑电,-0.35069234337357424,0.01571191273912433
eeg_occipital_gamma_power_z_within_subject__mean,脑电,-0.04723996212077952,0.5549251085186464
eeg_occipital_gamma_power_z_within_subject__std,脑电,-0.07181291316229754,0.237248402580709
eeg_occipital_gamma_power_z_within_subject__median,脑电,-0.05479718351569618,0.5719739106467961
eeg_occipital_gamma_power_z_within_subject__slope,脑电,-0.3097687441442192,0.015710064063583662
eeg_occipital_theta_alpha_z_within_subject__mean,脑电,-0.06318627314409242,0.5040754369889102
eeg_occipital_theta_alpha_z_within_subject__std,脑电,-0.05846740704723308,0.19775335327052784
eeg_occipital_theta_alpha_z_within_subject__median,脑电,-0.064403168612432,0.49489584839514317
eeg_occipital_theta_alpha_z_within_subject__slope,脑电,-0.31448037842410526,0.011073820306416425
eeg_occipital_beta_alpha_z_within_subject__mean,脑电,-0.10921666064639868,0.3363948861125019
eeg_occipital_beta_alpha_z_within_subject__std,脑电,-0.014823955733068717,0.16402617165415895
eeg_occipital_beta_alpha_z_within_subject__median,脑电,-0.09657302658215206,0.33990507653330176
eeg_occipital_beta_alpha_z_within_subject__slope,脑电,0.08301103182800884,0.009835494844142758
hr_mean__mean,心率,-0.0030513337057236356,6.859051163893271
hr_mean__std,心率,-0.0807608261689885,0.9112665856084674
hr_mean__median,心率,-0.004713441164501786,6.746039192068647
hr_mean__slope,心率,-0.00806286108905252,0.038878184837235596
hr_std__mean,心率,-0.0806038286548525,0.45850658094446667
hr_std__std,心率,-0.1312147332858009,0.29714209098284294
hr_std__median,心率,-0.07746891278704782,0.43491830812566407
hr_std__slope,心率,-0.10215788107415724,0.0141883136198343
hr_min__mean,心率,-0.00638337018477797,6.74051368412921
hr_min__std,心率,-0.09620333933179559,0.8157652338456306
hr_min__median,心率,-0.011846638406968424,6.688506074583878
hr_min__slope,心率,-0.0404358873366506,0.03592641421222903
hr_max__mean,心率,0.00046627622160555493,7.0737500705871454
hr_max__std,心率,-0.04647868469842553,1.0844864623600659
hr_max__median,心率,0.001114513217516655,7.0055854438703715
hr_max__slope,心率,0.0028762581818273514,0.04693359641798722
hr_slope_bpm_per_min__mean,心率,-0.009949465271573255,1.1183468871400037
hr_slope_bpm_per_min__std,心率,-0.18040602073732237,3.123287976484558
hr_slope_bpm_per_min__median,心率,0.01959898136936744,1.2577569740125507
hr_slope_bpm_per_min__slope,心率,-3.707362642931437,0.22214090873334677
eye_pupil_filtered_mean__mean,眼动,-0.0867212714809269,0.18655687540810317
eye_pupil_filtered_mean__std,眼动,-0.01364105432810514,0.02409338146367419
eye_pupil_filtered_mean__median,眼动,-0.09191657968309275,0.18595746937722227
eye_pupil_filtered_mean__slope,眼动,-0.224236234396614,0.0011705435063504
eye_pupil_filtered_std__mean,眼动,0.08010034911660557,0.034843124802938844
eye_pupil_filtered_std__std,眼动,-0.03765769396925811,0.011810817920160772
eye_pupil_filtered_std__median,眼动,0.08999070946470089,0.0358469120396149
eye_pupil_filtered_std__slope,眼动,-0.2991545943887486,0.0006375600024392266
eye_valid_ratio__mean,眼动,0.06128296004542433,0.0483078517599078
eye_valid_ratio__std,眼动,0.04809477827514996,0.026860848372113968
eye_valid_ratio__median,眼动,0.05753010114437329,0.04560502187761326
eye_valid_ratio__slope,眼动,-0.1378658183355168,0.000654677243829798
eye_fixation_ratio__mean,眼动,0.15631014097380724,0.04877610108312909
eye_fixation_ratio__std,眼动,0.08112213201814067,0.016628838469576246
eye_fixation_ratio__median,眼动,0.15726250056460922,0.04742987028408198
eye_fixation_ratio__slope,眼动,-0.28127879218966023,0.0005177982629248922
eye_saccade_ratio__mean,眼动,0.17187251041866236,0.022918868014662936
eye_saccade_ratio__std,眼动,0.012292521145947366,0.007349633902777346
eye_saccade_ratio__median,眼动,0.17038815786239558,0.022781122658498652
eye_saccade_ratio__slope,眼动,-0.5396908899692485,0.0003177388287083939
eye_eyes_not_found_ratio__mean,眼动,0.03716024275026664,0.013498705811459906
eye_eyes_not_found_ratio__std,眼动,0.01520679974820327,0.009897382623709513
eye_eyes_not_found_ratio__median,眼动,0.04925883017321819,0.011673285716435956
eye_eyes_not_found_ratio__slope,眼动,-0.06136148624803006,0.0002592787378818063
eye_aoi_interval_n__mean,眼动,0.27129771977705097,1.9538069214245124
eye_aoi_interval_n__std,眼动,0.17411392691560357,1.0521614758003774
eye_aoi_interval_n__median,眼动,0.24353056702426668,2.3166289508503133
eye_aoi_interval_n__slope,眼动,0.03433083329595854,0.042845721286173956
eye_aoi_unique_hit_n__mean,眼动,0.46314998857322986,0.5017635769412502
eye_aoi_unique_hit_n__std,眼动,0.1208697327940994,0.3142313147944232
eye_aoi_unique_hit_n__median,眼动,0.3326212880155631,0.6599855457740385
eye_aoi_unique_hit_n__slope,眼动,0.05368056649973263,0.01956692516793444
eye_aoi_total_fix_ms__mean,眼动,0.6931438337361336,553.69340367249
eye_aoi_total_fix_ms__std,眼动,0.2994158865233968,589.5141169042995
eye_aoi_total_fix_ms__median,眼动,0.7482476613019657,517.5409079731236
eye_aoi_total_fix_ms__slope,眼动,0.03655102419987166,29.399086891622908
eye_aoi_fixation_n__mean,眼动,0.38642280048388833,1.3923303487481793
eye_aoi_fixation_n__std,眼动,0.17075071795582308,1.0377871278371982
eye_aoi_fixation_n__median,眼动,0.42029601787183635,1.2972854779462966
eye_aoi_fixation_n__slope,眼动,0.06397900468055295,0.03818105044152396
eye_aoi_fixation_density_per_sec__mean,眼动,0.3710663668495894,0.0477765010300974
eye_aoi_fixation_density_per_sec__std,眼动,0.16283981104704315,0.03490144436343103
eye_aoi_fixation_density_per_sec__median,眼动,0.41708881217973703,0.04381092336045704
eye_aoi_fixation_density_per_sec__slope,眼动,0.06767102290316918,0.0013359399441113052
eye_aoi_coverage_ratio__mean,眼动,0.6816700562804214,0.020123538330412933
eye_aoi_coverage_ratio__std,眼动,0.2878529805889264,0.02027359315496887
eye_aoi_coverage_ratio__median,眼动,0.7298739820688857,0.018302581125946422
eye_aoi_coverage_ratio__slope,眼动,0.047533825182081824,0.0009681153078551588
eye_aoi_max_share__mean,眼动,0.27225792461609943,0.06456473845463652
eye_aoi_max_share__std,眼动,-0.04952301104285972,0.03198787914660803
eye_aoi_max_share__median,眼动,0.2169712080523346,0.08541289010756425
eye_aoi_max_share__slope,眼动,-0.011872328121427023,0.002933992833035676
eye_aoi_entropy__mean,眼动,0.3072971319279818,0.1508990718539388
eye_aoi_entropy__std,眼动,-0.03201339271259673,0.07642114287892188
eye_aoi_entropy__median,眼动,0.24544596301463673,0.17699124997861698
eye_aoi_entropy__slope,眼动,0.029408959305302407,0.005894209894068941
eye_aoi_pupil_weighted_mean__mean,眼动,-0.09093034505175468,0.1885976002430559
eye_aoi_pupil_weighted_mean__std,眼动,0.031071724739175632,0.023714386827663376
eye_aoi_pupil_weighted_mean__median,眼动,-0.08424247262424434,0.18451611611846952
eye_aoi_pupil_weighted_mean__slope,眼动,-0.049055375304568605,0.0010998449380999016
blink_count__mean,眼动,0.018207684462313356,2.868626143364248
blink_count__std,眼动,-0.007157205337204653,1.2038291631405247
blink_count__median,眼动,0.019897141579612865,2.9170038265487923
blink_count__slope,眼动,-0.1419897927121132,0.040369326733261005
blink_rate_per_min__mean,眼动,0.018207684462313356,5.737252286728496
blink_rate_per_min__std,眼动,-0.007157205337204653,2.4076583262810494
blink_rate_per_min__median,眼动,0.019897141579612865,5.834007653097585
blink_rate_per_min__slope,眼动,-0.1419897927121132,0.08073865346652201
blink_duration_mean_ms__mean,眼动,0.05348884987023628,12.28149193630938
blink_duration_mean_ms__std,眼动,-0.00618861853894348,4.869189655682606
blink_duration_mean_ms__median,眼动,0.05415853836080098,12.41404841941566
blink_duration_mean_ms__slope,眼动,-0.3489383873742997,0.24532623955191335
blink_duration_std_ms__mean,眼动,0.024233035665344738,9.339605377777518
blink_duration_std_ms__std,眼动,-0.0702183827230991,6.395741341119423
blink_duration_std_ms__median,眼动,0.011982967401819589,8.335349806037412
blink_duration_std_ms__slope,眼动,-0.2781826549114841,0.2500630004563361
blink_duration_median_ms__mean,眼动,0.060809674924126034,10.509805897823759
blink_duration_median_ms__std,眼动,0.03519480679210929,4.648821753212898
blink_duration_median_ms__median,眼动,0.03649062090291677,11.830983825479295
blink_duration_median_ms__slope,眼动,-0.07345829169898122,0.19483080189566027
blink_total_duration_ratio__mean,眼动,0.033209222928461846,0.010360755284841844
blink_total_duration_ratio__std,眼动,0.00862205968306784,0.005445541986614824
blink_total_duration_ratio__median,眼动,0.026941272727334376,0.010024663953993254
blink_total_duration_ratio__slope,眼动,-0.023460368925618313,0.00013471156001226776
log_action_count_win__mean,行为,0.09081235737965287,1.1007991574954181
log_action_count_win__std,行为,0.022576975065650373,0.7880809249148333
log_action_count_win__median,行为,0.02197579751018075,1.3825205854157299
log_action_count_win__slope,行为,0.1543190787386104,0.048638028141904745
log_unique_device_count_win__mean,行为,0.041245218875321066,0.2156992422977415
log_unique_device_count_win__std,行为,-0.04584223832607437,0.15207308359929236
log_unique_device_count_win__median,行为,-0.03804634425285336,0.36897290663199833
log_unique_device_count_win__slope,行为,0.07253101756037506,0.011200642957296093
log_action_density_win__mean,行为,0.0908123573796531,0.03669330524984725
log_action_density_win__std,行为,0.022576975065649485,0.02626936416382779
log_action_density_win__median,行为,0.02197579751018075,0.04608401951385765
log_action_density_win__slope,行为,0.15431907873861073,0.0016212676047301583
log_correct_action_count_win__mean,行为,0.008222162628304552,0.7852466023613535
log_correct_action_count_win__std,行为,-0.028181725675782143,0.8329456743838267
log_correct_action_count_win__median,行为,-0.0434205323941399,0.5297668138472442
log_correct_action_count_win__slope,行为,0.05287806151118857,0.04189882384834684
log_error_action_count_win__mean,行为,0.09449668526720334,0.4021609056601013
log_error_action_count_win__std,行为,0.07518708969771692,0.6680341401067573
log_error_action_count_win__median,行为,-0.026642940943601312,0.12263497926405338
log_error_action_count_win__slope,行为,-0.02880222176535674,0.01710942859378784
log_duplicate_action_count_win__mean,行为,-0.05489484336877948,0.1948542901421476
log_duplicate_action_count_win__std,行为,-0.04868137639622283,0.5821553202387597
log_duplicate_action_count_win__median,行为,,0.0
log_duplicate_action_count_win__slope,行为,-0.08189614049898108,0.006621913948028425
log_extra_action_count_win__mean,行为,-0.037162086264727945,0.3054540995005799
log_extra_action_count_win__std,行为,-0.06682778844353265,0.621741694675426
log_extra_action_count_win__median,行为,-0.06422137229461056,0.023712064909165807
log_extra_action_count_win__slope,行为,-0.1712632279761972,0.01450002228796458
log_disallowed_action_count_win__mean,行为,0.015033211479669406,0.6935178077621492
log_disallowed_action_count_win__std,行为,-0.005351180501450337,0.8546470387684106
log_disallowed_action_count_win__median,行为,-0.045530549144843,0.3954756426395918
log_disallowed_action_count_win__slope,行为,0.01631119213594745,0.024783104164029422
log_error_rate_win__mean,行为,0.025007771312743565,0.10389038986841483
log_error_rate_win__std,行为,0.03069205146575915,0.09642775652094164
log_error_rate_win__median,行为,-0.045681238379641,0.07122118844680053
log_error_rate_win__slope,行为,-0.006540245390463717,0.0039317319062561525
log_duplicate_rate_win__mean,行为,-0.03438162740406425,0.02957394168867044
log_duplicate_rate_win__std,行为,-0.016411313913341496,0.08816434167964024
log_duplicate_rate_win__median,行为,,0.0
log_duplicate_rate_win__slope,行为,-0.0633576935942799,0.0008090629422740941
log_extra_rate_win__mean,行为,0.0012329527596299794,0.04663870281117202
log_extra_rate_win__std,行为,-0.00906694350739179,0.09774174123411498
log_extra_rate_win__median,行为,-0.06422137229461078,0.0026346738787961996
log_extra_rate_win__slope,行为,-0.19764902123145034,0.0018818463707590282
log_unique_step_count_win__mean,行为,0.050529489482747714,0.23755906976636315
log_unique_step_count_win__std,行为,-0.04111722982555843,0.18461704693989114
log_unique_step_count_win__median,行为,0.001676852138909335,0.36039228233133624
log_unique_step_count_win__slope,行为,0.08733867934114703,0.011425994056251151
