feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,0.6101184845711052,0.313561239059986
eeg_frontal_delta_power_z_within_subject__std,脑电,0.28482521624795853,0.3050673981308754
eeg_frontal_delta_power_z_within_subject__median,脑电,0.534805228717496,0.33702626523389057
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.020461665331237056,0.018650032595082116
eeg_frontal_theta_power_z_within_subject__mean,脑电,0.5943546403232361,0.39353860657668427
eeg_frontal_theta_power_z_within_subject__std,脑电,0.5961693679703066,0.1901940455692239
eeg_frontal_theta_power_z_within_subject__median,脑电,0.6151862286452873,0.3802665813846234
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.5783301423599834,0.015735642210531024
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.7150065690518338,0.3241558410754315
eeg_frontal_alpha_power_z_within_subject__std,脑电,0.46065541763015216,0.1596949781666126
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.7529964616657276,0.3021824790293868
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.3280405577411465,0.00910188797367687
eeg_frontal_beta_power_z_within_subject__mean,脑电,0.6516715540776661,0.31566559521838367
eeg_frontal_beta_power_z_within_subject__std,脑电,0.2872450547728924,0.18577559700727855
eeg_frontal_beta_power_z_within_subject__median,脑电,0.6998431513262648,0.2867495556161033
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.31820362426622206,0.017768948373813587
eeg_frontal_gamma_power_z_within_subject__mean,脑电,0.6135508901031617,0.3021958582903981
eeg_frontal_gamma_power_z_within_subject__std,脑电,0.18651561363478408,0.24077167274035283
eeg_frontal_gamma_power_z_within_subject__median,脑电,0.5888147812526483,0.31866379089133995
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.28776942451959164,0.01814333634484433
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.6996090201947177,0.2946215976915368
eeg_frontal_theta_alpha_z_within_subject__std,脑电,0.22977676571452543,0.22331701586146604
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.6931448172386001,0.28549940498414067
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.6867194703413839,0.012994328574168938
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.6535853914307399,0.33015633913692954
eeg_frontal_beta_alpha_z_within_subject__std,脑电,0.22671351942922713,0.17949467938677374
eeg_frontal_beta_alpha_z_within_subject__median,脑电,0.7022092841985403,0.3052988175390698
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.34650789856111985,0.015577320919995887
eeg_central_delta_power_z_within_subject__mean,脑电,0.6482346117736042,0.27245033210519354
eeg_central_delta_power_z_within_subject__std,脑电,-0.19969652952461914,0.37884281961173927
eeg_central_delta_power_z_within_subject__median,脑电,0.6906649072582272,0.2620916066243357
eeg_central_delta_power_z_within_subject__slope,脑电,-0.12082129818670206,0.016021240550938516
eeg_central_theta_power_z_within_subject__mean,脑电,0.7023588683942037,0.2613558876098814
eeg_central_theta_power_z_within_subject__std,脑电,0.3237795291167861,0.2212078841886207
eeg_central_theta_power_z_within_subject__median,脑电,0.6532154469585425,0.26957579807777393
eeg_central_theta_power_z_within_subject__slope,脑电,-1.6725255344261427,0.014932860328344646
eeg_central_alpha_power_z_within_subject__mean,脑电,0.6502796327229662,0.24212950949969347
eeg_central_alpha_power_z_within_subject__std,脑电,0.35024623670058286,0.19229292958880956
eeg_central_alpha_power_z_within_subject__median,脑电,0.718730153315957,0.20310424351279824
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.21724167667649952,0.007617727391323209
eeg_central_beta_power_z_within_subject__mean,脑电,0.6283263890745603,0.22431885325486883
eeg_central_beta_power_z_within_subject__std,脑电,0.5621733231596933,0.1751408523623888
eeg_central_beta_power_z_within_subject__median,脑电,0.6930062083972084,0.20296669026203057
eeg_central_beta_power_z_within_subject__slope,脑电,0.23673203633018924,0.009825402525477943
eeg_central_gamma_power_z_within_subject__mean,脑电,0.6293348111092313,0.21956826392920087
eeg_central_gamma_power_z_within_subject__std,脑电,0.4623506169225152,0.23799238705481693
eeg_central_gamma_power_z_within_subject__median,脑电,0.6581121675687791,0.1931194416247229
eeg_central_gamma_power_z_within_subject__slope,脑电,0.24183398547096668,0.010680744589447755
eeg_central_theta_alpha_z_within_subject__mean,脑电,0.7944151960317473,0.1894490194649911
eeg_central_theta_alpha_z_within_subject__std,脑电,0.4069214022464517,0.1819247917010938
eeg_central_theta_alpha_z_within_subject__median,脑电,0.7083806696527553,0.19569277842443633
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.2642945937866856,0.012872749487913662
eeg_central_beta_alpha_z_within_subject__mean,脑电,0.5203551420721819,0.259670095190636
eeg_central_beta_alpha_z_within_subject__std,脑电,0.35750935506170345,0.19961087629103813
eeg_central_beta_alpha_z_within_subject__median,脑电,0.6024821972075545,0.22644213010370112
eeg_central_beta_alpha_z_within_subject__slope,脑电,0.10156133383331611,0.010268072486542807
eeg_parietal_delta_power_z_within_subject__mean,脑电,0.8076501777743648,0.260722885516952
eeg_parietal_delta_power_z_within_subject__std,脑电,0.41245925234081726,0.24034478429476513
eeg_parietal_delta_power_z_within_subject__median,脑电,0.8066541298540137,0.25464770666219105
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.18551313097010702,0.011802867982585655
eeg_parietal_theta_power_z_within_subject__mean,脑电,0.7829230567632143,0.26604654392960836
eeg_parietal_theta_power_z_within_subject__std,脑电,0.6349540091238811,0.17904911887254812
eeg_parietal_theta_power_z_within_subject__median,脑电,0.8180041835936525,0.25106775044039115
eeg_parietal_theta_power_z_within_subject__slope,脑电,-0.2902658010316237,0.009115554835939262
eeg_parietal_alpha_power_z_within_subject__mean,脑电,0.6437869270336469,0.2801788110435378
eeg_parietal_alpha_power_z_within_subject__std,脑电,-0.004146261308817012,0.23397441046417866
eeg_parietal_alpha_power_z_within_subject__median,脑电,0.6224251894506645,0.3097222612569955
eeg_parietal_alpha_power_z_within_subject__slope,脑电,-0.3454501535755812,0.008231304746838955
eeg_parietal_beta_power_z_within_subject__mean,脑电,0.7233125891813668,0.23383972647594048
eeg_parietal_beta_power_z_within_subject__std,脑电,0.49616223118369895,0.1695494914150304
eeg_parietal_beta_power_z_within_subject__median,脑电,0.7566548879538395,0.2226928947727356
eeg_parietal_beta_power_z_within_subject__slope,脑电,0.5488881861884802,0.008742326817054223
eeg_parietal_gamma_power_z_within_subject__mean,脑电,0.6639699503614735,0.233620887380602
eeg_parietal_gamma_power_z_within_subject__std,脑电,0.31186542803295847,0.2312050521291164
eeg_parietal_gamma_power_z_within_subject__median,脑电,0.6280485265726695,0.2578473301957536
eeg_parietal_gamma_power_z_within_subject__slope,脑电,0.5741975958999246,0.008989841282566143
eeg_parietal_theta_alpha_z_within_subject__mean,脑电,0.7502271352399105,0.23778718917676742
eeg_parietal_theta_alpha_z_within_subject__std,脑电,0.2594813820841617,0.1920503789398332
eeg_parietal_theta_alpha_z_within_subject__median,脑电,0.6925734062808063,0.26961997439663205
eeg_parietal_theta_alpha_z_within_subject__slope,脑电,0.04547783012028317,0.011767459443037927
eeg_parietal_beta_alpha_z_within_subject__mean,脑电,0.5413408411401753,0.2558884200560181
eeg_parietal_beta_alpha_z_within_subject__std,脑电,0.011070329824558023,0.22251795518512105
eeg_parietal_beta_alpha_z_within_subject__median,脑电,0.4455954567499384,0.2853927011148359
eeg_parietal_beta_alpha_z_within_subject__slope,脑电,0.42141478868783,0.009858540794551757
eeg_occipital_delta_power_z_within_subject__mean,脑电,0.599948744532167,0.29870541126227335
eeg_occipital_delta_power_z_within_subject__std,脑电,0.15919296519636073,0.28924211828291013
eeg_occipital_delta_power_z_within_subject__median,脑电,0.5654900483552163,0.28353830140018577
eeg_occipital_delta_power_z_within_subject__slope,脑电,-1.9193722841885128,0.019738533081819602
eeg_occipital_theta_power_z_within_subject__mean,脑电,0.7545784202986046,0.22458054053848758
eeg_occipital_theta_power_z_within_subject__std,脑电,0.34792840747173504,0.16998558586762733
eeg_occipital_theta_power_z_within_subject__median,脑电,0.8644867921609123,0.1536300994961734
