feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-0.04350439304367115,0.5402293509360182
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.04614743295202284,0.41527780344086185
eeg_frontal_delta_power_z_within_subject__median,脑电,-0.024015711051729838,0.48528617544949815
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.0012025080964552792,0.014180246684247094
eeg_frontal_theta_power_z_within_subject__mean,脑电,-0.03627647120934374,0.7080074555109105
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.03651595654596829,0.3375477808031851
eeg_frontal_theta_power_z_within_subject__median,脑电,-0.03374398588341765,0.664272967519334
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.009828477105074285,0.010172353171808217
eeg_frontal_alpha_power_z_within_subject__mean,脑电,-0.019079926002292247,0.643842085588845
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.030555888689681954,0.18123076661071777
eeg_frontal_alpha_power_z_within_subject__median,脑电,-0.02009851622945602,0.643286712623475
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.013596715480917565,0.007641529149621193
eeg_frontal_beta_power_z_within_subject__mean,脑电,-0.03197804779642155,0.5655401693749401
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.0385953449348857,0.24803129099774315
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.040479713693192254,0.5618825475996294
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.04328571980149043,0.014214284695880052
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-0.03928763261754398,0.5094607140045726
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.013651310853403986,0.3065665848636849
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.05427493928763116,0.4882972661097997
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.013170814562338595,0.014766125502164352
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,-0.020256778372934825,0.507390571179682
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.06622226602812531,0.28159590667368245
eeg_frontal_theta_alpha_z_within_subject__median,脑电,-0.020020953083166537,0.4729426422652382
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.016190613131787268,0.009433562033273914
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,-0.0363482937487678,0.532853730881628
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.030942178794417963,0.21110740089815183
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.038016615434273815,0.5471391682559761
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.062030586211017535,0.015784920341636432
eeg_central_delta_power_z_within_subject__mean,脑电,-0.05331890016437568,0.4682221108324291
eeg_central_delta_power_z_within_subject__std,脑电,-0.024576604635133448,0.3993828952642855
eeg_central_delta_power_z_within_subject__median,脑电,-0.0357931961892044,0.4005491985434134
eeg_central_delta_power_z_within_subject__slope,脑电,-0.032943226609915444,0.013427933993133101
eeg_central_theta_power_z_within_subject__mean,脑电,-0.02494355093460965,0.49700650409958635
