feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-0.05531884209023685,0.539049335753411
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.06679961793175848,0.4248919244885232
eeg_frontal_delta_power_z_within_subject__median,脑电,-0.02304541157182749,0.4797625540477877
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.003557761412199545,0.014531271867619435
eeg_frontal_theta_power_z_within_subject__mean,脑电,-0.006126220186121412,0.6975929428919405
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.043785184036690294,0.3356878834935847
eeg_frontal_theta_power_z_within_subject__median,脑电,-0.014090611399670161,0.650558798705719
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.019548970125260468,0.010463366090405123
eeg_frontal_alpha_power_z_within_subject__mean,脑电,0.015936009276464436,0.6328798161035117
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.0707930429311987,0.18590241257696397
eeg_frontal_alpha_power_z_within_subject__median,脑电,0.013172976732276576,0.6336302269653542
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.05378349484610245,0.007682879367413656
eeg_frontal_beta_power_z_within_subject__mean,脑电,-0.045345042212455944,0.5792038952923726
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.05423429851318895,0.25072348539806155
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.05688587355415353,0.5737685185616902
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.053286618243345574,0.014574719530837131
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-0.05773390561837255,0.5129387057085018
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.02221045961898671,0.3064042271967083
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.06765492769458614,0.49158138985780936
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.026619241033315033,0.015277253404728809
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.010808658182935527,0.5047274764035323
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.07247070575488057,0.2836110004424437
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.0059694115727969566,0.47078754025538333
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.007687817532929353,0.009485861145252664
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,-0.03416009407664222,0.5293280633243305
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.04041695845866955,0.21628157692544014
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.05541300105736813,0.5509283870075892
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.07296973126114326,0.01595408782039632
eeg_central_delta_power_z_within_subject__mean,脑电,-0.07259233943609145,0.471436365457892
eeg_central_delta_power_z_within_subject__std,脑电,-0.030008188913399625,0.40177514490135624
