feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-0.16250739596785913,0.6118128731019001
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.2668580694250411,0.45663270304763165
eeg_frontal_delta_power_z_within_subject__median,脑电,-0.15458336932683037,0.5535952023081998
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.16517034708436928,0.021204650793006954
eeg_frontal_theta_power_z_within_subject__mean,脑电,-0.1512836777309472,0.7642650271308477
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.36421440810967654,0.3864685558821882
eeg_frontal_theta_power_z_within_subject__median,脑电,-0.14343815663622106,0.7059392493802945
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.1813400254256572,0.013804105691786379
eeg_frontal_alpha_power_z_within_subject__mean,脑电,-0.03821422979196498,0.6649360274656803
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.21183991978470273,0.19608829990392565
eeg_frontal_alpha_power_z_within_subject__median,脑电,-0.04254132372143693,0.6713605891230958
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.23087425532259442,0.009333328575285578
eeg_frontal_beta_power_z_within_subject__mean,脑电,-0.11539484823088486,0.5856474941747614
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.1983604343259504,0.25918578801593456
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.11744620709807596,0.5933089742458969
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.22445700011724345,0.018417206289599745
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-0.14281060894800035,0.5235475788699148
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.11497278115939147,0.3188698733530525
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.1326331692091418,0.5013876236619319
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.1969846093305898,0.01967477735887465
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,-0.061144329017865706,0.5318822924141953
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.410223694204066,0.32647570475757953
eeg_frontal_theta_alpha_z_within_subject__median,脑电,-0.07225942107013328,0.5057542572833076
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.11698821460328257,0.011873823155092939
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,-0.1769523254387113,0.566705729478769
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.2165117626112365,0.23451713198421176
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.19469788568489466,0.5812781267323853
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.2861865833397046,0.019402742389580275
eeg_central_delta_power_z_within_subject__mean,脑电,-0.09776779509359956,0.488290256054221
eeg_central_delta_power_z_within_subject__std,脑电,-0.14120411238070374,0.42725732466035937
eeg_central_delta_power_z_within_subject__median,脑电,-0.01748879031938322,0.4112236605250118
eeg_central_delta_power_z_within_subject__slope,脑电,-0.1054926552119313,0.017963761562394542
eeg_central_theta_power_z_within_subject__mean,脑电,-0.03476984796478155,0.48561324069051676
eeg_central_theta_power_z_within_subject__std,脑电,-0.29634632489017876,0.32759750763192014
eeg_central_theta_power_z_within_subject__median,脑电,-0.0490098067379614,0.4899060377854608
eeg_central_theta_power_z_within_subject__slope,脑电,-0.17638150897790594,0.011350584803650964
eeg_central_alpha_power_z_within_subject__mean,脑电,0.053708454264217,0.42586874241349926
eeg_central_alpha_power_z_within_subject__std,脑电,-0.15071773656859855,0.2592602808203111
eeg_central_alpha_power_z_within_subject__median,脑电,0.01809147676056866,0.428600999802899
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.40567045984054073,0.009129652012106436
eeg_central_beta_power_z_within_subject__mean,脑电,-0.08502378909337915,0.40697072202899665
eeg_central_beta_power_z_within_subject__std,脑电,-0.09965419798044728,0.32113855064820834
eeg_central_beta_power_z_within_subject__median,脑电,-0.002877913658626108,0.37142441433850076
eeg_central_beta_power_z_within_subject__slope,脑电,-0.09520233741347783,0.01225455191659762
eeg_central_gamma_power_z_within_subject__mean,脑电,-0.16464150717389225,0.3861471366410462
eeg_central_gamma_power_z_within_subject__std,脑电,-0.15483227571569236,0.40695172461010776
eeg_central_gamma_power_z_within_subject__median,脑电,-0.0437383366487778,0.3277220157536037
eeg_central_gamma_power_z_within_subject__slope,脑电,-0.11239271534436845,0.013088863029784636
eeg_central_theta_alpha_z_within_subject__mean,脑电,-0.05839033053957965,0.40701929149908067
eeg_central_theta_alpha_z_within_subject__std,脑电,-0.15037302535581398,0.2589898958578153
eeg_central_theta_alpha_z_within_subject__median,脑电,-0.053625405232782475,0.397361474391571
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.14699069337721138,0.012583798162650614
eeg_central_beta_alpha_z_within_subject__mean,脑电,-0.14473254088589838,0.38092209978261493
eeg_central_beta_alpha_z_within_subject__std,脑电,-0.0631190509531665,0.25964839889844366
eeg_central_beta_alpha_z_within_subject__median,脑电,-0.098970706886095,0.36212695772560566
eeg_central_beta_alpha_z_within_subject__slope,脑电,-0.10736089628519441,0.012958948623027457
eeg_parietal_delta_power_z_within_subject__mean,脑电,-0.2645577951576288,0.5929526506461336
eeg_parietal_delta_power_z_within_subject__std,脑电,-0.19834642650354262,0.3855202532261512
eeg_parietal_delta_power_z_within_subject__median,脑电,-0.31847412938556974,0.5668082907496731
eeg_parietal_delta_power_z_within_subject__slope,脑电,-0.19348039324643063,0.012689235728545037
eeg_parietal_theta_power_z_within_subject__mean,脑电,-0.2295866871761736,0.6061471243595516
eeg_parietal_theta_power_z_within_subject__std,脑电,-0.26205487646404313,0.36610906550242095
eeg_parietal_theta_power_z_within_subject__median,脑电,-0.24780658291258417,0.5969071151359787
