feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-6.814120003450639,1.1449372680484082
eeg_frontal_delta_power_z_within_subject__std,脑电,-1.1489986313972618,0.5861119669971381
eeg_frontal_delta_power_z_within_subject__median,脑电,-7.6598917632540005,1.1011960436039625
eeg_frontal_delta_power_z_within_subject__slope,脑电,-1.267807664890201,0.028658724396325025
eeg_frontal_theta_power_z_within_subject__mean,脑电,-4.77010543737281,1.3871469502902023
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.6618280552208988,0.407125521804017
eeg_frontal_theta_power_z_within_subject__median,脑电,-5.31832470526216,1.3452295426557797
eeg_frontal_theta_power_z_within_subject__slope,脑电,-7.901339972883289,0.029490084228486573
eeg_frontal_alpha_power_z_within_subject__mean,脑电,-4.2043112242668235,1.192772573762739
eeg_frontal_alpha_power_z_within_subject__std,脑电,-1.3122072692796278,0.29005352437294124
eeg_frontal_alpha_power_z_within_subject__median,脑电,-4.226820850298918,1.2045656950317924
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-3.3174976829994627,0.013168647425667881
eeg_frontal_beta_power_z_within_subject__mean,脑电,-2.7663048284701244,1.0002300872438996
eeg_frontal_beta_power_z_within_subject__std,脑电,-1.1425676095304644,0.3288002167650083
eeg_frontal_beta_power_z_within_subject__median,脑电,-3.029306981536519,1.003585358152698
eeg_frontal_beta_power_z_within_subject__slope,脑电,-3.260290755828043,0.02734609817778633
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-1.587484321625639,0.8217480482126824
eeg_frontal_gamma_power_z_within_subject__std,脑电,-1.194582521380771,0.43449125571689406
eeg_frontal_gamma_power_z_within_subject__median,脑电,-1.8580001367973562,0.7955625411637361
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-1.7033262644733398,0.025466465492339083
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,-3.3598281723137795,0.9949258042039072
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.6142112203930428,0.32588780389804134
eeg_frontal_theta_alpha_z_within_subject__median,脑电,-3.6119587199728516,0.9606437755305621
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-6.74223591366083,0.022851680329081935
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,-1.7738850949200233,0.8724901638125575
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-1.9026544606040625,0.3492272985787679
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-1.6158459868469426,0.8656134047033821
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-1.0056752403018092,0.02189461913243988
eeg_central_delta_power_z_within_subject__mean,脑电,-4.770384968634626,0.932542139460485
eeg_central_delta_power_z_within_subject__std,脑电,-1.378038492734066,0.5777662718933776
eeg_central_delta_power_z_within_subject__median,脑电,-6.022998473010777,0.8904052502117454
eeg_central_delta_power_z_within_subject__slope,脑电,-2.18524842014503,0.031372227657682314
eeg_central_theta_power_z_within_subject__mean,脑电,-2.489932039096364,0.8449107576300214
eeg_central_theta_power_z_within_subject__std,脑电,-1.0722450484158856,0.373862068748842
eeg_central_theta_power_z_within_subject__median,脑电,-2.6253793775072753,0.8292176095776624
eeg_central_theta_power_z_within_subject__slope,脑电,-29.664799896022167,0.027382339797245143
eeg_central_alpha_power_z_within_subject__mean,脑电,-1.2217216889225972,0.659333232782674
eeg_central_alpha_power_z_within_subject__std,脑电,-1.9661202257411174,0.41915731763468467
eeg_central_alpha_power_z_within_subject__median,脑电,-1.0690323416025698,0.6125119452258686
eeg_central_alpha_power_z_within_subject__slope,脑电,-4.772698730230949,0.014623916937023852
eeg_central_beta_power_z_within_subject__mean,脑电,-1.2550423115534688,0.579630527310895
eeg_central_beta_power_z_within_subject__std,脑电,-1.336630791331713,0.43452902866353943
eeg_central_beta_power_z_within_subject__median,脑电,-1.3248301395708135,0.5596253745246286
eeg_central_beta_power_z_within_subject__slope,脑电,-3.287418041791258,0.020765593801344955
eeg_central_gamma_power_z_within_subject__mean,脑电,-1.2644121336774927,0.5614331057751493
eeg_central_gamma_power_z_within_subject__std,脑电,-1.4252808692007917,0.562096386108558
eeg_central_gamma_power_z_within_subject__median,脑电,-1.3385132101054653,0.46438224366509534
eeg_central_gamma_power_z_within_subject__slope,脑电,-2.155087085176405,0.021286134914503315
eeg_central_theta_alpha_z_within_subject__mean,脑电,-1.8922316994327564,0.6490067371027983
eeg_central_theta_alpha_z_within_subject__std,脑电,-1.3057647756430426,0.36314422108622696
eeg_central_theta_alpha_z_within_subject__median,脑电,-1.700023809875573,0.6388240184410073
eeg_central_theta_alpha_z_within_subject__slope,脑电,-8.262964361960453,0.025138523236888883
eeg_central_beta_alpha_z_within_subject__mean,脑电,-1.3894954682573628,0.5729217135675803
eeg_central_beta_alpha_z_within_subject__std,脑电,-1.51932372665481,0.3851701045448763
eeg_central_beta_alpha_z_within_subject__median,脑电,-1.4291615938057758,0.547006597599656
eeg_central_beta_alpha_z_within_subject__slope,脑电,-2.447812711219938,0.019948721972927873
eeg_parietal_delta_power_z_within_subject__mean,脑电,-4.728423879419455,1.0122312591888045
eeg_parietal_delta_power_z_within_subject__std,脑电,-0.984863011588408,0.43549746433447645
eeg_parietal_delta_power_z_within_subject__median,脑电,-5.143664768135525,0.9804806095492773
eeg_parietal_delta_power_z_within_subject__slope,脑电,-2.485797870976973,0.02090670399744048
eeg_parietal_theta_power_z_within_subject__mean,脑电,-3.2091247273559693,1.0444114700826221
eeg_parietal_theta_power_z_within_subject__std,脑电,-0.5466372339605894,0.3808971518524103
eeg_parietal_theta_power_z_within_subject__median,脑电,-3.4673168021111733,1.0073478522435406
eeg_parietal_theta_power_z_within_subject__slope,脑电,-9.464737363927624,0.015465639869790883
