feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-0.23302849596934405,0.5841702812625871
eeg_frontal_delta_power_z_within_subject__std,脑电,-0.12639818595931196,0.43353149201215324
eeg_frontal_delta_power_z_within_subject__median,脑电,-0.18262011594743588,0.5152457389751246
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.19870000020337053,0.025191393499778638
eeg_frontal_theta_power_z_within_subject__mean,脑电,-0.030030049741691878,0.7045313954251416
eeg_frontal_theta_power_z_within_subject__std,脑电,-0.13628967563024696,0.34375214355225664
eeg_frontal_theta_power_z_within_subject__median,脑电,-0.06396464291094639,0.6627030262628777
eeg_frontal_theta_power_z_within_subject__slope,脑电,-0.24837565868320088,0.01598056119286233
eeg_frontal_alpha_power_z_within_subject__mean,脑电,-0.13707883416692734,0.7029940767489458
eeg_frontal_alpha_power_z_within_subject__std,脑电,-0.1327951967190506,0.18847559607735462
eeg_frontal_alpha_power_z_within_subject__median,脑电,-0.16786988352073173,0.702521061483715
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-0.25289310369108375,0.008865450144644682
eeg_frontal_beta_power_z_within_subject__mean,脑电,-0.27586836632001166,0.6484926735482273
eeg_frontal_beta_power_z_within_subject__std,脑电,-0.31733981002718714,0.27652617919733513
eeg_frontal_beta_power_z_within_subject__median,脑电,-0.2846750559349176,0.6443233173372992
eeg_frontal_beta_power_z_within_subject__slope,脑电,-0.18598271364130659,0.017874356665964212
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-0.2885387839701097,0.5766866501045442
eeg_frontal_gamma_power_z_within_subject__std,脑电,-0.24147508922018446,0.3372690848551044
eeg_frontal_gamma_power_z_within_subject__median,脑电,-0.2792023370523662,0.5527059263457271
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-0.16365874532790836,0.019304822984608238
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,0.008555682616000482,0.5231273095222154
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.14439425751648316,0.2937582260343083
eeg_frontal_theta_alpha_z_within_subject__median,脑电,0.01867781128917856,0.4854051598183218
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-0.24831175926285964,0.013211120254463183
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,0.030912527583537353,0.5110444890137148
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.005636457863211319,0.21229337499842366
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-0.047186970265990835,0.5434533294629725
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-0.2117180714504996,0.019747259820231705
eeg_central_delta_power_z_within_subject__mean,脑电,-0.5255662972886626,0.560407622995728
eeg_central_delta_power_z_within_subject__std,脑电,-0.16938965563344688,0.4366201621161824
eeg_central_delta_power_z_within_subject__median,脑电,-0.4456278058381691,0.4590446103556765
eeg_central_delta_power_z_within_subject__slope,脑电,-0.05075793636326642,0.017066244254946742
eeg_central_theta_power_z_within_subject__mean,脑电,-0.22382884702531913,0.520886373567751
eeg_central_theta_power_z_within_subject__std,脑电,-0.10521547805026676,0.28999269587446325
eeg_central_theta_power_z_within_subject__median,脑电,-0.18309804549351383,0.49764019730095893
eeg_central_theta_power_z_within_subject__slope,脑电,-0.08814094700362429,0.010432401921182098
eeg_central_alpha_power_z_within_subject__mean,脑电,-0.4294515312131968,0.4833006815150948
eeg_central_alpha_power_z_within_subject__std,脑电,-0.11130454644407295,0.2563974404210466
eeg_central_alpha_power_z_within_subject__median,脑电,-0.4299348285024285,0.48425986846160346
eeg_central_alpha_power_z_within_subject__slope,脑电,-0.3044819281628153,0.007613065417577307
eeg_central_beta_power_z_within_subject__mean,脑电,-0.4267629143961509,0.4547784760135882
eeg_central_beta_power_z_within_subject__std,脑电,-0.0802038731710748,0.3271086783155482
eeg_central_beta_power_z_within_subject__median,脑电,-0.3409769397887197,0.44135051393858515
eeg_central_beta_power_z_within_subject__slope,脑电,-0.06652872379602415,0.011249936197754065
eeg_central_gamma_power_z_within_subject__mean,脑电,-0.34426293138435504,0.4181669167286698
eeg_central_gamma_power_z_within_subject__std,脑电,-0.09195197428655288,0.39911368824614185
eeg_central_gamma_power_z_within_subject__median,脑电,-0.2581436854291468,0.3718167638827894
