feature,modality,r2,mae
eeg_frontal_delta_power_z_within_subject__mean,脑电,-2.1076831732559196,0.9028436887135204
eeg_frontal_delta_power_z_within_subject__std,脑电,-1.9057548789350727,0.6108299051774057
eeg_frontal_delta_power_z_within_subject__median,脑电,-1.7317417133768669,0.7818999358406601
eeg_frontal_delta_power_z_within_subject__slope,脑电,-0.9667130494144411,0.04409523200078333
eeg_frontal_theta_power_z_within_subject__mean,脑电,-2.1510684334835015,1.1568649529076145
eeg_frontal_theta_power_z_within_subject__std,脑电,-1.440806880876924,0.5331403912118536
eeg_frontal_theta_power_z_within_subject__median,脑电,-2.234870563257601,1.1057985757092559
eeg_frontal_theta_power_z_within_subject__slope,脑电,-1.2081434618334668,0.025715810911373455
eeg_frontal_alpha_power_z_within_subject__mean,脑电,-1.5588056501820273,0.9509203109091352
eeg_frontal_alpha_power_z_within_subject__std,脑电,-2.4147173510413347,0.34962443866898374
eeg_frontal_alpha_power_z_within_subject__median,脑电,-1.6142190655153046,0.9639116835730245
eeg_frontal_alpha_power_z_within_subject__slope,脑电,-1.455622193277231,0.01340199648641181
eeg_frontal_beta_power_z_within_subject__mean,脑电,-1.4318249050918705,0.8621337554143627
eeg_frontal_beta_power_z_within_subject__std,脑电,-1.3486136374364324,0.3493598047602535
eeg_frontal_beta_power_z_within_subject__median,脑电,-1.7920220852691222,0.9286027846897662
eeg_frontal_beta_power_z_within_subject__slope,脑电,-1.6960562453153512,0.0371440946357068
eeg_frontal_gamma_power_z_within_subject__mean,脑电,-1.712752738166878,0.8130789268256522
eeg_frontal_gamma_power_z_within_subject__std,脑电,-1.0058087352848442,0.40604143870666315
eeg_frontal_gamma_power_z_within_subject__median,脑电,-1.8676207814600425,0.8383256798974377
eeg_frontal_gamma_power_z_within_subject__slope,脑电,-1.7554192348439752,0.04077324487293462
eeg_frontal_theta_alpha_z_within_subject__mean,脑电,-2.223897462337087,0.9056250790794624
eeg_frontal_theta_alpha_z_within_subject__std,脑电,-0.7351550876608892,0.3595226327337858
eeg_frontal_theta_alpha_z_within_subject__median,脑电,-2.2653993873184337,0.8449351807872183
eeg_frontal_theta_alpha_z_within_subject__slope,脑电,-1.3298802012970734,0.01960254191927373
eeg_frontal_beta_alpha_z_within_subject__mean,脑电,-1.6419937031311012,0.7866833503890455
eeg_frontal_beta_alpha_z_within_subject__std,脑电,-0.8328913165176919,0.2935175763352521
eeg_frontal_beta_alpha_z_within_subject__median,脑电,-2.364025767070243,0.8768474899808195
eeg_frontal_beta_alpha_z_within_subject__slope,脑电,-1.5432003854829563,0.03750629724205963
eeg_central_delta_power_z_within_subject__mean,脑电,-2.7418268777385593,0.821198107680304
eeg_central_delta_power_z_within_subject__std,脑电,-2.9380974593123867,0.6652474976942745
eeg_central_delta_power_z_within_subject__median,脑电,-1.7655901521473107,0.6596083552848803
eeg_central_delta_power_z_within_subject__slope,脑电,-1.9466610923457162,0.037690711858493466
eeg_central_theta_power_z_within_subject__mean,脑电,-1.8599707553269025,0.7539068000832532
eeg_central_theta_power_z_within_subject__std,脑电,-3.343434104034375,0.5122956778578087
eeg_central_theta_power_z_within_subject__median,脑电,-2.1180369464166264,0.7965081160005343
eeg_central_theta_power_z_within_subject__slope,脑电,-2.1748564523898377,0.01895147378910342
eeg_central_alpha_power_z_within_subject__mean,脑电,-0.9240963363836181,0.5506201170664415
eeg_central_alpha_power_z_within_subject__std,脑电,-3.239339709971384,0.4490844385082614
eeg_central_alpha_power_z_within_subject__median,脑电,-0.7409670905295376,0.530084984852113
eeg_central_alpha_power_z_within_subject__slope,脑电,-1.274768713164157,0.011875310304169374
eeg_central_beta_power_z_within_subject__mean,脑电,-0.609595404342606,0.502850003261506
eeg_central_beta_power_z_within_subject__std,脑电,-0.7973782543051713,0.400778821001132
eeg_central_beta_power_z_within_subject__median,脑电,-0.5829474838880444,0.5107987803359374
eeg_central_beta_power_z_within_subject__slope,脑电,-3.588401585019705,0.02457181420332107
eeg_central_gamma_power_z_within_subject__mean,脑电,-0.9937335413326989,0.4722016297273031
eeg_central_gamma_power_z_within_subject__std,脑电,-0.4336768555106434,0.4349159034669334
eeg_central_gamma_power_z_within_subject__median,脑电,-1.068777596647473,0.46699348686443304
eeg_central_gamma_power_z_within_subject__slope,脑电,-3.2340661920854057,0.028450129451929637
eeg_central_theta_alpha_z_within_subject__mean,脑电,-1.9791009519006493,0.6438644042186291
eeg_central_theta_alpha_z_within_subject__std,脑电,-1.6128149156019957,0.37326674886288924
eeg_central_theta_alpha_z_within_subject__median,脑电,-2.485682656430731,0.6978743768844059
eeg_central_theta_alpha_z_within_subject__slope,脑电,-0.7752546588454114,0.016821467753292477
eeg_central_beta_alpha_z_within_subject__mean,脑电,-1.2940935792098651,0.4899560352076031
eeg_central_beta_alpha_z_within_subject__std,脑电,-0.39338244095729125,0.2723180685572794
eeg_central_beta_alpha_z_within_subject__median,脑电,-1.3792022962351598,0.4706025134897665
eeg_central_beta_alpha_z_within_subject__slope,脑电,-4.570496527982828,0.02650700936335937
eeg_parietal_delta_power_z_within_subject__mean,脑电,-1.9107127287268812,0.8557498632444208
eeg_parietal_delta_power_z_within_subject__std,脑电,-1.7925212109351722,0.6203250828296707
eeg_parietal_delta_power_z_within_subject__median,脑电,-2.160861655450547,0.7990450612881687
eeg_parietal_delta_power_z_within_subject__slope,脑电,-2.0926308303505525,0.02826398539284404
eeg_parietal_theta_power_z_within_subject__mean,脑电,-2.1414401205472426,0.8408066291826791
